*F(0)/B(1)       tel     strip     center (1)      error (1) 
         0         0         0        923.099         0.2258
         0         0         0        1012.29       0.224217
         0         0         0        1084.77         0.2109
         0         0         0        1377.69       0.283909
         0         0         1        887.774       0.150765
         0         0         1        974.721       0.200056
         0         0         1        1044.78       0.229113
         0         0         1        1329.83       0.548942
         0         0         2         925.44       0.148661
         0         0         2        1014.32       0.155408
         0         0         2        1087.11       0.156964
         0         0         2         1380.6       0.220685
         0         0         3         914.28       0.159072
         0         0         3        1001.85        0.18518
         0         0         3        1072.23        0.20394
         0         0         3        1361.58      0.307589
         0         0         4        927.751       0.153926
         0         0         4        1017.01       0.167206
         0         0         4        1089.51       0.156007
         0         0         4        1383.05       0.219311
         0         0         5        921.248       0.157431
         0         0         5        1008.95       0.187594
         0         0         5         1079.9       0.224228
         0         0         5        1369.13       0.333289
         0         0         6        904.393       0.154369
         0         0         6        993.178       0.144731
         0         0         6        1066.04       0.151373
         0         0         6        1359.99       0.203108
         0         0         7        926.491       0.148547
         0         0         7        1013.94        0.18808
         0         0         7        1084.92       0.234759
         0         0         7         1374.3       0.326065
         0         0         8        918.888       0.158194
         0         0         8        1007.63       0.157345
         0         0         8        1080.56       0.158519
         0         0         8        1374.29         0.1705
         0         0         9        939.845       0.165539
         0         0         9        1026.38         0.1816
         0         0         9        1097.15       0.216752
         0         0         9        1387.67       0.401285
         0         0        10        918.902       0.170499
         0         0        10        1007.85       0.149339
         0         0        10         1079.9       0.162154
         0         0        10        1373.51       0.210613
         0         0        11        919.807       0.151652
         0         0        11        1006.85       0.172602
         0         0        11        1077.35       0.185624
         0         0        11        1365.55       0.305606
         0         0        12        945.781       0.137374
         0         0        12        1035.49       0.142706
         0         0        12        1107.97       0.148993
         0         0        12        1402.33       0.190318
         0         0        13        929.817       0.151541
         0         0        13        1017.02       0.170233
         0         0        13        1087.95       0.186126
         0         0        13        1376.99       0.344608
         0         0        14        921.771        0.14498
         0         0        14        1010.77       0.137727
         0         0        14        1082.59       0.145764
         0         0        14        1375.51       0.186881
         0         0        15        934.036       0.148482
         0         0        15         1021.7       0.171928
         0         0        15        1092.15       0.214172
         0         0        15        1382.45        0.29303
         0         0        16         923.53       0.146984
         0         0        16        1012.16        0.13219
         0         0        16        1084.24       0.141242
         0         0        16        1376.31       0.196789
         0         0        17        924.751       0.147939
         0         0        17        1012.22       0.167182
         0         0        17        1083.19       0.208255
         0         0        17        1372.57       0.316088
         0         0        18        910.165       0.166889
         0         0        18        999.007       0.159056
         0         0        18        1071.39       0.144232
         0         0        18        1364.45       0.176414
         0         0        19        924.043       0.143985
         0         0        19        1101.15         31.888
         0         0        19        1082.52       0.214761
         0         0        19         1373.8       0.366055
         0         0        20        909.404       0.158579
         0         0        20        997.322       0.153249
         0         0        20        1069.41       0.147979
         0         0        20        1360.67       0.185652
         0         0        21        920.211       0.153282
         0         0        21        1008.43       0.164973
         0         0        21         1079.6       0.205425
         0         0        21        1372.56       0.315204
         0         0        22        918.827       0.142284
         0         0        22        1007.17       0.153613
         0         0        22        1078.99       0.161248
         0         0        22        1371.31       0.190138
         0         0        23        910.089       0.157552
         0         0        23        997.956       0.178144
         0         0        23        1070.02       0.201067
         0         0        23        1362.62       0.331709
         0         0        24        922.002       0.137576
         0         0        24        1010.72       0.145765
         0         0        24        1082.63       0.145381
         0         0        24        1374.77       0.178743
         0         0        25        930.409       0.150101
         0         0        25        1018.69       0.178313
         0         0        25        1089.76       0.196453
         0         0        25        1380.99        0.34097
         0         0        26        925.736       0.140122
         0         0        26        1013.57        0.15487
         0         0        26        1084.93       0.148947
         0         0        26        1376.11        0.25728
         0         0        27        945.528       0.157399
         0         0        27        1033.34         0.1749
         0         0        27        1104.38       0.206947
         0         0        27        1395.82       0.424263
         0         0        28         922.09       0.136069
         0         0        28        1011.05       0.144816
         0         0        28        1083.05        0.13994
         0         0        28        1375.62       0.191217
         0         0        29        938.907       0.151528
         0         0        29        1026.97       0.163176
         0         0        29         1097.8       0.245119
         0         0        29         1388.4       0.386541
         0         0        30        927.018       0.148088
         0         0        30        1015.47       0.161761
         0         0        30        1087.54        0.16676
         0         0        30        1379.63       0.194913
         0         0        31        942.804       0.179228
         0         0        31        1031.95       0.169096
         0         0        31        1103.39       0.194046
         0         0        31        1397.14        0.28858
         0         1         0        882.335        0.19672
         0         1         0         967.25       0.209891
         0         1         0        1035.39       0.177296
         0         1         0        1315.04       0.246992
         0         1         1        921.108       0.172212
         0         1         1         1007.5       0.221448
         0         1         1        1077.56       0.290699
         0         1         1        1364.17       0.341022
         0         1         2        889.695       0.133755
         0         1         2        974.288       0.151886
         0         1         2        1042.88       0.156224
         0         1         2        1320.68       0.181019
         0         1         3        911.995       0.184473
         0         1         3        998.711       0.249241
         0         1         3        1069.35        0.30894
         0         1         3        1356.81       0.322806
         0         1         4        877.997       0.141833
         0         1         4        962.279       0.145054
         0         1         4        1030.21       0.150065
         0         1         4        1308.37       0.176695
         0         1         5        913.045       0.180372
         0         1         5        1064.74          7.281
         0         1         5        1070.22       0.257965
         0         1         5        1358.23       0.292909
         0         1         6        876.997       0.141671
         0         1         6        960.787       0.144976
         0         1         6        1029.03       0.136379
         0         1         6         1306.5       0.195758
         0         1         7        921.761       0.177123
         0         1         7        1065.15        1.47174
         0         1         7        1078.21       0.249354
         0         1         7        1365.31       0.323578
         0         1         8        893.034       0.153047
         0         1         8        977.517       0.131625
         0         1         8        1045.88       0.149945
         0         1         8        1323.51       0.179214
         0         1         9        908.971       0.168659
         0         1         9          995.8       0.213297
         0         1         9         1066.4       0.256558
         0         1         9        1355.11       0.319242
         0         1        10        873.823       0.138249
         0         1        10        957.777         0.1445
         0         1        10        1025.84       0.129212
         0         1        10        1302.33       0.186849
         0         1        11        915.632        0.17859
         0         1        11        1002.09       0.234064
         0         1        11        1073.32       0.229241
         0         1        11        1361.53       0.284648
         0         1        12        879.826       0.137543
         0         1        12        964.487       0.148862
         0         1        12        1032.43       0.134079
         0         1        12        1310.42       0.170437
         0         1        13        920.382       0.147673
         0         1        13        1072.62        6.43944
         0         1        13        1077.35       0.281554
         0         1        13        1364.93       0.301384
         0         1        14        882.136       0.139493
         0         1        14         967.07       0.132838
         0         1        14        1034.96       0.146797
         0         1        14        1313.23       0.180312
         0         1        15        938.643       0.167093
         0         1        15        1087.02        2.88936
         0         1        15         1096.3       0.212488
         0         1        15        1384.39       0.274141
         0         1        16        857.663       0.125477
         0         1        16        941.861       0.136413
         0         1        16        1009.76        0.13328
         0         1        16        1286.57       0.175452
         0         1        17        163.179       0.106362
         0         1        17        329.595       0.313407
         0         1        17        343.367       0.311586
         0         1        17        404.891       0.151643
         0         1        18        886.953        0.14353
         0         1        18        971.587       0.139832
         0         1        18         1039.5       0.140285
         0         1        18        1317.67       0.176539
         0         1        19        916.517       0.177579
         0         1        19        1002.68       0.237323
         0         1        19        1074.09       0.239941
         0         1        19         1361.9       0.250521
         0         1        20        889.033       0.135798
         0         1        20        973.276       0.127741
         0         1        20        1040.79       0.147438
         0         1        20        1317.65        0.17756
         0         1        21        920.952       0.148923
         0         1        21        1007.76       0.233813
         0         1        21        1079.33       0.248232
         0         1        21         1369.6       0.278685
         0         1        22        901.984       0.138296
         0         1        22        986.324       0.131993
         0         1        22        1054.66       0.122908
         0         1        22        1332.49       0.173665
         0         1        23        939.579       0.159376
         0         1        23        1086.56        1.42663
         0         1        23        1097.31       0.242626
         0         1        23        1387.33        0.30236
         0         1        24         887.91        0.13129
         0         1        24        972.426       0.137529
         0         1        24        1040.23       0.129011
         0         1        24        1317.48       0.158435
         0         1        25        929.372       0.142949
         0         1        25        1016.45       0.226779
         0         1        25        1087.23       0.270519
         0         1        25        1377.79       0.284183
         0         1        26        884.816       0.128282
         0         1        26        969.296       0.129011
         0         1        26        1037.32       0.134661
         0         1        26        1315.31       0.154198
         0         1        27        931.886       0.144003
         0         1        27        1018.36       0.240049
         0         1        27        1090.01       0.299587
         0         1        27        1381.76       0.266371
         0         1        28        889.542       0.124405
         0         1        28        973.635       0.125913
         0         1        28        1041.81       0.131883
         0         1        28         1319.4       0.171112
         0         1        29        925.091       0.162454
         0         1        29        1012.62       0.238817
         0         1        29         1084.2       0.264207
         0         1        29        1377.02       0.296771
         0         1        30        882.422       0.129626
         0         1        30        966.949        0.13678
         0         1        30        1034.89       0.139191
         0         1        30        1312.81        0.16056
         0         1        31        927.346       0.182207
         0         1        31        1015.63       0.231855
         0         1        31        1085.75       0.236471
         0         1        31        1375.47        0.39122
         0         2         0        914.117       0.440419
         0         2         0        1000.13       0.292728
         0         2         0        1070.19       0.230966
         0         2         0        1353.65       0.332459
         0         2         1        904.133       0.135755
         0         2         1        988.832       0.157972
         0         2         1        1057.68       0.154007
         0         2         1        1336.31       0.463609
         0         2         2        893.161       0.199582
         0         2         2        978.719       0.199537
         0         2         2        1048.84       0.191677
         0         2         2        1331.71       0.210598
         0         2         3        881.741       0.148779
         0         2         3        966.087       0.147574
         0         2         3        1034.54       0.155432
         0         2         3         1312.4       0.448128
         0         2         4        898.723       0.194768
         0         2         4        984.206       0.195354
         0         2         4        1052.84       0.191508
         0         2         4        1334.27       0.241296
         0         2         5        888.077        0.14279
         0         2         5        972.253       0.152981
         0         2         5        1040.94       0.195274
         0         2         5        1317.77       0.317046
         0         2         6        902.232       0.212886
         0         2         6        988.067       0.204018
         0         2         6        1057.86       0.185256
         0         2         6        1340.74       0.215282
         0         2         7        899.891        0.13108
         0         2         7         984.86       0.149911
         0         2         7        1053.28       0.173512
         0         2         7        1333.21       0.477837
         0         2         8        898.648        0.18545
         0         2         8        984.557       0.183878
         0         2         8        1054.08       0.166255
         0         2         8        1335.15        0.25223
         0         2         9        903.898         0.1403
         0         2         9        988.243       0.149907
         0         2         9        1056.58       0.174035
         0         2         9        1334.56       0.424019
         0         2        11        891.745        0.13083
         0         2        11         976.46       0.142779
         0         2        11        1045.04       0.147769
         0         2        11        1321.43       0.507593
         0         2        12        900.963       0.184042
         0         2        12        987.588       0.142596
         0         2        12        1057.61       0.197825
         0         2        12        1341.08       0.225859
         0         2        13         889.13        0.12753
         0         2        13        973.476       0.145263
         0         2        13        1042.49       0.172396
         0         2        13         1318.8        0.51083
         0         2        14        903.431       0.170969
         0         2        14        989.032       0.183089
         0         2        14         1059.1       0.173949
         0         2        14         1341.9       0.214982
         0         2        15        906.445       0.130405
         0         2        15        990.628       0.143212
         0         2        15        1059.08       0.180325
         0         2        15        1336.85       0.424049
         0         2        16        899.198       0.204401
         0         2        16        984.648        0.16994
         0         2        16        1054.69       0.165704
         0         2        16        1336.33       0.205358
         0         2        17        888.892       0.132693
         0         2        17        972.222       0.141407
         0         2        17         1040.6       0.216647
         0         2        17        1317.39       0.522864
         0         2        18        881.335       0.158259
         0         2        18        968.266       0.166103
         0         2        18        1038.11       0.176579
         0         2        18        1320.71       0.210607
         0         2        19        892.816       0.137988
         0         2        19        977.001       0.148235
         0         2        19        1045.75       0.147722
         0         2        19        1321.38       0.374215
         0         2        20        900.026       0.178917
         0         2        20        986.543       0.155632
         0         2        20           1056       0.158571
         0         2        20        1338.84       0.230178
         0         2        21        875.989       0.135226
         0         2        21        959.813       0.147629
         0         2        21        1027.73       0.169554
         0         2        21        1303.89       0.447264
         0         2        22         906.15       0.161532
         0         2        22         991.84       0.166807
         0         2        22        1061.82       0.172091
         0         2        22        1344.51       0.198952
         0         2        23         894.21       0.126571
         0         2        23        978.227       0.138392
         0         2        23        1046.56       0.144653
         0         2        23        1320.91       0.355264
         0         2        24        912.403       0.175018
         0         2        24        999.056       0.195695
         0         2        24        1068.94       0.185818
         0         2        24        1354.14        0.21249
         0         2        25        889.401       0.136816
         0         2        25         973.89       0.144962
         0         2        25        1042.21        0.17024
         0         2        25        1319.08       0.311819
         0         2        27        910.211       0.139517
         0         2        27        994.645        0.14432
         0         2        27        1062.59       0.155634
         0         2        27        1339.32       0.399963
         0         2        28        914.831        0.16431
         0         2        28        1000.64       0.174818
         0         2        28        1070.69       0.179179
         0         2        28         1355.2       0.209573
         0         2        29         897.82       0.136066
         0         2        29          982.2       0.139466
         0         2        29        1050.59       0.165472
         0         2        29        1327.58       0.556815
         0         2        30        917.339        0.20751
         0         2        30        1003.94       0.149091
         0         2        30        1074.07       0.157644
         0         2        30        1357.76       0.194375
         0         2        31        895.393       0.166459
         0         2        31        980.364       0.158725
         0         2        31        1049.26       0.156797
         0         2        31        1328.12       0.294617
         0         3         0        910.724       0.275348
         0         3         0        999.402       0.240031
         0         3         0        1070.59        0.25414
         0         3         0         1361.8       0.379893
         0         3         1        915.805       0.213279
         0         3         1        1002.71       0.272027
         0         3         1        1072.74       0.366377
         0         3         1        1361.06       0.425954
         0         3         2        905.284       0.183676
         0         3         2        992.586       0.184631
         0         3         2        1064.03       0.199483
         0         3         2        1352.73       0.223015
         0         3         3        923.916       0.180985
         0         3         3        1010.31       0.240717
         0         3         3        1080.95       0.297454
         0         3         3        1370.61       0.488226
         0         3         4        905.884       0.194183
         0         3         4        993.556       0.180475
         0         3         4        1064.35       0.186637
         0         3         4        1353.25       0.230847
         0         3         5        934.339        0.19418
         0         3         5        1020.77       0.319431
         0         3         5        1091.55       0.365455
         0         3         5        1382.59       0.565734
         0         3         6        909.763       0.188611
         0         3         6        997.832       0.185816
         0         3         6        1069.58       0.178022
         0         3         6         1358.1       0.261367
         0         3         7        929.815       0.187009
         0         3         7        1016.33       0.289141
         0         3         7        1087.14        0.39993
         0         3         7        1378.71       0.468247
         0         3         8         899.36       0.175015
         0         3         8        987.078       0.201398
         0         3         8        1058.58       0.214787
         0         3         8        1348.33       0.211261
         0         3         9        943.694       0.184314
         0         3         9        1030.38       0.289983
         0         3         9        1101.56       0.431732
         0         3         9        1392.77       0.575554
         0         3        10        914.386       0.186053
         0         3        10        1001.87       0.184828
         0         3        10        1073.22       0.199459
         0         3        10        1363.31       0.237393
         0         3        11        911.572       0.181253
         0         3        11        998.162        0.28213
         0         3        11        1068.25       0.376837
         0         3        11        1357.17       0.452807
         0         3        12        917.401       0.168846
         0         3        12        1005.27       0.169387
         0         3        12        1076.26       0.210495
         0         3        12         1366.7       0.206433
         0         3        13        916.729       0.194761
         0         3        13        1003.61       0.294808
         0         3        13        1074.41       0.413722
         0         3        13         1365.8       0.374283
         0         3        14        917.338       0.167727
         0         3        14        1005.05       0.192974
         0         3        14        1076.11       0.183654
         0         3        14        1364.66       0.245833
         0         3        15        928.904       0.161165
         0         3        15        1077.51        2.34041
         0         3        15        1086.54       0.292068
         0         3        15        1376.46        0.44346
         0         3        16        920.604       0.159497
         0         3        16        1008.49       0.187051
         0         3        16        1079.71       0.176879
         0         3        16        1369.75       0.239684
         0         3        17        912.693       0.185723
         0         3        17        999.343       0.253878
         0         3        17        1069.28       0.264329
         0         3        17        1357.41       0.456419
         0         3        18        917.358       0.176778
         0         3        18        1004.99       0.173009
         0         3        18         1076.6       0.170088
         0         3        18        1365.58       0.230643
         0         3        19        934.066       0.199166
         0         3        19        1021.12       0.251682
         0         3        19        1092.33       0.462372
         0         3        19        1381.44       0.440908
         0         3        20        907.796       0.163518
         0         3        20        996.084       0.160724
         0         3        20        1067.46       0.178754
         0         3        20         1358.5       0.208525
         0         3        21        915.121       0.209815
         0         3        21         1002.3       0.252866
         0         3        21        1072.93       0.375177
         0         3        21        1363.67       0.504969
         0         3        22        921.627       0.173634
         0         3        22        1009.96       0.170033
         0         3        22        1082.26       0.178502
         0         3        22        1373.99       0.246088
         0         3        23        932.187        0.20298
         0         3        23        1019.08       0.350843
         0         3        23        1090.24       0.438401
         0         3        23        1382.82       0.347874
         0         3        24         919.71       0.162415
         0         3        24        1007.68       0.159295
         0         3        24        1078.88       0.169402
         0         3        24        1369.02       0.250217
         0         3        25         916.46       0.201624
         0         3        25        1003.47       0.288069
         0         3        25        1073.93       0.268568
         0         3        25        1364.34       0.386842
         0         3        26         926.01       0.165287
         0         3        26        1014.76       0.166679
         0         3        26           1086       0.182617
         0         3        26        1378.18       0.208252
         0         3        27        918.404       0.192689
         0         3        27        1004.97       0.324724
         0         3        27        1075.58         0.3653
         0         3        27        1366.59       0.435351
         0         3        28        906.558        0.19323
         0         3        28        994.576       0.186511
         0         3        28        1066.08       0.187224
         0         3        28        1355.32       0.221021
         0         3        29        928.576       0.157681
         0         3        29        1015.56       0.230388
         0         3        29        1086.06       0.471352
         0         3        29        1376.04       0.457747
         0         3        30        934.628       0.166305
         0         3        30        1023.51       0.179226
         0         3        30        1095.69       0.170762
         0         3        30        1388.58       0.225574
         0         3        31        935.809       0.173827
         0         3        31        1023.09       0.216911
         0         3        31        1094.39       0.262221
         0         3        31        1384.01        0.43271
         0         4         0        871.664       0.214137
         0         4         0        958.377       0.206014
         0         4         0         1028.1       0.198462
