*telnum  csinum       CsI V        err_CsI V      energy      err_energy
    0      1    0.487473       0.00877806     80.2672          2.90758  
    0      1    0.473772        0.0100775      78.837          2.87173  
    0      1    0.471254       0.00995638     77.3786          2.83486  
    0      1    0.459492        0.0104444     75.8932          2.79699  
    0      2    0.459541        0.0086988     72.8473          2.71848  
    0      2    0.448948        0.0111326     70.6997          2.66254  
    0      2    0.432405         0.012501     68.5127          2.60517  
    0      2    0.418557        0.0141265     66.2899          2.54651  
    0      3    0.448407       0.00995809     72.2657          2.70339  
    0      3    0.432359        0.0113137      70.107          2.64704  
    0      3    0.421805        0.0110313     67.9099          2.58929  
    0      3    0.412579       0.00927954     65.6779          2.53031  
    1      0    0.494471       0.00905472     79.2235          2.88004  
    1      0    0.485102       0.00918026      77.589          2.83876  
    1      0    0.473171       0.00965679     75.9203           2.7962  
    1      0    0.463371         0.010668     74.2193          2.75246  
    1      1    0.485349        0.0108255     77.9553          2.84804  
    1      1    0.469324       0.00961565     75.9203           2.7962  
    1      1    0.460134        0.0088906     73.8371          2.74258  
    1      1    0.445886       0.00730052     71.7093          2.68732  
    1      2    0.436134       0.00913857     68.7423          2.60956  
    1      2    0.419859       0.00949634     66.5233          2.55097  
    1      2    0.407872       0.00887749     64.2718          2.49123  
    1      2    0.394874       0.00784229     61.9914          2.43051  
    1      3    0.429085       0.00851998     70.9252          2.66684  
    1      3    0.418253        0.0102218     68.7423          2.60956  
    1      3    0.407935       0.00996621     66.5233          2.55097  
    1      3     0.39541       0.00874805     64.2718          2.49123  
    2      0    0.435097        0.0100358     72.1363           2.6964  
    2      0    0.425338       0.00983374     69.7771          2.63463  
    2      0    0.413004       0.00862774     67.3731          2.57124  
    2      0    0.400622       0.00888676      64.929           2.5064  
    2      1    0.384045       0.00993359     65.9519          2.53358  
    2      1    0.367728        0.0101051     63.2795          2.46248  
    2      1    0.354245       0.00907775      60.569          2.39008  
    2      1    0.340009         0.007924     57.8262          2.31667  
    2      2    0.371017       0.00808185     57.8262          2.31667  
