*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    2      2  662.333     10.1762           40.785           40.565      41.005     119.607     2.01708    0.732308   0.0120836  
    2      2  640.871     7.54232           42.215           41.995      42.435     113.968     1.96331    0.707115   0.0088417  
    2      2  616.768     8.72469           43.645           43.425      43.865     108.326      1.9079    0.678476   0.0104695  
    2      2  591.786     9.41639           45.075           44.855      45.295     102.696     1.85105    0.648223    0.011394  
    3      0  655.176     9.65728           41.775           41.555      41.995     115.709     1.97998    0.705229   0.0114631  
    3      0  634.275     9.93834           43.205           42.985      43.425     110.067     1.92505    0.680362   0.0118192  
    3      0  610.105      7.7893           44.635           44.415      44.855     104.432     1.86862    0.651827  0.00915075  
    3      0  588.395     9.97238           46.065           45.845      46.285     98.8161     1.81088    0.626645   0.0115063  
    3      1  589.286     11.0287           46.065           45.845      46.285     98.8161     1.81088    0.624862   0.0134291  
    3      1  571.208      8.2719           47.385           47.165      47.605     93.6609     1.75662    0.602567   0.0102373  
    3      1  550.407      7.6655           48.705           48.485      48.925     88.5427     1.70158    0.576672  0.00955584  
    3      1  525.806     7.89005           50.025           49.805      50.245     83.4703     1.64597    0.546244  0.00968743  
    3      2  399.836       6.321           49.035           48.815      49.255     87.2699     1.68773    0.392017  0.00751298  
    3      2  378.776     7.10781           50.575           50.355      50.795     81.3724     1.62267    0.366637  0.00861316  
    3      2  361.383      6.5641           52.115           51.895      52.335     75.5536     1.55716    0.345467  0.00799703  
    3      2  341.433     7.86603           53.655           53.435      53.875     69.8257     1.49152    0.321229  0.00953494  
    3      3  598.69     9.03481           45.295           45.075      45.515     101.837     1.84212    0.639806   0.0106012  
    3      3  573.219      9.6087           46.725           46.505      46.945     96.2345     1.78386    0.610241   0.0111342  
    3      3  544.672     9.08728           48.155           47.935      48.375     90.6702      1.7246    0.576653   0.0108149  
    3      3  517.242     10.0555           49.585           49.365      49.805     85.1555     1.66456    0.543885    0.011967  
    4      0  707.622     5.41196           45.955           45.735      46.175     99.2179     1.81576       0.574  0.00494153  
    4      0  681.109     7.18205           47.165           46.945      47.385     94.4876     1.76614    0.549813  0.00656181  
    4      0  654.699     7.21464           48.375           48.155      48.595     89.7869     1.71586     0.52547  0.00668631  
    4      0  627.983      7.3496           49.585           49.365      49.805     85.1228     1.66505    0.500574  0.00686147  
    4      1  705.264     9.31575           45.735           45.515      45.955     100.081     1.82471    0.583566  0.00839627  
    4      1  678.579     7.96252           46.945           46.725      47.165     95.3457     1.77522    0.559507   0.0071695  
    4      1  647.471    0.915881           48.155           47.935      48.375     90.6391     1.72504    0.531755  0.000809803  
    4      1  622.386     8.16048           49.365           49.145      49.585     85.9678     1.67432    0.509652  0.00718257  
    4      2  557.379     3.01992           51.345           51.125      51.565     78.4177     1.59048    0.510387  0.00317873  
