*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    8      0    0.484344       0.00926954     76.7661          1.66103
    8      0    0.444992       0.00833329     70.4365          1.59685
    8      0    0.414106       0.00872692      64.313           1.5338
    8      0    0.381417       0.00942051     58.3938          1.47233
    8      2    0.339097        0.0145776     48.9727          1.37447
    8      2    0.306845      0.000895033     42.4015          1.30808
    8      2    0.262776       0.00483757     36.0928          1.24854
    8      2    0.222035        0.0014969     30.0097          1.20009
    8      3    0.311139        0.0079683     47.1531          1.35583
    8      3    0.278445       0.00778114     40.6562          1.29101
    8      3    0.242556       0.00319135     34.4134          1.23404
    8      3    0.205249       0.00206378     28.3823          1.18966
    9      2    0.336464        0.0012031     48.9751          1.37441
    9      2    0.295387        0.0109836     42.4042          1.30801
    9      2    0.258441       0.00549876     36.0958          1.24845
    9      2    0.218437       0.00350253     30.0132          1.19998
    9      3    0.355228       0.00150352     48.9751          1.37441
    9      3     0.31577       0.00851727     42.9903          1.31378
    9      3    0.281201       0.00841965     37.2246          1.25863
    9      3    0.239572       0.00214704     31.6527          1.21179
   10      2    0.327114       0.00899346     42.5767          1.30368
   10      2    0.282956       0.00154388     36.2917           1.2429
   10      2    0.245974       0.00396337     30.2401           1.1925
   10      2    0.206503       0.00264027     24.3615          1.15991
   10      3    0.316144        0.0128911      46.116          1.33973
   10      3    0.281177        0.0108744     39.6884          1.27509
   10      3    0.243945       0.00321573     33.5149           1.2184
   10      3    0.208593       0.00121283     27.5517          1.17477
   11      0    0.419363       0.00948404     65.0709           1.5391
   11      0    0.382081        0.0151565     57.8447          1.46365
   11      0    0.346457        0.0131956     50.9196          1.39112
   11      0    0.308723        0.0143637      44.285          1.32271
   11      1    0.399623       0.00915654      58.489          1.47042
   11      1    0.365294        0.0104935     52.1567          1.40407
   11      1    0.324868       0.00869946     46.0665           1.3409
   11      1    0.286631       0.00847504     40.2066           1.2821
   11      2    0.228866        0.0128205     30.7136          1.19868
   11      2    0.197618       0.00125026     24.8102          1.16499
   11      2    0.158463      0.000929787      18.971          1.16607
   11      2    0.114362       0.00190514     12.9343          1.25996
   11      3    0.257644       0.00805769      35.114          1.23464
   11      3    0.223192        0.0092246     29.0894          1.18734
   11      3     0.17848       0.00105931     23.2182          1.16067
   11      3    0.145681        0.0111168     17.3622          1.17772
