Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0  0  0       25.5678         0.6936       185.057        1.631
   0  0  1       25.5422         0.6880       184.261        1.655
   0  0  2       25.5209         0.6823       183.462        1.679
   0  0  3       25.5039         0.6764       182.662        1.702
   0  0  4       25.4913         0.6702       181.860        1.725
   0  0  5       25.4831         0.6639       181.056        1.747
   0  0  6       25.4792         0.6574       180.252        1.768
   0  0  7       25.4797         0.6506       179.447        1.789
   0  0  8       25.4846         0.6437       178.641        1.809
   0  0  9       25.4939         0.6366       177.836        1.829
   0  0 10       25.5076         0.6294       177.030        1.847
   0  0 11       25.5257         0.6220       176.226        1.865
   0  0 12       25.5482         0.6144       175.422        1.883
   0  0 13       25.5751         0.6066       174.619        1.899
   0  0 14       25.6064         0.5987       173.818        1.915
   0  0 15       25.6421         0.5907       173.019        1.930
   0  0 16       25.6820         0.5825       172.221        1.944
   0  0 17       25.7264         0.5742       171.426        1.957
   0  0 18       25.7750         0.5658       170.634        1.969
   0  0 19       25.8278         0.5573       169.845        1.981
   0  0 20       25.8849         0.5487       169.059        1.991
   0  0 21       25.9462         0.5399       168.277        2.001
   0  0 22       26.0117         0.5311       167.499        2.010
   0  0 23       26.0812         0.5222       166.724        2.018
   0  0 24       26.1549         0.5133       165.954        2.025
   0  0 25       26.2326         0.5042       165.189        2.032
   0  0 26       26.3142         0.4951       164.428        2.037
   0  0 27       26.3998         0.4860       163.673        2.042
   0  0 28       26.4893         0.4768       162.922        2.046
   0  0 29       26.5825         0.4676       162.177        2.049
   0  0 30       26.6795         0.4583       161.438        2.051
   0  0 31       26.7803         0.4491       160.704        2.053
   0  1  0       25.9112         0.6915       185.002        1.613
   0  1  1       25.8861         0.6860       184.215        1.637
   0  1  2       25.8652         0.6804       183.426        1.660
   0  1  3       25.8486         0.6745       182.635        1.683
   0  1  4       25.8363         0.6685       181.842        1.705
   0  1  5       25.8282         0.6622       181.048        1.726
   0  1  6       25.8245         0.6558       180.253        1.747
   0  1  7       25.8251         0.6492       179.458        1.768
   0  1  8       25.8300         0.6423       178.662        1.787
   0  1  9       25.8393         0.6354       177.866        1.806
   0  1 10       25.8529         0.6282       177.070        1.825
   0  1 11       25.8709         0.6209       176.275        1.842
   0  1 12       25.8932         0.6134       175.480        1.859
   0  1 13       25.9198         0.6058       174.687        1.875
   0  1 14       25.9507         0.5980       173.895        1.891
   0  1 15       25.9860         0.5901       173.105        1.905
   0  1 16       26.0255         0.5821       172.317        1.919
   0  1 17       26.0693         0.5739       171.531        1.932
   0  1 18       26.1173         0.5656       170.748        1.944
   0  1 19       26.1695         0.5572       169.968        1.955
   0  1 20       26.2259         0.5487       169.191        1.966
   0  1 21       26.2865         0.5401       168.417        1.976
   0  1 22       26.3511         0.5314       167.648        1.985
   0  1 23       26.4199         0.5227       166.882        1.993
   0  1 24       26.4926         0.5138       166.120        2.000
   0  1 25       26.5693         0.5049       165.362        2.006
   0  1 26       26.6500         0.4959       164.610        2.012
   0  1 27       26.7345         0.4869       163.862        2.017
   0  1 28       26.8229         0.4779       163.119        2.021
   0  1 29       26.9150         0.4688       162.381        2.024
   0  1 30       27.0109         0.4596       161.649        2.027
   0  1 31       27.1104         0.4505       160.923        2.028
   0  2  0       26.2551         0.6894       184.947        1.596
   0  2  1       26.2305         0.6840       184.170        1.619
   0  2  2       26.2100         0.6784       183.390        1.642
   0  2  3       26.1937         0.6726       182.608        1.664
   0  2  4       26.1816         0.6667       181.824        1.686
   0  2  5       26.1738         0.6605       181.040        1.707
   0  2  6       26.1702         0.6541       180.254        1.727
   0  2  7       26.1709         0.6476       179.468        1.747
   0  2  8       26.1759         0.6409       178.681        1.766
   0  2  9       26.1851         0.6340       177.895        1.785
   0  2 10       26.1986         0.6270       177.108        1.803
   0  2 11       26.2164         0.6198       176.322        1.820
   0  2 12       26.2385         0.6124       175.537        1.836
   0  2 13       26.2649         0.6049       174.753        1.852
   0  2 14       26.2955         0.5972       173.970        1.867
   0  2 15       26.3303         0.5894       173.190        1.881
   0  2 16       26.3694         0.5815       172.411        1.895
