Tele EF EB theta(degree) phi(degree)
   0  0  0       26.2609     186.014
   0  0  1       26.2307     185.244
   0  0  2       26.2046     184.470
   0  0  3       26.1826     183.695
   0  0  4       26.1647     182.918
   0  0  5       26.1511     182.139
   0  0  6       26.1416     181.359
   0  0  7       26.1363     180.577
   0  0  8       26.1352     179.795
   0  0  9       26.1383     179.013
   0  0 10       26.1457     178.230
   0  0 11       26.1573     177.447
   0  0 12       26.1731     176.665
   0  0 13       26.1932     175.883
   0  0 14       26.2175     175.102
   0  0 15       26.2460     174.323
   0  0 16       26.2788     173.545
   0  0 17       26.3157     172.769
   0  0 18       26.3568     171.995
   0  0 19       26.4020     171.223
   0  0 20       26.4513     170.454
   0  0 21       26.5048     169.688
   0  0 22       26.5623     168.925
   0  0 23       26.6238     168.166
   0  0 24       26.6893     167.410
   0  0 25       26.7588     166.658
   0  0 26       26.8322     165.910
   0  0 27       26.9094     165.166
   0  0 28       26.9904     164.427
   0  0 29       27.0753     163.693
   0  0 30       27.1638     162.964
   0  0 31       27.2560     162.239
   0  1  0       26.6024     185.949
   0  1  1       26.5727     185.187
   0  1  2       26.5470     184.423
   0  1  3       26.5254     183.657
   0  1  4       26.5079     182.888
   0  1  5       26.4945     182.118
   0  1  6       26.4853     181.347
   0  1  7       26.4801     180.575
   0  1  8       26.4792     179.802
   0  1  9       26.4824     179.028
   0  1 10       26.4897     178.254
   0  1 11       26.5013     177.481
   0  1 12       26.5170     176.707
   0  1 13       26.5369     175.935
   0  1 14       26.5610     175.163
   0  1 15       26.5892     174.392
   0  1 16       26.6216     173.623
   0  1 17       26.6581     172.856
   0  1 18       26.6987     172.090
   0  1 19       26.7434     171.327
   0  1 20       26.7922     170.567
   0  1 21       26.8450     169.809
   0  1 22       26.9018     169.055
   0  1 23       26.9626     168.303
   0  1 24       27.0273     167.555
   0  1 25       27.0960     166.811
   0  1 26       27.1684     166.071
   0  1 27       27.2448     165.335
   0  1 28       27.3248     164.604
   0  1 29       27.4086     163.877
   0  1 30       27.4961     163.154
   0  1 31       27.5872     162.437
   0  2  0       26.9442     185.886
   0  2  1       26.9150     185.133
   0  2  2       26.8898     184.377
   0  2  3       26.8686     183.619
   0  2  4       26.8515     182.859
   0  2  5       26.8384     182.098
   0  2  6       26.8293     181.336
   0  2  7       26.8244     180.572
   0  2  8       26.8235     179.808
   0  2  9       26.8268     179.043
   0  2 10       26.8342     178.278
   0  2 11       26.8456     177.513
   0  2 12       26.8613     176.749
   0  2 13       26.8810     175.985
   0  2 14       26.9048     175.222
   0  2 15       26.9328     174.460
   0  2 16       26.9648     173.700
   0  2 17       27.0009     172.941
   0  2 18       27.0410     172.184
   0  2 19       27.0852     171.429
   0  2 20       27.1335     170.677
   0  2 21       27.1856     169.928
   0  2 22       27.2418     169.181
   0  2 23       27.3019     168.438
   0  2 24       27.3658     167.698
   0  2 25       27.4336     166.961
   0  2 26       27.5053     166.229
   0  2 27       27.5807     165.500
   0  2 28       27.6598     164.776
   0  2 29       27.7426     164.056
   0  2 30       27.8290     163.341
   0  2 31       27.9190     162.631
   0  3  0       27.2864     185.824
   0  3  1       27.2577     185.079
   0  3  2       27.2329     184.332
   0  3  3       27.2122     183.582
   0  3  4       27.1953     182.831
   0  3  5       27.1825     182.078
   0  3  6       27.1737     181.324
   0  3  7       27.1689     180.569
   0  3  8       27.1682     179.814
   0  3  9       27.1715     179.058
   0  3 10       27.1789     178.301
   0  3 11       27.1903     177.545
   0  3 12       27.2058     176.789
   0  3 13       27.2254     176.034
   0  3 14       27.2490     175.280
   0  3 15       27.2767     174.526
   0  3 16       27.3084     173.774
   0  3 17       27.3441     173.024
   0  3 18       27.3838     172.275
   0  3 19       27.4275     171.529
   0  3 20       27.4751     170.785
   0  3 21       27.5267     170.043
   0  3 22       27.5822     169.305
   0  3 23       27.6416     168.569
   0  3 24       27.7048     167.837
   0  3 25       27.7718     167.108
   0  3 26       27.8426     166.383
   0  3 27       27.9171     165.662
   0  3 28       27.9952     164.945
   0  3 29       28.0771     164.232
   0  3 30       28.1625     163.524
   0  3 31       28.2514     162.820
   0  4  0       27.6288     185.763
   0  4  1       27.6007     185.026
   0  4  2       27.5764     184.287
   0  4  3       27.5560     183.546
   0  4  4       27.5395     182.803
   0  4  5       27.5270     182.059
   0  4  6       27.5184     181.313
   0  4  7       27.5138     180.567
   0  4  8       27.5132     179.820
   0  4  9       27.5166     179.072
   0  4 10       27.5239     178.324
   0  4 11       27.5353     177.577
   0  4 12       27.5507     176.829
   0  4 13       27.5701     176.082
   0  4 14       27.5935     175.336
   0  4 15       27.6209     174.591
   0  4 16       27.6523     173.847
   0  4 17       27.6876     173.105
   0  4 18       27.7269     172.365
   0  4 19       27.7701     171.626
   0  4 20       27.8172     170.890
   0  4 21       27.8682     170.157
   0  4 22       27.9230     169.426
   0  4 23       27.9817     168.698
   0  4 24       28.0442     167.973
   0  4 25       28.1104     167.252
   0  4 26       28.1803     166.534
   0  4 27       28.2539     165.820
   0  4 28       28.3312     165.110
   0  4 29       28.4121     164.405
   0  4 30       28.4965     163.703
   0  4 31       28.5843     163.006
   0  5  0       27.9716     185.704
   0  5  1       27.9440     184.975
   0  5  2       27.9201     184.244
   0  5  3       27.9001     183.511
   0  5  4       27.8840     182.776
   0  5  5       27.8717     182.040
   0  5  6       27.8633     181.303
   0  5  7       27.8589     180.565
   0  5  8       27.8584     179.826
   0  5  9       27.8619     179.086
   0  5 10       27.8693     178.347
   0  5 11       27.8806     177.607
   0  5 12       27.8959     176.868
   0  5 13       27.9151     176.129
   0  5 14       27.9383     175.391
   0  5 15       27.9654     174.654
   0  5 16       27.9965     173.919
   0  5 17       28.0314     173.184
   0  5 18       28.0703     172.452
   0  5 19       28.1130     171.722
   0  5 20       28.1596     170.993
   0  5 21       28.2100     170.267
   0  5 22       28.2642     169.544
   0  5 23       28.3222     168.824
   0  5 24       28.3840     168.107
   0  5 25       28.4494     167.393
   0  5 26       28.5185     166.682
   0  5 27       28.5913     165.975
   0  5 28       28.6676     165.272
   0  5 29       28.7475     164.573
   0  5 30       28.8309     163.878
   0  5 31       28.9178     163.188
   0  6  0       28.3147     185.646
   0  6  1       28.2875     184.925
   0  6  2       28.2641     184.202
   0  6  3       28.2445     183.477
   0  6  4       28.2287     182.750
   0  6  5       28.2167     182.022
   0  6  6       28.2086     181.292
   0  6  7       28.2043     180.562
   0  6  8       28.2039     179.831
   0  6  9       28.2074     179.100
   0  6 10       28.2148     178.369
   0  6 11       28.2261     177.637
   0  6 12       28.2413     176.906
   0  6 13       28.2604     176.175
   0  6 14       28.2834     175.445
   0  6 15       28.3103     174.716
   0  6 16       28.3410     173.988
   0  6 17       28.3756     173.262
   0  6 18       28.4140     172.538
   0  6 19       28.4563     171.815
   0  6 20       28.5024     171.094
   0  6 21       28.5522     170.376
   0  6 22       28.6058     169.660
   0  6 23       28.6631     168.947
   0  6 24       28.7241     168.237
   0  6 25       28.7888     167.530
   0  6 26       28.8571     166.827
   0  6 27       28.9290     166.127
   0  6 28       29.0045     165.431
   0  6 29       29.0834     164.739
   0  6 30       29.1659     164.050
   0  6 31       29.2517     163.366
   0  7  0       28.6580     185.589
   0  7  1       28.6313     184.876
   0  7  2       28.6083     184.160
   0  7  3       28.5891     183.443
   0  7  4       28.5736     182.724
   0  7  5       28.5619     182.004
   0  7  6       28.5540     181.282
   0  7  7       28.5499     180.560
   0  7  8       28.5497     179.837
   0  7  9       28.5532     179.114
   0  7 10       28.5606     178.390
   0  7 11       28.5719     177.666
   0  7 12       28.5870     176.943
   0  7 13       28.6060     176.220
   0  7 14       28.6287     175.498
   0  7 15       28.6553     174.777
   0  7 16       28.6858     174.057
   0  7 17       28.7200     173.338
   0  7 18       28.7580     172.621
   0  7 19       28.7998     171.906
   0  7 20       28.8454     171.193
   0  7 21       28.8947     170.482
   0  7 22       28.9477     169.774
   0  7 23       29.0043     169.068
   0  7 24       29.0647     168.365
   0  7 25       29.1286     167.665
   0  7 26       29.1961     166.969
   0  7 27       29.2672     166.276
   0  7 28       29.3417     165.586
   0  7 29       29.4198     164.901
   0  7 30       29.5012     164.219
   0  7 31       29.5861     163.541
   0  8  0       29.0015     185.534
   0  8  1       28.9753     184.828
   0  8  2       28.9527     184.120
   0  8  3       28.9339     183.410
   0  8  4       28.9187     182.699
   0  8  5       28.9073     181.986
   0  8  6       28.8996     181.272
   0  8  7       28.8957     180.558
   0  8  8       28.8956     179.842
   0  8  9       28.8992     179.127
   0  8 10       28.9067     178.411
   0  8 11       28.9179     177.695
   0  8 12       28.9329     176.979
   0  8 13       28.9517     176.264
   0  8 14       28.9743     175.550
   0  8 15       29.0006     174.836
   0  8 16       29.0308     174.124
   0  8 17       29.0647     173.413
   0  8 18       29.1023     172.703
   0  8 19       29.1436     171.995
   0  8 20       29.1887     171.290
   0  8 21       29.2374     170.586
   0  8 22       29.2898     169.885
   0  8 23       29.3459     169.186
   0  8 24       29.4055     168.490
   0  8 25       29.4687     167.798
   0  8 26       29.5354     167.108
   0  8 27       29.6057     166.421
   0  8 28       29.6794     165.738
   0  8 29       29.7565     165.059
   0  8 30       29.8370     164.384
   0  8 31       29.9209     163.712
   0  9  0       29.3452     185.480
   0  9  1       29.3195     184.781
   0  9  2       29.2974     184.080
   0  9  3       29.2789     183.378
   0  9  4       29.2640     182.674
   0  9  5       29.2529     181.969
   0  9  6       29.2454     181.262
   0  9  7       29.2417     180.555
   0  9  8       29.2417     179.848
   0  9  9       29.2454     179.140
   0  9 10       29.2529     178.431
   0  9 11       29.2640     177.723
   0  9 12       29.2790     177.015
   0  9 13       29.2976     176.307
   0  9 14       29.3200     175.600
   0  9 15       29.3461     174.894
   0  9 16       29.3760     174.189
   0  9 17       29.4095     173.486
   0  9 18       29.4468     172.783
   0  9 19       29.4877     172.083
   0  9 20       29.5323     171.384
   0  9 21       29.5805     170.688
   0  9 22       29.6323     169.994
   0  9 23       29.6877     169.302
   0  9 24       29.7466     168.613
   0  9 25       29.8091     167.927
   0  9 26       29.8751     167.244
   0  9 27       29.9445     166.564
   0  9 28       30.0173     165.888
   0  9 29       30.0936     165.215
   0  9 30       30.1732     164.546
   0  9 31       30.2561     163.880
   0 10  0       29.6891     185.426
   0 10  1       29.6638     184.735
   0 10  2       29.6421     184.041
   0 10  3       29.6240     183.346
   0 10  4       29.6095     182.649
   0 10  5       29.5986     181.952
   0 10  6       29.5914     181.253
   0 10  7       29.5878     180.553
   0 10  8       29.5879     179.853
   0 10  9       29.5917     179.152
   0 10 10       29.5992     178.451
   0 10 11       29.6104     177.750
   0 10 12       29.6252     177.050
   0 10 13       29.6437     176.350
   0 10 14       29.6659     175.650
   0 10 15       29.6918     174.951
   0 10 16       29.7214     174.253
   0 10 17       29.7546     173.557
   0 10 18       29.7915     172.862
   0 10 19       29.8319     172.169
   0 10 20       29.8760     171.477
   0 10 21       29.9237     170.788
   0 10 22       29.9749     170.100
   0 10 23       30.0297     169.416
   0 10 24       30.0880     168.733
   0 10 25       30.1498     168.054
   0 10 26       30.2150     167.377
   0 10 27       30.2836     166.704
   0 10 28       30.3556     166.034
   0 10 29       30.4310     165.367
   0 10 30       30.5097     164.704
   0 10 31       30.5916     164.045
   0 11  0       30.0332     185.374
   0 11  1       30.0083     184.690
   0 11  2       29.9870     184.003
   0 11  3       29.9693     183.315
   0 11  4       29.9551     182.626
   0 11  5       29.9445     181.935
   0 11  6       29.9375     181.243
   0 11  7       29.9341     180.551
   0 11  8       29.9343     179.858
   0 11  9       29.9382     179.165
   0 11 10       29.9457     178.471
   0 11 11       29.9568     177.777
   0 11 12       29.9716     177.084
   0 11 13       29.9900     176.391
   0 11 14       30.0120     175.698
   0 11 15       30.0377     175.007
   0 11 16       30.0669     174.316
   0 11 17       30.0998     173.627
   0 11 18       30.1363     172.939
   0 11 19       30.1764     172.253
   0 11 20       30.2200     171.568
   0 11 21       30.2671     170.885
   0 11 22       30.3178     170.205
   0 11 23       30.3720     169.527
   0 11 24       30.4296     168.851
   0 11 25       30.4907     168.178
   0 11 26       30.5552     167.508
   0 11 27       30.6230     166.841
   0 11 28       30.6942     166.177
   0 11 29       30.7687     165.517
   0 11 30       30.8465     164.860
   0 11 31       30.9275     164.206
   0 12  0       30.3773     185.323
   0 12  1       30.3530     184.645
   0 12  2       30.3321     183.966
   0 12  3       30.3147     183.285
   0 12  4       30.3008     182.602
   0 12  5       30.2905     181.919
   0 12  6       30.2837     181.234
   0 12  7       30.2805     180.549
   0 12  8       30.2808     179.863
   0 12  9       30.2847     179.177
   0 12 10       30.2922     178.490
   0 12 11       30.3033     177.804
   0 12 12       30.3180     177.117
   0 12 13       30.3363     176.431
   0 12 14       30.3582     175.746
   0 12 15       30.3836     175.061
   0 12 16       30.4126     174.378
   0 12 17       30.4452     173.695
   0 12 18       30.4813     173.014
   0 12 19       30.5209     172.335
   0 12 20       30.5641     171.657
   0 12 21       30.6107     170.981
   0 12 22       30.6609     170.307
   0 12 23       30.7144     169.636
   0 12 24       30.7714     168.967
   0 12 25       30.8318     168.300
   0 12 26       30.8956     167.636
   0 12 27       30.9626     166.976
   0 12 28       31.0330     166.318
   0 12 29       31.1067     165.663
   0 12 30       31.1835     165.012
   0 12 31       31.2636     164.365
   0 13  0       30.7216     185.273
   0 13  1       30.6977     184.602
   0 13  2       30.6772     183.929
   0 13  3       30.6601     183.255
   0 13  4       30.6466     182.580
   0 13  5       30.6365     181.903
   0 13  6       30.6300     181.225
   0 13  7       30.6269     180.547
   0 13  8       30.6274     179.868
   0 13  9       30.6314     179.189
   0 13 10       30.6389     178.509
   0 13 11       30.6500     177.829
   0 13 12       30.6646     177.150
   0 13 13       30.6827     176.471
   0 13 14       30.7044     175.793
   0 13 15       30.7297     175.115
   0 13 16       30.7584     174.438
   0 13 17       30.7907     173.763
   0 13 18       30.8264     173.088
   0 13 19       30.8656     172.415
   0 13 20       30.9083     171.744
   0 13 21       30.9545     171.075
   0 13 22       31.0041     170.408
   0 13 23       31.0570     169.743
   0 13 24       31.1134     169.080
   0 13 25       31.1731     168.420
   0 13 26       31.2362     167.762
   0 13 27       31.3025     167.107
   0 13 28       31.3721     166.456
   0 13 29       31.4449     165.807
   0 13 30       31.5209     165.162
   0 13 31       31.6000     164.520
   0 14  0       31.0659     185.224
   0 14  1       31.0424     184.559
   0 14  2       31.0223     183.893
   0 14  3       31.0057     183.226
   0 14  4       30.9924     182.557
   0 14  5       30.9826     181.887
   0 14  6       30.9763     181.217
   0 14  7       30.9734     180.545
   0 14  8       30.9740     179.873
   0 14  9       30.9780     179.200
   0 14 10       30.9856     178.528
   0 14 11       30.9967     177.855
   0 14 12       31.0112     177.182
   0 14 13       31.0292     176.510
   0 14 14       31.0508     175.838
   0 14 15       31.0758     175.167
   0 14 16       31.1043     174.497
   0 14 17       31.1362     173.828
   0 14 18       31.1716     173.161
   0 14 19       31.2104     172.494
   0 14 20       31.2527     171.830
   0 14 21       31.2984     171.167
   0 14 22       31.3474     170.506
   0 14 23       31.3998     169.847
   0 14 24       31.4555     169.191
   0 14 25       31.5146     168.537
   0 14 26       31.5769     167.885
   0 14 27       31.6425     167.237
   0 14 28       31.7113     166.591
   0 14 29       31.7833     165.948
   0 14 30       31.8584     165.309
   0 14 31       31.9367     164.673
   0 15  0       31.4102     185.176
   0 15  1       31.3872     184.518
   0 15  2       31.3675     183.858
   0 15  3       31.3512     183.197
   0 15  4       31.3383     182.535
   0 15  5       31.3287     181.872
   0 15  6       31.3226     181.208
   0 15  7       31.3199     180.543
   0 15  8       31.3206     179.877
   0 15  9       31.3248     179.212
   0 15 10       31.3323     178.546
   0 15 11       31.3434     177.880
   0 15 12       31.3579     177.214
   0 15 13       31.3758     176.548
   0 15 14       31.3971     175.883
   0 15 15       31.4219     175.219
   0 15 16       31.4502     174.555
   0 15 17       31.4818     173.893
   0 15 18       31.5169     173.232
   0 15 19       31.5553     172.572
   0 15 20       31.5971     171.914
   0 15 21       31.6423     171.257
   0 15 22       31.6908     170.603
   0 15 23       31.7427     169.950
   0 15 24       31.7978     169.300
   0 15 25       31.8562     168.652
   0 15 26       31.9178     168.006
   0 15 27       31.9827     167.364
   0 15 28       32.0507     166.724
   0 15 29       32.1219     166.087
   0 15 30       32.1962     165.453
   0 15 31       32.2735     164.822
   0 16  0       31.7546     185.129
   0 16  1       31.7320     184.477
   0 16  2       31.7127     183.824
   0 16  3       31.6968     183.169
   0 16  4       31.6842     182.514
   0 16  5       31.6749     181.857
   0 16  6       31.6689     181.199
   0 16  7       31.6664     180.541
   0 16  8       31.6672     179.882
   0 16  9       31.6715     179.223
   0 16 10       31.6791     178.563
   0 16 11       31.6901     177.904
   0 16 12       31.7045     177.244
   0 16 13       31.7223     176.585
   0 16 14       31.7435     175.927
   0 16 15       31.7681     175.269
   0 16 16       31.7961     174.612
   0 16 17       31.8275     173.956
   0 16 18       31.8622     173.301
   0 16 19       31.9002     172.648
   0 16 20       31.9416     171.996
   0 16 21       31.9863     171.346
   0 16 22       32.0343     170.697
   0 16 23       32.0856     170.051
   0 16 24       32.1401     169.406
   0 16 25       32.1979     168.765
   0 16 26       32.2588     168.125
   0 16 27       32.3230     167.488
   0 16 28       32.3902     166.854
   0 16 29       32.4606     166.223
   0 16 30       32.5340     165.594
   0 16 31       32.6105     164.969
   0 17  0       32.0990     185.082
   0 17  1       32.0768     184.437
   0 17  2       32.0579     183.790
   0 17  3       32.0423     183.142
   0 17  4       32.0300     182.493
   0 17  5       32.0210     181.842
   0 17  6       32.0153     181.191
   0 17  7       32.0129     180.539
   0 17  8       32.0138     179.887
   0 17  9       32.0181     179.234
   0 17 10       32.0258     178.581
   0 17 11       32.0368     177.928
   0 17 12       32.0511     177.275
   0 17 13       32.0689     176.622
   0 17 14       32.0899     175.970
   0 17 15       32.1143     175.318
   0 17 16       32.1420     174.668
   0 17 17       32.1731     174.018
   0 17 18       32.2075     173.370
   0 17 19       32.2452     172.722
   0 17 20       32.2861     172.077
   0 17 21       32.3304     171.432
   0 17 22       32.3779     170.790
   0 17 23       32.4286     170.150
   0 17 24       32.4825     169.511
   0 17 25       32.5397     168.875
   0 17 26       32.5999     168.241
   0 17 27       32.6634     167.610
   0 17 28       32.7299     166.982
   0 17 29       32.7995     166.356
   0 17 30       32.8721     165.733
   0 17 31       32.9477     165.113
   0 18  0       32.4433     185.037
   0 18  1       32.4216     184.398
   0 18  2       32.4031     183.757
   0 18  3       32.3878     183.115
   0 18  4       32.3758     182.472
   0 18  5       32.3670     181.828
   0 18  6       32.3615     181.183
   0 18  7       32.3593     180.537
   0 18  8       32.3604     179.891
   0 18  9       32.3648     179.245
   0 18 10       32.3724     178.598
   0 18 11       32.3834     177.951
   0 18 12       32.3977     177.304
   0 18 13       32.4153     176.658
   0 18 14       32.4362     176.012
   0 18 15       32.4604     175.367
   0 18 16       32.4879     174.722
   0 18 17       32.5187     174.079
   0 18 18       32.5528     173.437
   0 18 19       32.5901     172.795
   0 18 20       32.6307     172.156
   0 18 21       32.6744     171.517
