on	tele	type	target	X (m)	Y (m)	Z (m)	offset1 (m)	offset2 (m)	Date	Time
A	HIRA0	FACE	p1	1.175092	-0.06622	0.416667	0.0015	0.0015	3/28/2018	13:24:33
A	HIRA0	FACE	p2	1.142077	-0.100941	0.416269	0.0015	0.0015	3/28/2018	13:24:37
A	HIRA0	FACE	p3	1.142476	-0.106956	0.348072	0.0015	0.0015	3/28/2018	13:24:42
A	HIRA0	FACE	p4	1.1875	-0.059418	0.344888	0.0015	0.0015	3/28/2018	13:24:45
A	HIRA1	FACE	p1	1.187706	-0.058838	0.33731	0.0015	0.0015	3/28/2018	13:25:15
A	HIRA1	FACE	p2	1.14083	-0.106512	0.330951	0.0015	0.0015	3/28/2018	13:25:17
A	HIRA1	FACE	p3	1.137434	-0.094621	0.268684	0.0015	0.0015	3/28/2018	13:25:20
A	HIRA1	FACE	p4	1.183275	-0.047543	0.273896	0.0015	0.0015	3/28/2018	13:25:23
A	HIRA2	FACE	p1	1.169394	-0.057925	0.261621	0.0015	0.0015	3/28/2018	13:25:50
A	HIRA2	FACE	p2	1.122422	-0.088392	0.231213	0.0015	0.0015	3/28/2018	13:25:53
A	HIRA2	FACE	p3	1.119327	-0.06895	0.194837	0.0015	0.0015	3/28/2018	13:25:56
A	HIRA2	FACE	p4	1.162757	-0.028707	0.203583	0.0015	0.0015	3/28/2018	13:25:59
A	HIRA3	FACE	p1	1.148694	-0.033138	0.189339	0.0015	0.0015	3/28/2018	13:26:27
A	HIRA3	FACE	p2	1.097704	-0.066303	0.170643	0.0015	0.0015	3/28/2018	13:26:30
A	HIRA3	FACE	p3	1.086158	-0.037031	0.132511	0.0015	0.0015	3/28/2018	13:26:32
A	HIRA3	FACE	p4	1.137952	-0.006207	0.154273	0.0015	0.0015	3/28/2018	13:26:35
A	HIRA4	FACE	p1	1.096723	-0.134344	0.415707	0.0015	0.0015	3/28/2018	13:27:13
A	HIRA4	FACE	p2	1.045439	-0.161656	0.407726	0.0015	0.0015	3/28/2018	13:27:16
A	HIRA4	FACE	p3	1.060764	-0.158321	0.344669	0.0015	0.0015	3/28/2018	13:27:18
A	HIRA4	FACE	p4	1.109335	-0.131091	0.369926	0.0015	0.0015	3/28/2018	13:27:21
A	HIRA5	FACE	p1	1.097378	-0.138545	0.337876	0.0015	0.0015	3/28/2018	13:27:51
A	HIRA5	FACE	p2	1.044428	-0.161313	0.311306	0.0015	0.0015	3/28/2018	13:27:54
A	HIRA5	FACE	p3	1.056027	-0.146424	0.26728	0.0015	0.0015	3/28/2018	13:27:56
A	HIRA5	FACE	p4	1.105593	-0.125572	0.293184	0.0015	0.0015	3/28/2018	13:27:58
A	HIRA6	FACE	p1	1.092884	-0.125226	0.2618	0.0015	0.0015	3/28/2018	13:28:22
A	HIRA6	FACE	p2	1.034979	-0.143136	0.236651	0.0015	0.0015	3/28/2018	13:28:25
A	HIRA6	FACE	p3	1.04676	-0.117026	0.195084	0.0015	0.0015	3/28/2018	13:28:27
A	HIRA6	FACE	p4	1.095054	-0.103829	0.21977	0.0015	0.0015	3/28/2018	13:28:29
A	HIRA7	FACE	p1	1.049604	-0.112089	0.189515	0.0015	0.0015	3/28/2018	13:28:56
A	HIRA7	FACE	p2	1.01805	-0.110344	0.167877	0.0015	0.0015	3/28/2018	13:28:59
A	HIRA7	FACE	p3	1.021941	-0.07846	0.132641	0.0015	0.0015	3/28/2018	13:29:02
A	HIRA7	FACE	p4	1.076737	-0.068864	0.155147	0.0015	0.0015	3/28/2018	13:29:05
A	HIRA8	FACE	p1	0.995875	-0.167459	0.452155	0.0015	0.0015	3/28/2018	13:30:45
A	HIRA8	FACE	p2	0.942744	-0.182012	0.422538	0.0015	0.0015	3/28/2018	13:30:48
A	HIRA8	FACE	p3	0.967377	-0.185104	0.3812	0.0015	0.0015	3/28/2018	13:30:51
A	HIRA8	FACE	p4	1.014967	-0.174634	0.392471	0.0015	0.0015	3/28/2018	13:30:54
A	HIRA9	FACE	p1	0.958941	-0.186781	0.374779	0.0015	0.0015	3/28/2018	13:31:22
A	HIRA9	FACE	p2	0.944296	-0.18698	0.334734	0.0015	0.0015	3/28/2018	13:31:25
A	HIRA9	FACE	p4	0.96887	-0.180665	0.302942	0.0015	0.0015	3/28/2018	13:31:31
A	HIRA9	FACE	p5	1.014662	-0.174224	0.329047	0.0015	0.0015	3/28/2018	13:31:34
A	HIRA10	FACE	p1	0.969813	-0.179296	0.296735	0.0015	0.0015	3/28/2018	13:32:53
A	HIRA10	FACE	p2	0.941696	-0.176102	0.270277	0.0015	0.0015	3/28/2018	13:32:55
A	HIRA10	FACE	p3	0.963398	-0.159316	0.22815	0.0015	0.0015	3/28/2018	13:32:58
A	HIRA10	FACE	p4	1.01189	-0.158924	0.254469	0.0015	0.0015	3/28/2018	13:33:01
A	HIRA11	FACE	p1	0.963314	-0.156462	0.221871	0.0015	0.0015	3/28/2018	13:33:28
A	HIRA11	FACE	p2	0.937096	-0.148288	0.200461	0.0015	0.0015	3/28/2018	13:33:30
A	HIRA11	FACE	p3	0.977629	-0.116975	0.159809	0.0015	0.0015	3/28/2018	13:33:33
A	HIRA11	FACE	p4	1.007014	-0.133103	0.195253	0.0015	0.0015	3/28/2018	13:33:36
