Tele EF EB theta(degree) phi(degree)
   0  0  0       25.8778     184.988
   0  0  1       25.8528     184.202
   0  0  2       25.8320     183.415
   0  0  3       25.8155     182.625
   0  0  4       25.8032     181.834
   0  0  5       25.7952     181.042
   0  0  6       25.7915     180.249
   0  0  7       25.7921     179.455
   0  0  8       25.7970     178.660
   0  0  9       25.8063     177.866
   0  0 10       25.8198     177.072
   0  0 11       25.8377     176.278
   0  0 12       25.8599     175.485
   0  0 13       25.8864     174.693
   0  0 14       25.9172     173.903
   0  0 15       25.9523     173.115
   0  0 16       25.9916     172.328
   0  0 17       26.0352     171.544
   0  0 18       26.0830     170.763
   0  0 19       26.1350     169.984
   0  0 20       26.1911     169.209
   0  0 21       26.2514     168.436
   0  0 22       26.3157     167.668
   0  0 23       26.3841     166.903
   0  0 24       26.4565     166.143
   0  0 25       26.5329     165.387
   0  0 26       26.6132     164.636
   0  0 27       26.6973     163.889
   0  0 28       26.7853     163.148
   0  0 29       26.8770     162.411
   0  0 30       26.9724     161.680
   0  0 31       27.0714     160.955
   0  1  0       26.2206     184.934
   0  1  1       26.1960     184.157
   0  1  2       26.1756     183.379
   0  1  3       26.1594     182.599
   0  1  4       26.1474     181.817
   0  1  5       26.1397     181.034
   0  1  6       26.1361     180.250
   0  1  7       26.1368     179.465
   0  1  8       26.1417     178.680
   0  1  9       26.1510     177.895
   0  1 10       26.1644     177.110
   0  1 11       26.1821     176.326
   0  1 12       26.2041     175.542
   0  1 13       26.2304     174.760
   0  1 14       26.2608     173.978
   0  1 15       26.2955     173.199
   0  1 16       26.3344     172.422
   0  1 17       26.3775     171.646
   0  1 18       26.4247     170.874
   0  1 19       26.4761     170.104
   0  1 20       26.5316     169.337
   0  1 21       26.5911     168.573
   0  1 22       26.6547     167.813
   0  1 23       26.7222     167.057
   0  1 24       26.7938     166.304
   0  1 25       26.8692     165.556
   0  1 26       26.9485     164.813
   0  1 27       27.0316     164.074
   0  1 28       27.1185     163.339
   0  1 29       27.2091     162.610
   0  1 30       27.3033     161.887
   0  1 31       27.4012     161.168
   0  2  0       26.5637     184.881
   0  2  1       26.5396     184.113
   0  2  2       26.5197     183.344
   0  2  3       26.5038     182.573
   0  2  4       26.4920     181.800
   0  2  5       26.4845     181.026
   0  2  6       26.4811     180.251
   0  2  7       26.4819     179.475
   0  2  8       26.4868     178.699
   0  2  9       26.4960     177.923
   0  2 10       26.5094     177.147
   0  2 11       26.5270     176.372
   0  2 12       26.5488     175.598
   0  2 13       26.5747     174.824
   0  2 14       26.6049     174.052
   0  2 15       26.6392     173.281
   0  2 16       26.6776     172.513
   0  2 17       26.7202     171.746
   0  2 18       26.7669     170.982
   0  2 19       26.8177     170.220
   0  2 20       26.8725     169.462
   0  2 21       26.9313     168.707
   0  2 22       26.9941     167.955
   0  2 23       27.0609     167.206
   0  2 24       27.1315     166.462
   0  2 25       27.2061     165.721
   0  2 26       27.2844     164.985
   0  2 27       27.3665     164.254
   0  2 28       27.4523     163.527
   0  2 29       27.5419     162.805
   0  2 30       27.6350     162.088
   0  2 31       27.7317     161.377
   0  3  0       26.9073     184.829
   0  3  1       26.8836     184.070
   0  3  2       26.8640     183.310
   0  3  3       26.8485     182.547
   0  3  4       26.8370     181.783
   0  3  5       26.8296     181.018
   0  3  6       26.8264     180.252
   0  3  7       26.8273     179.485
   0  3  8       26.8323     178.718
   0  3  9       26.8414     177.951
   0  3 10       26.8547     177.184
   0  3 11       26.8722     176.418
   0  3 12       26.8938     175.652
   0  3 13       26.9195     174.887
   0  3 14       26.9493     174.124
   0  3 15       26.9832     173.362
   0  3 16       27.0213     172.602
