Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0  0  0       25.8778         0.7157       184.988        1.651
   0  0  1       25.8528         0.7102       184.202        1.672
   0  0  2       25.8320         0.7045       183.415        1.692
   0  0  3       25.8155         0.6986       182.625        1.713
   0  0  4       25.8032         0.6925       181.834        1.732
   0  0  5       25.7952         0.6862       181.042        1.751
   0  0  6       25.7915         0.6797       180.249        1.769
   0  0  7       25.7921         0.6730       179.455        1.787
   0  0  8       25.7970         0.6660       178.660        1.804
   0  0  9       25.8063         0.6590       177.866        1.820
   0  0 10       25.8198         0.6517       177.072        1.836
   0  0 11       25.8377         0.6442       176.278        1.850
   0  0 12       25.8599         0.6366       175.485        1.865
   0  0 13       25.8864         0.6289       174.693        1.878
   0  0 14       25.9172         0.6209       173.903        1.890
   0  0 15       25.9523         0.6129       173.115        1.902
   0  0 16       25.9916         0.6047       172.328        1.913
   0  0 17       26.0352         0.5963       171.544        1.923
   0  0 18       26.0830         0.5878       170.763        1.932
   0  0 19       26.1350         0.5792       169.984        1.941
   0  0 20       26.1911         0.5705       169.209        1.949
   0  0 21       26.2514         0.5617       168.436        1.955
   0  0 22       26.3157         0.5529       167.668        1.962
   0  0 23       26.3841         0.5439       166.903        1.967
   0  0 24       26.4565         0.5348       166.143        1.971
   0  0 25       26.5329         0.5257       165.387        1.975
   0  0 26       26.6132         0.5165       164.636        1.978
   0  0 27       26.6973         0.5072       163.889        1.980
   0  0 28       26.7853         0.4980       163.148        1.982
   0  0 29       26.8770         0.4886       162.411        1.982
   0  0 30       26.9724         0.4793       161.680        1.982
   0  0 31       27.0714         0.4699       160.955        1.981
   0  1  0       26.2206         0.7136       184.934        1.633
   0  1  1       26.1960         0.7082       184.157        1.653
   0  1  2       26.1756         0.7025       183.379        1.673
   0  1  3       26.1594         0.6967       182.599        1.693
   0  1  4       26.1474         0.6907       181.817        1.712
   0  1  5       26.1397         0.6845       181.034        1.731
   0  1  6       26.1361         0.6780       180.250        1.748
   0  1  7       26.1368         0.6714       179.465        1.766
   0  1  8       26.1417         0.6646       178.680        1.782
   0  1  9       26.1510         0.6576       177.895        1.798
   0  1 10       26.1644         0.6505       177.110        1.813
   0  1 11       26.1821         0.6431       176.326        1.828
   0  1 12       26.2041         0.6356       175.542        1.842
   0  1 13       26.2304         0.6280       174.760        1.855
   0  1 14       26.2608         0.6202       173.978        1.867
   0  1 15       26.2955         0.6122       173.199        1.878
   0  1 16       26.3344         0.6041       172.422        1.889
   0  1 17       26.3775         0.5959       171.646        1.899
   0  1 18       26.4247         0.5876       170.874        1.908
   0  1 19       26.4761         0.5791       170.104        1.917
   0  1 20       26.5316         0.5705       169.337        1.924
   0  1 21       26.5911         0.5619       168.573        1.931
   0  1 22       26.6547         0.5531       167.813        1.937
   0  1 23       26.7222         0.5442       167.057        1.943
   0  1 24       26.7938         0.5353       166.304        1.947
   0  1 25       26.8692         0.5263       165.556        1.951
   0  1 26       26.9485         0.5173       164.813        1.954
   0  1 27       27.0316         0.5081       164.074        1.956
   0  1 28       27.1185         0.4990       163.339        1.958
   0  1 29       27.2091         0.4898       162.610        1.959
   0  1 30       27.3033         0.4805       161.887        1.959
   0  1 31       27.4012         0.4713       161.168        1.958
   0  2  0       26.5637         0.7114       184.881        1.615
   0  2  1       26.5396         0.7061       184.113        1.635
   0  2  2       26.5197         0.7005       183.344        1.655
   0  2  3       26.5038         0.6948       182.573        1.674
   0  2  4       26.4920         0.6888       181.800        1.693
   0  2  5       26.4845         0.6827       181.026        1.711
   0  2  6       26.4811         0.6763       180.251        1.728
   0  2  7       26.4819         0.6698       179.475        1.745
   0  2  8       26.4868         0.6631       178.699        1.761
   0  2  9       26.4960         0.6562       177.923        1.777
   0  2 10       26.5094         0.6492       177.147        1.791
   0  2 11       26.5270         0.6420       176.372        1.806
   0  2 12       26.5488         0.6346       175.598        1.819
   0  2 13       26.5747         0.6270       174.824        1.832
   0  2 14       26.6049         0.6193       174.052        1.844
   0  2 15       26.6392         0.6115       173.281        1.855
   0  2 16       26.6776         0.6035       172.513        1.866
   0  2 17       26.7202         0.5954       171.746        1.876
   0  2 18       26.7669         0.5872       170.982        1.885
   0  2 19       26.8177         0.5789       170.220        1.893
   0  2 20       26.8725         0.5704       169.462        1.901
   0  2 21       26.9313         0.5619       168.707        1.908
   0  2 22       26.9941         0.5533       167.955        1.914
   0  2 23       27.0609         0.5445       167.206        1.919
   0  2 24       27.1315         0.5357       166.462        1.924
   0  2 25       27.2061         0.5269       165.721        1.927
   0  2 26       27.2844         0.5179       164.985        1.931
   0  2 27       27.3665         0.5089       164.254        1.933
   0  2 28       27.4523         0.4999       163.527        1.935
   0  2 29       27.5419         0.4908       162.805        1.936
   0  2 30       27.6350         0.4817       162.088        1.936
   0  2 31       27.7317         0.4726       161.377        1.936
   0  3  0       26.9073         0.7092       184.829        1.598
   0  3  1       26.8836         0.7039       184.070        1.618
   0  3  2       26.8640         0.6984       183.310        1.637
   0  3  3       26.8485         0.6928       182.547        1.655
   0  3  4       26.8370         0.6869       181.783        1.674
   0  3  5       26.8296         0.6809       181.018        1.691
   0  3  6       26.8264         0.6746       180.252        1.708
   0  3  7       26.8273         0.6682       179.485        1.725
   0  3  8       26.8323         0.6616       178.718        1.740
   0  3  9       26.8414         0.6548       177.951        1.756
   0  3 10       26.8547         0.6478       177.184        1.770
   0  3 11       26.8722         0.6407       176.418        1.784
   0  3 12       26.8938         0.6334       175.652        1.797
   0  3 13       26.9195         0.6260       174.887        1.810
   0  3 14       26.9493         0.6184       174.124        1.822
   0  3 15       26.9832         0.6107       173.362        1.833
   0  3 16       27.0213         0.6029       172.602        1.843
   0  3 17       27.0634         0.5949       171.844        1.853
   0  3 18       27.1095         0.5868       171.088        1.862
   0  3 19       27.1597         0.5786       170.335        1.870
   0  3 20       27.2139         0.5703       169.584        1.878
   0  3 21       27.2720         0.5618       168.837        1.884
   0  3 22       27.3340         0.5533       168.093        1.890
   0  3 23       27.4000         0.5447       167.353        1.896
   0  3 24       27.4698         0.5361       166.616        1.900
   0  3 25       27.5434         0.5273       165.883        1.904
   0  3 26       27.6208         0.5185       165.155        1.908
   0  3 27       27.7020         0.5096       164.430        1.910
   0  3 28       27.7868         0.5007       163.711        1.912
   0  3 29       27.8752         0.4918       162.996        1.913
   0  3 30       27.9672         0.4828       162.286        1.914
   0  3 31       28.0628         0.4737       161.581        1.913
   0  4  0       27.2512         0.7069       184.779        1.581
   0  4  1       27.2279         0.7017       184.028        1.600
   0  4  2       27.2087         0.6963       183.276        1.619
   0  4  3       27.1935         0.6907       182.522        1.637
   0  4  4       27.1823         0.6849       181.767        1.655
   0  4  5       27.1751         0.6790       181.010        1.672
   0  4  6       27.1720         0.6728       180.253        1.689
   0  4  7       27.1730         0.6665       179.495        1.705
   0  4  8       27.1781         0.6600       178.737        1.720
   0  4  9       27.1872         0.6533       177.978        1.735
   0  4 10       27.2004         0.6464       177.220        1.749
   0  4 11       27.2177         0.6394       176.462        1.763
   0  4 12       27.2391         0.6323       175.705        1.776
   0  4 13       27.2646         0.6249       174.949        1.788
   0  4 14       27.2941         0.6175       174.194        1.800
   0  4 15       27.3277         0.6099       173.440        1.811
   0  4 16       27.3653         0.6021       172.689        1.821
   0  4 17       27.4069         0.5943       171.939        1.831
   0  4 18       27.4525         0.5863       171.191        1.839
   0  4 19       27.5021         0.5782       170.446        1.848
   0  4 20       27.5557         0.5700       169.704        1.855
   0  4 21       27.6131         0.5617       168.965        1.862
   0  4 22       27.6744         0.5533       168.229        1.868
   0  4 23       27.7396         0.5448       167.496        1.873
   0  4 24       27.8086         0.5363       166.767        1.878
   0  4 25       27.8813         0.5277       166.042        1.882
   0  4 26       27.9578         0.5190       165.320        1.885
   0  4 27       28.0380         0.5102       164.603        1.888
   0  4 28       28.1218         0.5014       163.891        1.890
   0  4 29       28.2092         0.4926       163.183        1.891
   0  4 30       28.3001         0.4837       162.479        1.892
   0  4 31       28.3945         0.4748       161.781        1.892
   0  5  0       27.5954         0.7046       184.730        1.565
   0  5  1       27.5726         0.6995       183.987        1.583
   0  5  2       27.5537         0.6941       183.244        1.602
   0  5  3       27.5388         0.6886       182.498        1.619
   0  5  4       27.5279         0.6829       181.751        1.637
   0  5  5       27.5209         0.6770       181.003        1.653
   0  5  6       27.5180         0.6710       180.254        1.670
   0  5  7       27.5190         0.6647       179.505        1.685
   0  5  8       27.5241         0.6583       178.755        1.700
   0  5  9       27.5333         0.6517       178.005        1.715
   0  5 10       27.5464         0.6450       177.255        1.729
   0  5 11       27.5636         0.6381       176.506        1.742
   0  5 12       27.5848         0.6310       175.757        1.755
   0  5 13       27.6100         0.6238       175.009        1.767
   0  5 14       27.6392         0.6164       174.262        1.779
   0  5 15       27.6724         0.6089       173.517        1.789
   0  5 16       27.7096         0.6013       172.774        1.799
   0  5 17       27.7508         0.5936       172.032        1.809
   0  5 18       27.7959         0.5857       171.293        1.818
   0  5 19       27.8449         0.5777       170.556        1.826
   0  5 20       27.8979         0.5697       169.821        1.833
   0  5 21       27.9546         0.5615       169.090        1.840
   0  5 22       28.0152         0.5532       168.361        1.846
   0  5 23       28.0796         0.5449       167.636        1.851
   0  5 24       28.1478         0.5364       166.914        1.856
   0  5 25       28.2197         0.5279       166.196        1.860
   0  5 26       28.2953         0.5194       165.482        1.863
   0  5 27       28.3745         0.5107       164.772        1.866
   0  5 28       28.4573         0.5021       164.067        1.868
   0  5 29       28.5436         0.4933       163.365        1.869
   0  5 30       28.6335         0.4846       162.669        1.870
   0  5 31       28.7268         0.4758       161.977        1.870
   0  6  0       27.9399         0.7022       184.681        1.548
   0  6  1       27.9175         0.6972       183.947        1.567
   0  6  2       27.8990         0.6919       183.212        1.585
   0  6  3       27.8844         0.6865       182.474        1.602
   0  6  4       27.8737         0.6809       181.735        1.619
   0  6  5       27.8670         0.6751       180.996        1.635
   0  6  6       27.8642         0.6691       180.255        1.651
   0  6  7       27.8654         0.6629       179.514        1.666
   0  6  8       27.8705         0.6566       178.772        1.681
   0  6  9       27.8796         0.6501       178.031        1.695
   0  6 10       27.8927         0.6435       177.289        1.709
   0  6 11       27.9097         0.6366       176.548        1.722
   0  6 12       27.9307         0.6297       175.808        1.735
   0  6 13       27.9557         0.6226       175.068        1.746
   0  6 14       27.9847         0.6153       174.330        1.758
   0  6 15       28.0175         0.6080       173.592        1.768
   0  6 16       28.0543         0.6004       172.857        1.778
   0  6 17       28.0950         0.5928       172.123        1.787
   0  6 18       28.1397         0.5851       171.392        1.796
   0  6 19       28.1881         0.5772       170.663        1.804
   0  6 20       28.2404         0.5692       169.936        1.811
   0  6 21       28.2965         0.5612       169.212        1.818
   0  6 22       28.3564         0.5530       168.491        1.824
