on	tele	type	target	X (m)	Y (m)	Z (m)	offset1 (m)	offset2 (m)	Date	Time
A	HIRA0	POCKETS	p1	1.164249	-0.07956	0.416059	0.0015	0.0015	3/28/2018	13:11:33
A	HIRA0	POCKETS	p2	1.140307	-0.105871	0.399499	0.0015	0.0015	3/28/2018	13:11:37
A	HIRA0	POCKETS	p3	1.167396	-0.082437	0.345106	0.0015	0.0015	3/28/2018	13:11:40
A	HIRA0	POCKETS	p4	1.190936	-0.055824	0.361645	0.0015	0.0015	3/28/2018	13:11:43
A	HIRA1	POCKETS	p1	1.167055	-0.082397	0.337023	0.0015	0.0015	3/28/2018	13:12:17
A	HIRA1	POCKETS	p2	1.140359	-0.106017	0.320745	0.0015	0.0015	3/28/2018	13:12:20
A	HIRA1	POCKETS	p3	1.158294	-0.073912	0.267005	0.0015	0.0015	3/28/2018	13:12:23
A	HIRA1	POCKETS	p4	1.184693	-0.049981	0.283339	0.0015	0.0015	3/28/2018	13:12:25
A	HIRA2	POCKETS	p1	1.156439	-0.072569	0.260173	0.0015	0.0015	3/28/2018	13:12:55
A	HIRA2	POCKETS	p2	1.127072	-0.0937	0.245087	0.0015	0.0015	3/28/2018	13:12:57
A	HIRA2	POCKETS	p3	1.136157	-0.053255	0.194775	0.0015	0.0015	3/28/2018	13:13:01
A	HIRA2	POCKETS	p4	1.165174	-0.031728	0.2101	0.0015	0.0015	3/28/2018	13:13:04
A	HIRA3	POCKETS	p1	1.13316	-0.05076	0.188532	0.0015	0.0015	3/28/2018	13:13:30
A	HIRA3	POCKETS	p2	1.101363	-0.069832	0.175782	0.0015	0.0015	3/28/2018	13:13:33
A	HIRA3	POCKETS	p3	1.101828	-0.021893	0.131637	0.0015	0.0015	3/28/2018	13:13:36
A	HIRA3	POCKETS	p4	1.133287	-0.002531	0.144746	0.0015	0.0015	3/28/2018	13:13:39
A	HIRA4	POCKETS	p1	1.076617	-0.146106	0.41591	0.0015	0.0015	3/28/2018	13:14:12
A	HIRA4	POCKETS	p2	1.045553	-0.163354	0.399444	0.0015	0.0015	3/28/2018	13:14:15
A	HIRA4	POCKETS	p3	1.078846	-0.150196	0.344996	0.0015	0.0015	3/28/2018	13:14:17
A	HIRA4	POCKETS	p4	1.109738	-0.13259	0.361456	0.0015	0.0015	3/28/2018	13:14:20
A	HIRA5	POCKETS	p1	1.078263	-0.150043	0.337667	0.0015	0.0015	3/28/2018	13:14:44
A	HIRA5	POCKETS	p2	1.045481	-0.163919	0.321236	0.0015	0.0015	3/28/2018	13:14:47
A	HIRA5	POCKETS	p3	1.072944	-0.139138	0.267559	0.0015	0.0015	3/28/2018	13:14:49
A	HIRA5	POCKETS	p4	1.105616	-0.125	0.283994	0.0015	0.0015	3/28/2018	13:14:51
A	HIRA6	POCKETS	p1	1.071804	-0.137204	0.26062	0.0015	0.0015	3/28/2018	13:15:25
A	HIRA6	POCKETS	p2	1.037155	-0.147625	0.245547	0.0015	0.0015	3/28/2018	13:15:27
A	HIRA6	POCKETS	p3	1.058945	-0.112337	0.195234	0.0015	0.0015	3/28/2018	13:15:30
A	HIRA6	POCKETS	p4	1.093374	-0.101503	0.210585	0.0015	0.0015	3/28/2018	13:15:32
A	HIRA7	POCKETS	p1	1.057481	-0.109094	0.188898	0.0015	0.0015	3/28/2018	13:15:58
A	HIRA7	POCKETS	p2	1.021332	-0.116832	0.175943	0.0015	0.0015	3/28/2018	13:16:00
A	HIRA7	POCKETS	p3	1.037456	-0.071525	0.131993	0.0015	0.0015	3/28/2018	13:16:03
A	HIRA7	POCKETS	p4	1.073508	-0.063563	0.145146	0.0015	0.0015	3/28/2018	13:16:05
A	HIRA8	POCKETS	p1	0.977778	-0.171765	0.452307	0.0015	0.0015	3/28/2018	13:16:38
A	HIRA8	POCKETS	p2	0.943159	-0.180687	0.436107	0.0015	0.0015	3/28/2018	13:16:41
A	HIRA8	POCKETS	p3	0.980019	-0.183679	0.382273	0.0015	0.0015	3/28/2018	13:16:44
A	HIRA8	POCKETS	p4	1.014412	-0.174727	0.398651	0.0015	0.0015	3/28/2018	13:16:46
A	HIRA9	POCKETS	p1	0.979938	-0.184329	0.374413	0.0015	0.0015	3/28/2018	13:17:15
A	HIRA9	POCKETS	p2	0.944774	-0.189305	0.357842	0.0015	0.0015	3/28/2018	13:17:18
A	HIRA9	POCKETS	p3	0.979497	-0.180154	0.303388	0.0015	0.0015	3/28/2018	13:17:20
A	HIRA9	POCKETS	p4	1.014544	-0.174782	0.320015	0.0015	0.0015	3/28/2018	13:17:22
A	HIRA10	POCKETS	p1	0.978949	-0.178821	0.296132	0.0015	0.0015	3/28/2018	13:17:53
A	HIRA10	POCKETS	p2	0.943081	-0.180005	0.280362	0.0015	0.0015	3/28/2018	13:17:55
A	HIRA10	POCKETS	p3	0.975521	-0.158419	0.22804	0.0015	0.0015	3/28/2018	13:17:57
A	HIRA10	POCKETS	p4	1.011337	-0.156884	0.243971	0.0015	0.0015	3/28/2018	13:17:59
A	HIRA11	POCKETS	p1	0.975029	-0.155352	0.221242	0.0015	0.0015	3/28/2018	13:18:30
A	HIRA11	POCKETS	p2	0.93849	-0.153223	0.207281	0.0015	0.0015	3/28/2018	13:18:32
A	HIRA11	POCKETS	p3	0.968385	-0.120025	0.159837	0.0015	0.0015	3/28/2018	13:18:35
A	HIRA11	POCKETS	p4	1.004973	-0.121918	0.173945	0.0015	0.0015	3/28/2018	13:18:37
