Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0  0  0       26.2609         0.1395       186.014        0.404
   0  0  1       26.2307         0.1388       185.244        0.405
   0  0  2       26.2046         0.1380       184.470        0.408
   0  0  3       26.1826         0.1372       183.695        0.412
   0  0  4       26.1647         0.1364       182.918        0.417
   0  0  5       26.1511         0.1355       182.139        0.421
   0  0  6       26.1416         0.1346       181.359        0.425
   0  0  7       26.1363         0.1337       180.577        0.429
   0  0  8       26.1352         0.1327       179.795        0.433
   0  0  9       26.1383         0.1317       179.013        0.436
   0  0 10       26.1457         0.1306       178.230        0.440
   0  0 11       26.1573         0.1295       177.447        0.443
   0  0 12       26.1731         0.1284       176.665        0.446
   0  0 13       26.1932         0.1272       175.883        0.449
   0  0 14       26.2175         0.1261       175.102        0.452
   0  0 15       26.2460         0.1251       174.323        0.454
   0  0 16       26.2788         0.1261       173.545        0.457
   0  0 17       26.3157         0.1270       172.769        0.459
   0  0 18       26.3568         0.1279       171.995        0.461
   0  0 19       26.4020         0.1288       171.223        0.463
   0  0 20       26.4513         0.1296       170.454        0.465
   0  0 21       26.5048         0.1304       169.688        0.466
   0  0 22       26.5623         0.1312       168.925        0.467
   0  0 23       26.6238         0.1319       168.166        0.468
   0  0 24       26.6893         0.1326       167.410        0.469
   0  0 25       26.7588         0.1333       166.658        0.470
   0  0 26       26.8322         0.1339       165.910        0.471
   0  0 27       26.9094         0.1344       165.166        0.471
   0  0 28       26.9904         0.1350       164.427        0.471
   0  0 29       27.0753         0.1355       163.693        0.472
   0  0 30       27.1638         0.1359       162.964        0.471
   0  0 31       27.2560         0.1364       162.239        0.471
   0  1  0       26.6024         0.1391       185.949        0.399
   0  1  1       26.5727         0.1384       185.187        0.401
   0  1  2       26.5470         0.1377       184.423        0.403
   0  1  3       26.5254         0.1369       183.657        0.408
   0  1  4       26.5079         0.1360       182.888        0.412
   0  1  5       26.4945         0.1352       182.118        0.416
   0  1  6       26.4853         0.1343       181.347        0.420
   0  1  7       26.4801         0.1333       180.575        0.424
   0  1  8       26.4792         0.1324       179.802        0.428
   0  1  9       26.4824         0.1314       179.028        0.431
   0  1 10       26.4897         0.1303       178.254        0.434
   0  1 11       26.5013         0.1293       177.481        0.438
   0  1 12       26.5170         0.1282       176.707        0.441
   0  1 13       26.5369         0.1270       175.935        0.444
   0  1 14       26.5610         0.1259       175.163        0.446
   0  1 15       26.5892         0.1247       174.392        0.449
   0  1 16       26.6216         0.1257       173.623        0.451
   0  1 17       26.6581         0.1266       172.856        0.453
   0  1 18       26.6987         0.1275       172.090        0.455
   0  1 19       26.7434         0.1284       171.327        0.457
   0  1 20       26.7922         0.1292       170.567        0.459
   0  1 21       26.8450         0.1300       169.809        0.460
   0  1 22       26.9018         0.1307       169.055        0.462
   0  1 23       26.9626         0.1315       168.303        0.463
   0  1 24       27.0273         0.1321       167.555        0.464
   0  1 25       27.0960         0.1328       166.811        0.465
   0  1 26       27.1684         0.1334       166.071        0.465
   0  1 27       27.2448         0.1340       165.335        0.466
   0  1 28       27.3248         0.1345       164.604        0.466
   0  1 29       27.4086         0.1350       163.877        0.466
   0  1 30       27.4961         0.1354       163.154        0.466
   0  1 31       27.5872         0.1359       162.437        0.466
   0  2  0       26.9442         0.1387       185.886        0.395
   0  2  1       26.9150         0.1380       185.133        0.396
   0  2  2       26.8898         0.1373       184.377        0.399
   0  2  3       26.8686         0.1365       183.619        0.403
   0  2  4       26.8515         0.1357       182.859        0.407
   0  2  5       26.8384         0.1348       182.098        0.411
   0  2  6       26.8293         0.1339       181.336        0.415
   0  2  7       26.8244         0.1330       180.572        0.419
   0  2  8       26.8235         0.1321       179.808        0.423
   0  2  9       26.8268         0.1311       179.043        0.426
   0  2 10       26.8342         0.1300       178.278        0.429
   0  2 11       26.8456         0.1290       177.513        0.433
   0  2 12       26.8613         0.1279       176.749        0.436
   0  2 13       26.8810         0.1268       175.985        0.438
   0  2 14       26.9048         0.1256       175.222        0.441
   0  2 15       26.9328         0.1245       174.460        0.444
   0  2 16       26.9648         0.1253       173.700        0.446
   0  2 17       27.0009         0.1262       172.941        0.448
   0  2 18       27.0410         0.1271       172.184        0.450
   0  2 19       27.0852         0.1279       171.429        0.452
   0  2 20       27.1335         0.1287       170.677        0.453
   0  2 21       27.1856         0.1295       169.928        0.455
   0  2 22       27.2418         0.1303       169.181        0.456
   0  2 23       27.3019         0.1310       168.438        0.457
   0  2 24       27.3658         0.1317       167.698        0.458
   0  2 25       27.4336         0.1323       166.961        0.459
   0  2 26       27.5053         0.1329       166.229        0.460
   0  2 27       27.5807         0.1335       165.500        0.460
   0  2 28       27.6598         0.1340       164.776        0.461
   0  2 29       27.7426         0.1345       164.056        0.461
   0  2 30       27.8290         0.1349       163.341        0.461
   0  2 31       27.9190         0.1353       162.631        0.461
   0  3  0       27.2864         0.1383       185.824        0.391
   0  3  1       27.2577         0.1376       185.079        0.392
   0  3  2       27.2329         0.1369       184.332        0.395
   0  3  3       27.2122         0.1361       183.582        0.399
   0  3  4       27.1953         0.1353       182.831        0.403
   0  3  5       27.1825         0.1345       182.078        0.407
   0  3  6       27.1737         0.1336       181.324        0.411
   0  3  7       27.1689         0.1327       180.569        0.414
   0  3  8       27.1682         0.1317       179.814        0.418
   0  3  9       27.1715         0.1308       179.058        0.421
   0  3 10       27.1789         0.1297       178.301        0.424
   0  3 11       27.1903         0.1287       177.545        0.428
   0  3 12       27.2058         0.1276       176.789        0.430
   0  3 13       27.2254         0.1265       176.034        0.433
   0  3 14       27.2490         0.1254       175.280        0.436
   0  3 15       27.2767         0.1242       174.526        0.438
   0  3 16       27.3084         0.1248       173.774        0.441
   0  3 17       27.3441         0.1257       173.024        0.443
   0  3 18       27.3838         0.1266       172.275        0.445
   0  3 19       27.4275         0.1275       171.529        0.446
   0  3 20       27.4751         0.1283       170.785        0.448
   0  3 21       27.5267         0.1290       170.043        0.450
   0  3 22       27.5822         0.1298       169.305        0.451
   0  3 23       27.6416         0.1305       168.569        0.452
   0  3 24       27.7048         0.1312       167.837        0.453
   0  3 25       27.7718         0.1318       167.108        0.454
   0  3 26       27.8426         0.1324       166.383        0.454
   0  3 27       27.9171         0.1329       165.662        0.455
   0  3 28       27.9952         0.1335       164.945        0.455
   0  3 29       28.0771         0.1340       164.232        0.456
   0  3 30       28.1625         0.1344       163.524        0.456
   0  3 31       28.2514         0.1348       162.820        0.455
   0  4  0       27.6288         0.1379       185.763        0.386
   0  4  1       27.6007         0.1372       185.026        0.388
   0  4  2       27.5764         0.1365       184.287        0.391
   0  4  3       27.5560         0.1357       183.546        0.395
   0  4  4       27.5395         0.1349       182.803        0.399
   0  4  5       27.5270         0.1341       182.059        0.402
   0  4  6       27.5184         0.1332       181.313        0.406
   0  4  7       27.5138         0.1323       180.567        0.410
   0  4  8       27.5132         0.1314       179.820        0.413
   0  4  9       27.5166         0.1304       179.072        0.416
   0  4 10       27.5239         0.1294       178.324        0.420
   0  4 11       27.5353         0.1284       177.577        0.423
   0  4 12       27.5507         0.1274       176.829        0.425
   0  4 13       27.5701         0.1263       176.082        0.428
   0  4 14       27.5935         0.1252       175.336        0.431
   0  4 15       27.6209         0.1240       174.591        0.433
   0  4 16       27.6523         0.1244       173.847        0.435
   0  4 17       27.6876         0.1253       173.105        0.438
   0  4 18       27.7269         0.1262       172.365        0.439
   0  4 19       27.7701         0.1270       171.626        0.441
   0  4 20       27.8172         0.1278       170.890        0.443
   0  4 21       27.8682         0.1286       170.157        0.444
   0  4 22       27.9230         0.1293       169.426        0.446
   0  4 23       27.9817         0.1300       168.698        0.447
   0  4 24       28.0442         0.1307       167.973        0.448
   0  4 25       28.1104         0.1313       167.252        0.449
   0  4 26       28.1803         0.1319       166.534        0.449
   0  4 27       28.2539         0.1324       165.820        0.450
   0  4 28       28.3312         0.1330       165.110        0.450
   0  4 29       28.4121         0.1334       164.405        0.450
   0  4 30       28.4965         0.1339       163.703        0.450
   0  4 31       28.5843         0.1343       163.006        0.450
   0  5  0       27.9716         0.1374       185.704        0.382
   0  5  1       27.9440         0.1367       184.975        0.383
   0  5  2       27.9201         0.1360       184.244        0.387
   0  5  3       27.9001         0.1353       183.511        0.390
   0  5  4       27.8840         0.1345       182.776        0.394
   0  5  5       27.8717         0.1337       182.040        0.398
   0  5  6       27.8633         0.1328       181.303        0.402
   0  5  7       27.8589         0.1320       180.565        0.405
   0  5  8       27.8584         0.1310       179.826        0.409
   0  5  9       27.8619         0.1301       179.086        0.412
   0  5 10       27.8693         0.1291       178.347        0.415
   0  5 11       27.8806         0.1281       177.607        0.418
   0  5 12       27.8959         0.1271       176.868        0.421
   0  5 13       27.9151         0.1260       176.129        0.423
   0  5 14       27.9383         0.1249       175.391        0.426
   0  5 15       27.9654         0.1238       174.654        0.428
   0  5 16       27.9965         0.1240       173.919        0.430
   0  5 17       28.0314         0.1249       173.184        0.432
   0  5 18       28.0703         0.1257       172.452        0.434
   0  5 19       28.1130         0.1265       171.722        0.436
   0  5 20       28.1596         0.1273       170.993        0.438
   0  5 21       28.2100         0.1281       170.267        0.439
   0  5 22       28.2642         0.1288       169.544        0.441
   0  5 23       28.3222         0.1295       168.824        0.442
   0  5 24       28.3840         0.1302       168.107        0.443
   0  5 25       28.4494         0.1308       167.393        0.444
   0  5 26       28.5185         0.1314       166.682        0.444
   0  5 27       28.5913         0.1319       165.975        0.445
   0  5 28       28.6676         0.1324       165.272        0.445
   0  5 29       28.7475         0.1329       164.573        0.445
   0  5 30       28.8309         0.1334       163.878        0.446
   0  5 31       28.9178         0.1338       163.188        0.445
   0  6  0       28.3147         0.1370       185.646        0.378
   0  6  1       28.2875         0.1363       184.925        0.379
   0  6  2       28.2641         0.1356       184.202        0.382
