A  Z  ADC   HiRA tele      E(MeV)       E_err  Light(Chn)       L_err
1  1  0        4    0       0.899     0.00263      266.54       0.033
1  1  0        4    0        2.89     0.00687      697.74       0.023
1  1  0        4    0        4.86      0.0115      1124.9       0.035
1  1  0        4    0        6.82      0.0158      1541.9        0.04
1  1  0        4    0        8.77      0.0204      1954.2       0.045
1  1  1        4    1       0.895     0.00285      256.97       0.034
1  1  1        4    1        2.88     0.00711      668.78       0.092
1  1  1        4    1        4.84      0.0117      1077.8       0.192
1  1  1        4    1         6.8      0.0163      1474.8       0.041
1  1  1        4    1        8.75      0.0207      1868.2       0.046
1  1  2        4    2       0.912    0.000427       266.5       0.016
1  1  2        4    2        2.93     0.00117      706.49       0.036
1  1  2        4    2        4.92     0.00192      1144.3       0.325
1  1  2        4    2        6.91     0.00269      1571.1        0.08
1  1  2        4    2        8.89     0.00345      1992.4        0.09
1  1  3        4    3       0.917    0.000281       227.8       0.013
1  1  3        4    3        2.94    0.000957      650.63       0.032
1  1  3        4    3        4.94      0.0016      1072.6        0.27
1  1  3        4    3        6.93     0.00224      1486.5       0.076
1  1  3        4    3        8.92     0.00291      1895.1       0.087
1  1  4       10    1       0.916    0.000304      271.71       0.057
1  1  4       10    1        2.94    0.000959       716.9        0.17
1  1  4       10    1        4.94      0.0016      1098.7       0.059
1  1  4       10    1        6.93     0.00226      1555.9       0.068
1  1  4       10    1        8.92     0.00288      1979.7       0.079
1  1  5       10    2       0.914    0.000378      269.68       0.097
1  1  5       10    2        2.94      0.0011      707.12       0.057
1  1  5       10    2        4.93     0.00183      1176.8       0.086
1  1  5       10    2        6.92     0.00257      1643.3       0.121
1  1  5       10    2         8.9     0.00332      2087.9       0.142
1  1  6       10    3       0.898     0.00271      260.37       0.056
1  1  6       10    3        2.89     0.00699      689.49       0.161
1  1  6       10    3        4.85      0.0114      1113.2       0.339
1  1  6       10    3        6.81      0.0159        1479       0.049
1  1  6       10    3        8.76      0.0204      1907.2       0.049
1  1  7       10    4         0.9     0.00256      263.58        0.06
1  1  7       10    4         2.9     0.00674      686.37       0.032
1  1  7       10    4        4.86      0.0111      1133.5       0.049
1  1  7       10    4        6.82      0.0154      1580.2       0.054
1  1  7       10    4        8.78      0.0197      2020.7       0.059
2  1  0        4    0       0.756     0.00561      243.38       0.068
2  1  0        4    0        2.77      0.0139      640.04       0.026
2  1  0        4    0         4.7      0.0223      1053.7       0.039
2  1  0        4    0        6.62      0.0314      1471.4        0.09
2  1  0        4    0        8.53      0.0398      1887.1       0.154
2  1  1        4    1       0.745     0.00615      233.94       0.071
2  1  1        4    1        2.75      0.0141      611.86       0.108
2  1  1        4    1        4.67      0.0229        1004        0.22
2  1  1        4    1        6.58       0.032        1404       0.102
2  1  1        4    1        8.48      0.0406      1799.6       0.199
2  1  2        4    2        0.78    0.000924      245.94       0.023
2  1  2        4    2        2.84     0.00234      657.77       0.152
2  1  2        4    2        4.83     0.00377      1086.9       0.409
2  1  2        4    2         6.8     0.00531      1521.4       0.127
2  1  2        4    2        8.77     0.00682      1950.5       0.161
2  1  3        4    3       0.792     0.00055       208.3       0.016
2  1  3        4    3        2.87     0.00187      603.03       0.141
2  1  3        4    3        4.86     0.00317      1015.8       0.361
2  1  3        4    3        6.85     0.00447      1436.1       0.118
2  1  3        4    3        8.83     0.00574      1852.2       0.148
2  1  4       10    1        0.79    0.000616      248.55       0.131
2  1  4       10    1        2.86     0.00192      663.84       0.199
2  1  4       10    1        4.86      0.0032      1039.2       0.106
2  1  4       10    1        6.84     0.00453      1496.9       0.123
2  1  4       10    1        8.82     0.00585      1928.1       0.153
2  1  5       10    2       0.785    0.000779      242.77        0.36
2  1  5       10    2        2.85     0.00217      642.08       0.067
2  1  5       10    2        4.84     0.00362      1111.1       0.118
2  1  5       10    2        6.81     0.00506      1583.5       0.218
2  1  5       10    2        8.78     0.00654      2039.1       0.282
2  1  6       10    3       0.751     0.00577      234.19       0.146
2  1  6       10    3        2.76      0.0139      625.96       0.202
2  1  6       10    3        4.68      0.0224      1036.5       0.362
2  1  6       10    3         6.6      0.0313        1397        0.13
2  1  6       10    3        8.51      0.0399      1825.9       0.147
2  1  7       10    4       0.756     0.00551      234.36       0.196
2  1  7       10    4        2.77      0.0133      613.07       0.036
2  1  7       10    4        4.71      0.0215      1056.7       0.051
2  1  7       10    4        6.63      0.0299      1502.3       0.106
2  1  7       10    4        8.54      0.0383      1944.9       0.143
4  2  0        4    0        1.36      0.0142      230.62       0.206
4  2  0        4    0           3      0.0351      457.55        0.02
4  2  0        4    0        4.87      0.0546      719.42       0.034
4  2  0        4    0        6.77      0.0716      1003.2       0.049
4  2  0        4    0        8.64      0.0879        1298       0.054
4  2  0        4    0        10.5       0.105      1619.5       0.147
4  2  0        4    0        12.4       0.122        1975       0.496
4  2  1        4    1        1.34      0.0145      219.34       0.224
4  2  1        4    1        2.95      0.0358      438.89        0.09
4  2  1        4    1        4.79      0.0562      687.53       0.173
4  2  1        4    1        6.67      0.0732      955.76       0.271
4  2  1        4    1        8.53      0.0902      1234.9       0.049
4  2  1        4    1        10.4       0.107      1539.2       0.145
4  2  1        4    1        12.2       0.123      1827.5       0.451
4  2  2        4    2        1.44     0.00246      239.58       0.302
4  2  2        4    2        3.19     0.00598      490.14       0.102
4  2  2        4    2        5.17     0.00933      772.28       0.041
4  2  2        4    2        7.17      0.0124      1080.4       0.058
4  2  2        4    2        9.15      0.0151        1412       0.092
4  2  2        4    2        11.1       0.018      1757.5       0.122
4  2  2        4    2        13.1      0.0212      2108.6       0.098
4  2  3        4    3        1.47     0.00194      201.31       0.195
4  2  3        4    3        3.26     0.00454       436.6       0.019
4  2  3        4    3        5.27     0.00743       706.4       0.034
4  2  3        4    3        7.29        0.01      1000.2       0.047
4  2  3        4    3         9.3      0.0124      1314.4       0.058
4  2  3        4    3        11.3      0.0152      1643.3       0.074
4  2  3        4    3        13.3      0.0177      1981.1        0.07
4  2  4       10    1        1.47       0.002      223.56        0.17
4  2  4       10    1        3.25     0.00469      478.24       0.056
4  2  4       10    1        5.25     0.00761      765.05       0.114
4  2  4       10    1        7.28      0.0102      1078.3       0.043
4  2  4       10    1        9.28      0.0127      1407.3        0.04
4  2  4       10    1        11.3      0.0153      1755.8        0.05
4  2  4       10    1        13.2      0.0177      2117.5       0.052
4  2  5       10    2        1.45     0.00231      213.17       0.232
4  2  5       10    2        3.21     0.00544      481.59       0.055
4  2  5       10    2         5.2     0.00885      781.28       0.038
4  2  5       10    2        7.21      0.0116      1113.6       0.051
4  2  5       10    2         9.2      0.0145      1467.6       0.059
4  2  5       10    2        11.2      0.0172      1838.2       0.076
4  2  5       10    2        13.1        0.02      2218.8       0.075
4  2  6       10    3        1.35      0.0144      200.56       0.167
4  2  6       10    3        2.98      0.0353      430.59        0.07
4  2  6       10    3        4.83      0.0554      686.75       0.117
4  2  6       10    3        6.72      0.0722      967.72        0.18
4  2  6       10    3        8.59      0.0886      1256.8       0.267
4  2  6       10    3        10.4       0.105      1566.8        0.15
4  2  6       10    3        12.3       0.122        1913        0.19
4  2  7       10    4        1.37      0.0139      199.05       0.126
4  2  7       10    4        3.01      0.0343      445.29        0.03
4  2  7       10    4        4.88      0.0534      719.52       0.025
4  2  7       10    4        6.79      0.0694      1024.5       0.037
4  2  7       10    4        8.67      0.0856      1331.8       0.082
4  2  7       10    4        10.5       0.101      1670.4         0.2
4  2  7       10    4        12.4       0.118      2052.9       0.143
