A  Z  ADC   HiRA tele      E(MeV)       E_err   Light(mV)       L_err
1  1  0        4    0       0.899     0.00263      6.9137   0.0033783
1  1  0        4    0        2.89     0.00687      25.214   0.0034358
1  1  0        4    0        4.86      0.0115      43.342   0.0040024
1  1  0        4    0        6.82      0.0158      61.043    0.004593
1  1  0        4    0        8.77      0.0204      78.539   0.0052611
1  1  1        4    1       0.895     0.00285      7.1147   0.0033102
1  1  1        4    1        2.88     0.00711      26.084   0.0052438
1  1  1        4    1        4.84      0.0117      44.926   0.0094844
1  1  1        4    1         6.8      0.0163      63.209   0.0043073
1  1  1        4    1        8.75      0.0207      81.332   0.0048764
1  1  2        4    2       0.912    0.000427      7.6482     0.00296
1  1  2        4    2        2.93     0.00117      27.578   0.0034657
1  1  2        4    2        4.92     0.00192      47.411    0.015114
1  1  2        4    2        6.91     0.00269       66.74   0.0053246
1  1  2        4    2        8.89     0.00345      85.823   0.0060387
1  1  3        4    3       0.917    0.000281       8.975   0.0031285
1  1  3        4    3        2.94    0.000957       32.23   0.0037251
1  1  3        4    3        4.94      0.0016      55.438    0.015313
1  1  3        4    3        6.93     0.00224      78.203   0.0060175
1  1  3        4    3        8.92     0.00291      100.67   0.0069236
1  1  4       10    1       0.916    0.000304      5.9731    0.003839
1  1  4       10    1        2.94    0.000959       22.47    0.007181
1  1  4       10    1        4.94      0.0016      36.618   0.0044193
1  1  4       10    1        6.93     0.00226      53.558   0.0051319
1  1  4       10    1        8.92     0.00288      69.263   0.0059302
1  1  5       10    2       0.914    0.000378      5.6849   0.0046697
1  1  5       10    2        2.94      0.0011      20.225   0.0040803
1  1  5       10    2        4.93     0.00183      35.835   0.0050059
1  1  5       10    2        6.92     0.00257       51.34   0.0062431
1  1  5       10    2         8.9     0.00332      66.121   0.0072577
1  1  6       10    3       0.898     0.00271      6.0382   0.0037913
1  1  6       10    3        2.89     0.00699      22.781   0.0070976
1  1  6       10    3        4.85      0.0114      39.311    0.013735
1  1  6       10    3        6.81      0.0159      53.583   0.0045829
1  1  6       10    3        8.76      0.0204      70.291   0.0051633
1  1  7       10    4         0.9     0.00256      5.6808   0.0038553
1  1  7       10    4         2.9     0.00674      20.466   0.0036099
1  1  7       10    4        4.86      0.0111      36.102   0.0042109
1  1  7       10    4        6.82      0.0154      51.722   0.0048001
1  1  7       10    4        8.78      0.0197      67.126    0.005475
2  1  0        4    0       0.756     0.00561      5.9305   0.0042131
2  1  0        4    0        2.77      0.0139      22.765   0.0034336
2  1  0        4    0         4.7      0.0223      40.322   0.0039938
2  1  0        4    0        6.62      0.0314      58.049   0.0056529
2  1  0        4    0        8.53      0.0398      75.691   0.0081058
2  1  1        4    1       0.745     0.00615       6.054   0.0043792
2  1  1        4    1        2.75      0.0141      23.462   0.0058373
2  1  1        4    1        4.67      0.0229      41.526    0.010675
2  1  1        4    1        6.58       0.032      59.951   0.0060333
2  1  1        4    1        8.48      0.0406      78.172    0.010123
2  1  2        4    2        0.78    0.000924      6.7169   0.0030497
2  1  2        4    2        2.84     0.00234      25.371   0.0075213
2  1  2        4    2        4.83     0.00377       44.81     0.01883
2  1  2        4    2         6.8     0.00531      64.491    0.006917
2  1  2        4    2        8.77     0.00682      83.926   0.0085158
2  1  3        4    3       0.792     0.00055      7.9026   0.0031658
2  1  3        4    3        2.87     0.00187      29.612    0.008406
2  1  3        4    3        4.86     0.00317      52.314     0.02019
2  1  3        4    3        6.85     0.00447      75.429   0.0077581
2  1  3        4    3        8.83     0.00574      98.313   0.0095163
2  1  4       10    1        0.79    0.000616       5.115   0.0058144
2  1  4       10    1        2.86     0.00192      20.503   0.0081222
2  1  4       10    1        4.86      0.0032      34.411   0.0054444
2  1  4       10    1        6.84     0.00453      51.372   0.0063225
2  1  4       10    1        8.82     0.00585      67.348   0.0076055
2  1  5       10    2       0.785    0.000779      4.7904    0.012432
2  1  5       10    2        2.85     0.00217      18.063    0.004202
2  1  5       10    2        4.84     0.00362      33.653   0.0056221
2  1  5       10    2        6.81     0.00506      49.353   0.0086273
2  1  5       10    2        8.78     0.00654      64.497    0.010832
2  1  6       10    3       0.751     0.00577      5.0169   0.0064821
2  1  6       10    3        2.76      0.0139      20.302   0.0085288
2  1  6       10    3        4.68      0.0224       36.32     0.01458
2  1  6       10    3         6.6      0.0313      50.384   0.0064934
2  1  6       10    3        8.51      0.0399       67.12   0.0073965
2  1  7       10    4       0.756     0.00551      4.6588   0.0075765
2  1  7       10    4        2.77      0.0133      17.902   0.0036095
2  1  7       10    4        4.71      0.0215      33.415   0.0041641
2  1  7       10    4        6.63      0.0299      48.999   0.0056815
2  1  7       10    4        8.54      0.0383      64.476   0.0070382
4  2  0        4    0        1.36      0.0142      5.3891   0.0092652
4  2  0        4    0           3      0.0351       15.02   0.0032551
4  2  0        4    0        4.87      0.0546      26.134    0.003612
4  2  0        4    0        6.77      0.0716      38.178   0.0041394
4  2  0        4    0        8.64      0.0879       50.69   0.0045509
4  2  0        4    0        10.5       0.105      64.334   0.0076236
4  2  0        4    0        12.4       0.122      79.424    0.021622
4  2  1        4    1        1.34      0.0145      5.3815    0.010721
4  2  1        4    1        2.95      0.0358      15.494   0.0050992
4  2  1        4    1        4.79      0.0562      26.947   0.0085508
4  2  1        4    1        6.67      0.0732      39.303    0.012914
4  2  1        4    1        8.53      0.0902      52.162    0.004241
4  2  1        4    1        10.4       0.107      66.176   0.0077606
4  2  1        4    1        12.2       0.123      79.459    0.021222
4  2  2        4    2        1.44     0.00246      6.4289    0.013976
4  2  2        4    2        3.19     0.00598      17.778   0.0054765
4  2  2        4    2        5.17     0.00933      30.558   0.0036161
4  2  2        4    2        7.17      0.0124      44.515   0.0042654
4  2  2        4    2        9.15      0.0151      59.535   0.0055804
4  2  2        4    2        11.1       0.018      75.185   0.0069038
4  2  2        4    2        13.1      0.0212      91.086   0.0064055
4  2  3        4    3        1.47     0.00194      7.5183    0.011147
4  2  3        4    3        3.26     0.00454      20.458   0.0033012
4  2  3        4    3        5.27     0.00743      35.297    0.003821
4  2  3        4    3        7.29        0.01      51.455   0.0044703
4  2  3        4    3         9.3      0.0124      68.733   0.0051704
4  2  3        4    3        11.3      0.0152      86.826   0.0061266
4  2  3        4    3        13.3      0.0177       105.4   0.0064336
4  2  4       10    1        1.47       0.002      4.1892   0.0070637
4  2  4       10    1        3.25     0.00469      13.626   0.0038855
4  2  4       10    1        5.25     0.00761      24.254   0.0054786
4  2  4       10    1        7.28      0.0102      35.862   0.0041355
4  2  4       10    1        9.28      0.0127      48.052   0.0045018
4  2  4       10    1        11.3      0.0153      60.967   0.0051311
4  2  4       10    1        13.2      0.0177      74.367   0.0057292
4  2  5       10    2        1.45     0.00231      3.8064   0.0084141
4  2  5       10    2        3.21     0.00544      12.728   0.0039142
4  2  5       10    2         5.2     0.00885      22.689   0.0038881
4  2  5       10    2        7.21      0.0116      33.735   0.0043729
4  2  5       10    2         9.2      0.0145      45.503   0.0049167
4  2  5       10    2        11.2      0.0172      57.821   0.0056814
4  2  5       10    2        13.1        0.02      70.469   0.0062618
4  2  6       10    3        1.35      0.0144      3.7047   0.0072105
4  2  6       10    3        2.98      0.0353       12.68   0.0041712
4  2  6       10    3        4.83      0.0554      22.674   0.0056341
4  2  6       10    3        6.72      0.0722      33.636   0.0078685
4  2  6       10    3        8.59      0.0886      44.916    0.011115
4  2  6       10    3        10.4       0.105      57.011    0.007255
4  2  6       10    3        12.3       0.122      70.518   0.0088343
4  2  7       10    4        1.37      0.0139      3.4242   0.0054594
4  2  7       10    4        3.01      0.0343      12.035   0.0034562
4  2  7       10    4        4.88      0.0534      21.625   0.0035651
4  2  7       10    4        6.79      0.0694       32.29   0.0039473
4  2  7       10    4        8.67      0.0856      43.035    0.004989
4  2  7       10    4        10.5       0.101      54.878   0.0083389
4  2  7       10    4        12.4       0.118      68.252   0.0071586
