ADC	HiRA	tele	A	Z	E(MeV)	E_err	Light(mV)	Light_err
  0      4     0  4  2	 1.365	0.014  230.62	       0.21
  0      4     0  4  2	 3.005	0.035  457.55	       0.02
  0      4     0  4  2	 4.869	0.055  719.42	       0.03
  0      4     0  4  2	 6.767	0.072  1003.19	       0.05
  0      4     0  4  2	 8.645	0.088  1298.01	       0.05
  0      4     0  4  2	10.509	0.105  1619.48	       0.15
  0      4     0  4  2	12.364	0.122  1975.04	       0.50
  0      4     0  2  1	 0.756	0.006  243.38	       0.07
  0      4     0  2  1	 2.765	0.014  640.04	       0.03
  0      4     0  2  1	 4.699	0.022  1053.71	       0.04
  0      4     0  2  1	 6.618	0.031  1471.40	       0.09
  0      4     0  2  1	 8.532	0.040  1887.08	       0.15
  0      4     0  1  1	 0.899	0.003  266.54	       0.03
  0      4     0  1  1	 2.894	0.007  697.74	       0.02
  0      4     0  1  1	 4.858	0.011  1124.86	       0.04
  0      4     0  1  1	 6.816	0.016  1541.95	       0.04
  0      4     0  1  1	 8.771	0.020  1954.19	       0.04
  1      4     1  4  2	 1.345	0.015  219.34	       0.22
  1      4     1  4  2	 2.954	0.036  438.89	       0.09
  1      4     1  4  2	 4.793	0.056  687.53	       0.17
  1      4     1  4  2	 6.671	0.073  955.76	       0.27
  1      4     1  4  2	 8.533	0.090  1234.92	       0.05
  1      4     1  4  2	10.378	0.107  1539.17	       0.14
  1      4     1  4  2	12.214	0.123  1827.53	       0.45
  1      4     1  2  1	 0.745	0.006  233.94	       0.07
  1      4     1  2  1	 2.747	0.014  611.86	       0.11
  1      4     1  2  1	 4.671	0.023  1004.02	       0.22
  1      4     1  2  1	 6.580	0.032  1404.02	       0.10
  1      4     1  2  1	 8.485	0.041  1799.60	       0.20
  1      4     1  1  1	 0.895	0.003  256.97	       0.03
  1      4     1  1  1	 2.885	0.007  668.78	       0.09
  1      4     1  1  1	 4.844	0.012  1077.85	       0.19
  1      4     1  1  1	 6.796	0.016  1474.76	       0.04
  1      4     1  1  1	 8.746	0.021  1868.21	       0.05
  2      4     2  4  2	 1.443	0.002  239.58	       0.30
  2      4     2  4  2	 3.191	0.006  490.14	       0.10
  2      4     2  4  2	 5.169	0.009  772.28	       0.04
  2      4     2  4  2	 7.170	0.012  1080.41	       0.06
  2      4     2  4  2	 9.151	0.015  1411.99	       0.09
  2      4     2  4  2	11.115	0.018  1757.50	       0.12
  2      4     2  4  2	13.068	0.021  2108.55	       0.10
  2      4     2  2  1	 0.780	0.001  245.94	       0.02
  2      4     2  2  1	 2.843	0.002  657.77	       0.15
  2      4     2  2  1	 4.828	0.004  1086.92	       0.41
  2      4     2  2  1	 6.799	0.005  1521.41	       0.13
  2      4     2  2  1	 8.765	0.007  1950.48	       0.16
  2      4     2  1  1	 0.912	0.000  266.50	       0.02
  2      4     2  1  1	 2.933	0.001  706.49	       0.04
  2      4     2  1  1	 4.923	0.002  1144.33	       0.33
  2      4     2  1  1	 6.907	0.003  1571.06	       0.08
  2      4     2  1  1	 8.889	0.003  1992.35	       0.09
  3      4     3  4  2	 1.469	0.002  201.31	       0.20
  3      4     3  4  2	 3.257	0.005  436.60	       0.02
  3      4     3  4  2	 5.267	0.007  706.40	       0.03
  3      4     3  4  2	 7.294	0.010  1000.18	       0.05
  3      4     3  4  2	 9.300	0.012  1314.36	       0.06
  3      4     3  4  2	11.289	0.015  1643.32	       0.07
  3      4     3  4  2	13.269	0.018  1981.08	       0.07
  3      4     3  2  1	 0.792	0.001  208.30	       0.02
  3      4     3  2  1	 2.866	0.002  603.03	       0.14
  3      4     3  2  1	 4.864	0.003  1015.81	       0.36
  3      4     3  2  1	 6.849	0.004  1436.10	       0.12
  3      4     3  2  1	 8.829	0.006  1852.19	       0.15
  3      4     3  1  1	 0.917	0.000  227.80	       0.01
  3      4     3  1  1	 2.944	0.001  650.63	       0.03
  3      4     3  1  1	 4.941	0.002  1072.61	       0.27
  3      4     3  1  1	 6.932	0.002  1486.53	       0.08
  3      4     3  1  1	 8.921	0.003  1895.10	       0.09
  4     10     0  4  2	 1.466	0.002  223.56	       0.17
  4     10     0  4  2	 3.248	0.005  478.24	       0.06
  4     10     0  4  2	 5.255	0.008  765.05	       0.11
  4     10     0  4  2	 7.280	0.010  1078.33	       0.04
  4     10     0  4  2	 9.283	0.013  1407.30	       0.04
  4     10     0  4  2	11.271	0.015  1755.85	       0.05
  4     10     0  4  2	13.247	0.018  2117.46	       0.05
  4     10     0  2  1	 0.790	0.001  248.55	       0.13
  4     10     0  2  1	 2.863	0.002  663.84	       0.20
  4     10     0  2  1	 4.860	0.003  1039.16	       0.11
  4     10     0  2  1	 6.844	0.005  1496.90	       0.12
  4     10     0  2  1	 8.822	0.006  1928.06	       0.15
  4     10     0  1  1	 0.916	0.000  271.71	       0.06
  4     10     0  1  1	 2.943	0.001  716.90	       0.17
  4     10     0  1  1	 4.939	0.002  1098.72	       0.06
  4     10     0  1  1	 6.930	0.002  1555.90	       0.07
  4     10     0  1  1	 8.918	0.003  1979.72	       0.08
  5     10     1  4  2	 1.452	0.002  213.17	       0.23
  5     10     1  4  2	 3.215	0.005  481.59	       0.06
  5     10     1  4  2	 5.203	0.009  781.28	       0.04
  5     10     1  4  2	 7.210	0.012  1113.59	       0.05
  5     10     1  4  2	 9.198	0.015  1467.65	       0.06
  5     10     1  4  2	11.169	0.017  1838.23	       0.08
  5     10     1  4  2	13.129	0.020  2218.76	       0.07
  5     10     1  2  1	 0.785	0.001  242.77	       0.36
  5     10     1  2  1	 2.850	0.002  642.08	       0.07
  5     10     1  2  1	 4.839	0.004  1111.14	       0.12
  5     10     1  2  1	 6.814	0.005  1583.46	       0.22
  5     10     1  2  1	 8.784	0.007  2039.09	       0.28
  5     10     1  1  1	 0.914	0.000  269.68	       0.10
  5     10     1  1  1	 2.937	0.001  707.12	       0.06
  5     10     1  1  1	 4.929	0.002  1176.79	       0.09
  5     10     1  1  1	 6.915	0.003  1643.26	       0.12
  5     10     1  1  1	 8.898	0.003  2087.94	       0.14
  6     10     2  4  2	 1.355	0.014  200.56	       0.17
  6     10     2  4  2	 2.982	0.035  430.59	       0.07
  6     10     2  4  2	 4.834	0.055  686.75	       0.12
  6     10     2  4  2	 6.721	0.072  967.72	       0.18
  6     10     2  4  2	 8.591	0.089  1256.84	       0.27
  6     10     2  4  2	10.448	0.105  1566.83	       0.15
  6     10     2  4  2	12.290	0.122  1913.02	       0.19
  6     10     2  2  1	 0.751	0.006  234.19	       0.15
  6     10     2  2  1	 2.757	0.014  625.96	       0.20
  6     10     2  2  1	 4.685	0.022  1036.52	       0.36
  6     10     2  2  1	 6.600	0.031  1396.97	       0.13
  6     10     2  2  1	 8.509	0.040  1825.93	       0.15
  6     10     2  1  1	 0.898	0.003  260.37	       0.06
  6     10     2  1  1	 2.890	0.007  689.49	       0.16
  6     10     2  1  1	 4.851	0.011  1113.16	       0.34
  6     10     2  1  1	 6.806	0.016  1478.97	       0.05
  6     10     2  1  1	 8.758	0.020  1907.21	       0.05
  7     10     3  4  2	 1.368	0.014  199.05	       0.13
  7     10     3  4  2	 3.013	0.034  445.29	       0.03
  7     10     3  4  2	 4.882	0.053  719.52	       0.03
  7     10     3  4  2	 6.785	0.069  1024.49	       0.04
  7     10     3  4  2	 8.671	0.086  1331.76	       0.08
  7     10     3  4  2	10.542	0.101  1670.41	       0.20
  7     10     3  4  2	12.402	0.118  2052.86	       0.14
  7     10     3  2  1	 0.756	0.006  234.36	       0.20
  7     10     3  2  1	 2.769	0.013  613.07	       0.04
  7     10     3  2  1	 4.706	0.021  1056.67	       0.05
  7     10     3  2  1	 6.629	0.030  1502.31	       0.11
  7     10     3  2  1	 8.545	0.038  1944.88	       0.14
  7     10     3  1  1	 0.900	0.003  263.58	       0.06
  7     10     3  1  1	 2.896	0.007  686.37	       0.03
  7     10     3  1  1	 4.861	0.011  1133.50	       0.05
  7     10     3  1  1	 6.821	0.015  1580.18	       0.05
  7     10     3  1  1	 8.777	0.020  2020.68	       0.06
