*telnum      csinum           Z           A  Fit Formula        Par0        Par1       Par2
    0           0           1           1  ([0]+[1]*x)^{[2]}     50.5205    8.59886    0.815485
    0           1           1           1  ([0]+[1]*x)^{[2]}     43.8693    6.42965    0.873399
    0           2           1           1  ([0]+[1]*x)^{[2]}      65.537    5.90217    0.890911
    0           3           1           1  ([0]+[1]*x)^{[2]}     9.25016    6.64941    0.861853
    1           1           1           1  ([0]+[1]*x)^{[2]}      48.193    7.70077    0.846534
    1           2           1           1  ([0]+[1]*x)^{[2]}      32.758    7.90027    0.832026
    1           3           1           1  ([0]+[1]*x)^{[2]}     59.9026    7.52124    0.837778
    2           1           1           1  ([0]+[1]*x)^{[2]}     58.1827    8.07925    0.813924
    2           2           1           1  ([0]+[1]*x)^{[2]}     30.8338    7.47014    0.845566
    2           3           1           1  ([0]+[1]*x)^{[2]}       52.97    8.21575    0.821929
    3           0           1           1  ([0]+[1]*x)^{[2]}     34.9677    6.81749    0.869951
    3           1           1           1  ([0]+[1]*x)^{[2]}     67.2676    6.21319     0.88738
    3           2           1           1  ([0]+[1]*x)^{[2]}     63.5115     4.1589    0.900069
    3           3           1           1  ([0]+[1]*x)^{[2]}      41.579    6.68112    0.877633
    4           0           1           1  ([0]+[1]*x)^{[2]}     64.2034    6.46945    0.851873
    4           1           1           1  ([0]+[1]*x)^{[2]}     42.2155    5.31104    0.909164
    4           2           1           1  ([0]+[1]*x)^{[2]}     57.7512    6.65652    0.833906
    4           3           1           1  ([0]+[1]*x)^{[2]}     44.7685    8.46854    0.796506
    5           0           1           1  ([0]+[1]*x)^{[2]}     43.1448    6.64978    0.839949
    5           1           1           1  ([0]+[1]*x)^{[2]}       39.73     9.1313    0.817231
    5           2           1           1  ([0]+[1]*x)^{[2]}     30.1035    8.16184    0.834218
