      *tel    numcsi               CsI V           err CsI V        energy (MeV)   err Energy (MeV)
         0         0            0.321186         3.40567e-05             61.3981            0.138781
         0         0            0.321044         2.54663e-05             61.2844            0.138731
         0         0            0.320534         3.06479e-05             61.1666             0.13867
         0         0            0.318836         3.36691e-05             61.0446            0.138588
         0         1            0.318604         2.36423e-05             61.3981            0.138781
         0         1            0.318387         2.52592e-05             61.3075            0.138734
         0         1            0.318381         2.93936e-05             61.2142            0.138686
         0         1            0.317523         3.23169e-05             61.1183            0.138645
         0         2            0.333018         4.37062e-05             60.8411            0.138499
         0         2            0.332472         5.04115e-05             60.7354            0.138432
         0         2            0.331884          5.4927e-05             60.6273            0.138374
         0         2            0.330786         6.42855e-05             60.5166            0.138314
         0         3            0.323759         5.77665e-05             60.8411            0.138499
         0         3            0.323269         5.17997e-05             60.7086            0.138418
         0         3             0.32262         5.67878e-05             60.5722            0.138344
         0         3            0.321476         7.07428e-05             60.4319            0.138256
         1         1            0.322385         5.68761e-05              61.603            0.138813
         1         1            0.322883         2.64839e-05             61.4743            0.138756
         1         1            0.322304         2.66138e-05             61.3394            0.138678
         1         1            0.321736         3.61073e-05             61.1985            0.138614
         1         2            0.329224         5.24678e-05              62.005            0.139011
         1         2            0.329688         1.78705e-05             61.8796            0.138951
         1         2            0.329013         1.80625e-05             61.7456            0.138892
         1         2            0.328331         2.64414e-05              61.603            0.138813
         1         3            0.317661         2.84289e-05             62.1536            0.139087
         1         3            0.317186         1.35379e-05             62.0562            0.139041
         1         3            0.316554         1.37142e-05             61.9523            0.138986
         1         3            0.315535         1.60974e-05             61.8421            0.138932
         2         1            0.300242         0.000154992             60.8364            0.138326
         2         1            0.300074           7.762e-05             60.6467            0.138213
         2         1            0.298961         6.11009e-05             60.4494            0.138105
         2         1            0.297919         9.80995e-05             60.2446            0.138005
         2         2            0.324565         0.000112348             61.2164             0.13851
         2         2            0.324384         4.55111e-05             61.0436            0.138427
         2         2            0.323462         4.24464e-05             60.8628             0.13832
         2         2            0.322325         7.56763e-05             60.6743            0.138239
         2         3            0.315116         6.66496e-05             61.6025            0.138712
         2         3            0.315127         2.63155e-05             61.4494            0.138641
         2         3            0.314269         2.46739e-05             61.2881            0.138557
         2         3            0.313431         4.70122e-05             61.1186            0.138458
         3         0            0.319296         0.000142391             60.8968            0.138331
         3         0            0.319139         5.95973e-05             60.7094            0.138229
         3         0            0.318379         5.91338e-05             60.5143            0.138111
         3         0            0.317725         9.52394e-05             60.3116            0.138011
         3         1            0.327584         0.000182641             60.5143            0.138111
         3         1            0.326852         8.80081e-05             60.3116            0.138011
         3         1             0.32541         8.59597e-05             60.1015            0.137908
         3         1            0.324311         0.000147015              59.884            0.137775
         3         2            0.227427         0.000632324              59.978            0.137813
         3         2            0.226596         8.85159e-05             59.7564            0.137706
         3         2            0.225008         0.000110863             59.5276            0.137581
         3         2            0.223748         0.000128605             59.2916            0.137472
         3         3            0.323317         0.000222073              60.341            0.138039
         3         3            0.322743         8.28126e-05             60.1623            0.137928
         3         3            0.321279         8.90319e-05              59.978            0.137813
         3         3            0.320412         9.93007e-05             59.7886            0.137738
         4         0             1.39598         3.49099e-05               61.37            0.138677
         4         0             1.39566         3.10771e-05             61.2538            0.138616
         4         0             1.39536         3.00888e-05             61.1335            0.138544
         4         0             1.39487         3.60767e-05             61.0093            0.138487
         4         1               0.299         4.92817e-05             61.2301            0.138604
         4         1            0.298455         3.27121e-05             61.0843            0.138518
         4         1            0.297945         3.61513e-05             60.9327            0.138447
         4         1            0.297128         4.63863e-05             60.7753            0.138362
         4         2            0.319703         9.27211e-05             60.6672            0.138303
         4         2            0.319112         6.50262e-05             60.5285            0.138217
         4         2            0.318339         7.00474e-05              60.386            0.138162
         4         2             0.31729         8.65432e-05             60.2395            0.138057
         5         0            0.319565         2.73916e-05             62.7392            0.139302
         5         0            0.319651         9.56948e-06             62.6921            0.139282
         5         0            0.318753         8.14059e-06             62.6358            0.139261
         5         0            0.317706         1.13995e-05             62.5703            0.139232
         5         1            0.376028         3.23962e-05             62.5703            0.139232
         5         1            0.375844           1.198e-05             62.5069            0.139201
         5         1            0.374859         1.15546e-05             62.4368            0.139169
         5         1            0.373689          1.2047e-05             62.3601            0.139138
         5         2            0.393525         1.18922e-05             62.5803            0.139236
         5         2            0.393111         1.19293e-05             62.5395            0.139215
         5         2            0.392824         1.18035e-05             62.4957            0.139199
         5         2            0.391526         1.26666e-05              62.449            0.139179
         5         3            0.560416         1.48135e-05             62.7565             0.13931
         5         3            0.560275          1.4304e-05             62.7267            0.139297
         5         3            0.560524         1.44087e-05             62.6921            0.139282
         5         3            0.559389         1.50373e-05             62.6529            0.139268
         6         0            0.296855         1.77647e-05             62.1154            0.138939
         6         0            0.296378         1.29099e-05             62.0294            0.138892
         6         0            0.295875         1.41426e-05              61.939            0.138848
         6         0            0.294682         1.63783e-05             61.8441            0.138794
         6         1            0.321751         3.19221e-05             61.7041            0.138731
         6         1            0.321305         2.25942e-05             61.5991            0.138685
         6         1            0.320876         2.49139e-05             61.4897            0.138621
         6         1            0.319887         2.85075e-05             61.3761            0.138571
         6         2           0.0218936         1.89933e-05             61.7247            0.138748
         6         2           0.0213216          1.9927e-05             61.6416            0.138699
         6         2           0.0208396         2.22597e-05             61.5558            0.138647
