 *tel    csi      Z      A   CsIE(MeV)   CsIV-VCal        CsIV       VCal
    0      0      2      3     8.99954  0.00408995   0.0307874   0.0266975
    0      0      2      3     22.5878   0.0120018    0.128958    0.116956
    0      0      2      3     36.6571    0.015192    0.232719    0.217527
    0      0      2      3      50.996   0.0132569    0.336068    0.322811
    0      0      2      3     64.6055  0.00891445    0.433021    0.424107
    0      0      2      3     78.3802  0.00373004    0.531202    0.527472
    0      0      2      3     92.2951  -0.00437701      0.6281    0.632477
    0      0      2      3     106.342  -0.0141847    0.724728    0.738913
    0      0      2      3     120.523  -0.0247186    0.821981      0.8467
    0      0      2      3     134.844  -0.0352017    0.920616    0.955818
    0      0      2      3     148.274  -0.0468132     1.01153     1.05834
    0      0      2      3     162.892  -0.0588353     1.11128     1.17012
    0      0      2      3     176.615  -0.0693852      1.2058     1.27519
    0      0      2      3     190.492  -0.0789119     1.30264     1.38155
    0      0      2      3     204.531  -0.0887342     1.40053     1.48926
    0      0      2      3     218.739  -0.0981954     1.50017     1.59837
    0      0      2      3     232.013   -0.107128     1.59324     1.70037
    0      0      2      3     246.571    -0.11615     1.69616     1.81231
    0      0      2      3     260.181   -0.125634     1.79139     1.91702
    0      0      2      3     273.962   -0.136057     1.88705     2.02311
    0      0      2      3     287.921   -0.147471     1.98314     2.13061
    0      0      2      4     9.64414  0.00466391   0.0307874   0.0261235
    0      0      2      4     22.7258   0.0126698    0.122186    0.109516
    0      0      2      4     35.1426   0.0159807    0.211767    0.195786
    0      0      2      4     48.6454   0.0151743    0.307997    0.292823
    0      0      2      4     61.2897   0.0135512    0.398917    0.385366
    0      0      2      4       74.99  0.00934266    0.496125    0.486782
    0      0      2      4     87.7615  0.00401319    0.586076    0.582063
    0      0      2      4     100.571  -0.00211782    0.676032     0.67815
    0      0      2      4     113.418  -0.00780569    0.767116    0.774922
    0      0      2      4     126.306  -0.0156736     0.85665    0.872324
    0      0      2      4     139.242  -0.0218943    0.948456     0.97035
    0      0      2      4     152.232  -0.0286344     1.04037       1.069
    0      0      2      4     165.284  -0.0355644     1.13275     1.16831
    0      0      2      4     178.407  -0.0408336     1.22749     1.26832
