 *tel    csi      Z      A   CsIE(MeV)   CsIV-VCal        CsIV       VCal
    5      0      1      1       0.916  0.000510479    0.005973  0.00546252
    5      0      1      1       2.943  0.00303331     0.02247   0.0194367
    5      0      1      1       4.939  0.00357145    0.036618   0.0330465
    5      0      1      1        6.93  0.00706192    0.053558   0.0464961
    5      0      1      1       8.918  0.00944534    0.069263   0.0598177
    5      0      1      1     5.34659  -0.00565309   0.0301564   0.0358095
    5      0      1      1     13.7077  -0.000409079   0.0911461   0.0915552
    5      0      1      1     21.8961  0.000766491    0.145729    0.144963
    5      0      1      1     30.4054  -0.00015238    0.199561    0.199713
    5      0      1      1     40.7612  -0.0021456    0.263549    0.265695
    5      0      1      1     50.5576  -0.00439187    0.323289    0.327681
    5      0      1      1     60.5604  -0.00870488    0.381976    0.390681
    5      0      1      1     70.7602  -0.0133008    0.441405    0.454706
    5      0      1      1     66.1016  -0.000321203    0.425165    0.425486
    5      0      1      1     62.8581  0.00716871    0.412289     0.40512
    5      0      1      1     59.6248  0.00507479    0.389873    0.384798
    5      0      1      1     56.4056  0.00771048    0.372253    0.364543
    5      0      1      1     96.6256  -0.0098652    0.606571    0.616436
    5      0      1      1     91.9446  -0.00504898    0.582168    0.587217
    5      0      1      1      87.295  0.000442094    0.558617    0.558175
    5      0      1      1     82.6836  -0.000257629    0.529093    0.529351
    5      0      1      1     45.9588   -0.004023    0.294601    0.298624
    5      0      1      1     43.5659  -0.0037246    0.279752    0.283477
    5      0      1      1     41.1707  -0.00149585    0.266797    0.268293
    5      0      1      1     38.7749  -0.00293229    0.250149    0.253081
    5      0      1      1     97.1822  -0.0172824    0.602627    0.619909
    5      0      1      1     92.4572  -0.0139956    0.576422    0.590418
    5      0      1      1     87.7649  -0.0121059    0.549005    0.561111
    5      0      1      1     83.1122  -0.0099586    0.522072    0.532031
    5      0      1      1      45.744  -0.00746013    0.289805    0.297265
    5      0      1      1     43.3638  -0.00497531    0.277221    0.282196
    5      0      1      1     40.9815  -0.00408048    0.263012    0.267092
    5      0      1      1     38.5989  -0.00416381    0.247799    0.251963
    5      0      1      1     97.9325  -0.0175109     0.60708    0.624591
    5      0      1      1     93.2099  -0.0151529    0.579964    0.595117
    5      0      1      1     88.5188  -0.0108419    0.554979    0.565821
    5      0      1      1     83.8662  -0.00565477     0.53109    0.536745
    5      0      1      1     198.485  -0.0266645     1.22314      1.2498
    5      0      1      2        0.79  -0.000345842   0.0042496  0.00459544
    5      0      1      2       2.863  -0.00195814   0.0170175   0.0189756
    5      0      1      2        4.86  -0.00418083   0.0285611    0.032742
    5      0      1      2       6.844  -0.00370278   0.0426388   0.0463415
    5      0      1      2       8.822  -0.00393079   0.0558988   0.0598296
    5      0      1      2     5.79532  -0.00391601   0.0352464   0.0391624
    5      0      1      2     13.9839   0.0013408   0.0960769   0.0947361
    5      0      1      2     21.2875  0.00220605    0.145729    0.143523
    5      0      1      2     30.9788  0.00191163    0.209332     0.20742
    5      0      1      2     40.8451  0.00174924    0.273487    0.271738
    5      0      1      2     50.8408  0.00178706    0.338123    0.336336
    5      0      1      2      60.947  0.000375804    0.401585    0.401209
    5      0      1      2     70.3669  -5.80464e-05    0.461308    0.461366
    5      0      1      2     80.6673  -0.00101673    0.525856    0.526873
    5      0      1      2      263.65   0.0452012     1.71753     1.67233
    5      0      1      3     5.32738  -0.00283785   0.0332149   0.0360527
    5      0      1      3     13.2643  0.00369884   0.0941115   0.0904127
    5      0      1      3     21.8619  0.00512834    0.153643    0.148515
    5      0      1      3     30.8207  0.00390492    0.212268    0.208363
    5      0      1      3     40.6802  0.00389554    0.277467    0.273571
    5      0      1      3     50.6105  0.00435207    0.343039    0.338687
    5      0      1      3     60.5953  0.00382431    0.407523    0.403699
    5      0      1      3     70.6323  0.00455978    0.473227    0.468667
    5      0      1      3      80.722  0.00499495     0.53865    0.533655
    5      0      1      3     312.444    0.107329     2.09922     1.99189
    5      1      1      1       0.914  0.000165113    0.005685  0.00551989
    5      1      1      1       2.937  -0.00106495    0.020225   0.0212899
    5      1      1      1       4.929  -0.000942075    0.035835   0.0367771
    5      1      1      1       6.915  -0.000837077     0.05134   0.0521771
    5      1      1      1       8.898  -0.00139278    0.066121   0.0675138
    5      1      1      1     5.94863  -0.0052309   0.0394577   0.0446886
    5      1      1      1     13.4584  0.000613922    0.103248    0.102634
    5      1      1      1     21.8223  0.00340904     0.16992    0.166511
    5      1      1      1     30.5169  0.00412965    0.236328    0.232198
    5      1      1      1     40.8733  0.00338861    0.312908    0.309519
    5      1      1      1     50.3152  0.00109162     0.38026    0.379168
    5      1      1      1     60.8431  -0.00470817    0.451203    0.455911
    5      1      1      1     70.3277  -0.0104071    0.513841    0.524248
    5      1      1      1     64.0366  -0.00276691    0.476237    0.479004
    5      1      1      1     60.7991   0.0028726    0.458465    0.455592
    5      1      1      1     57.5743  0.00384209    0.436027    0.432185
    5      1      1      1      54.366  0.00578974    0.414599    0.408809
    5      1      1      1     51.1778   0.0110548    0.396547    0.385492
    5      1      1      1     92.7936  -0.00695749     0.67627    0.683227
    5      1      1      1     88.1378  -0.00646251    0.644142    0.650605
    5      1      1      1     83.5189  -0.000935286     0.61714    0.618075
    5      1      1      1     78.9436  0.00477918    0.590468    0.585689
    5      1      1      1     44.4365  -0.00764475    0.328252    0.335897
    5      1      1      1     41.8241  -0.00730804    0.309261    0.316569
    5      1      1      1     39.2104  -0.000549295    0.296621     0.29717
    5      1      1      1     36.5974  0.000449231    0.278164    0.277715
    5      1      1      1     94.6013  -0.0210066    0.674843     0.69585
    5      1      1      1      89.467  -0.0196851     0.64025    0.659935
    5      1      1      1     84.3768  -0.0153267    0.608803     0.62413
    5      1      1      1     79.3394   -0.011615    0.576882    0.588497
    5      1      1      1     44.4461  -0.0129167    0.323051    0.335968
    5      1      1      1     41.8479  -0.0072694    0.309476    0.316745
    5      1      1      1     39.2486  -0.00585826    0.291596    0.297454
    5      1      1      1     36.6502  -0.00613552    0.271973    0.278109
    5      1      1      1     94.0664  -0.0217152    0.670402    0.692117
    5      1      1      1      89.369  -0.0153766    0.643871    0.659248
    5      1      1      1     84.7089  -0.0141969    0.612275    0.626472
    5      1      1      1     80.0927  -0.00959629    0.584242    0.593838
    5      1      1      1     198.485  -0.00382644     1.38015     1.38398
    5      1      1      2       0.785  0.000275553     0.00479  0.00451445
    5      1      1      2        2.85  -0.00257069    0.018063   0.0206337
    5      1      1      2       4.839  -0.00248577    0.033653   0.0361388
    5      1      1      2       6.814  -0.00216147    0.049353   0.0515145
    5      1      1      2       8.784  -0.00233422    0.064497   0.0668312
    5      1      1      2     5.44352  -0.00138949   0.0394577   0.0408472
    5      1      1      2      13.892  0.00346069    0.109914    0.106453
    5      1      1      2     21.8445  0.00492988    0.172806    0.167876
    5      1      1      2     30.5865  0.00601092    0.241042    0.235031
    5      1      1      2     40.9665  0.00726647    0.321546     0.31428
    5      1      1      2     50.8029  0.00756926    0.396465    0.388896
    5      1      1      2     60.8421  0.00587376    0.470449    0.464575
    5      1      1      2     70.2966   0.0043363    0.539752    0.535416
    5      1      1      2     80.7494  0.00130538    0.614563    0.613258
    5      1      1      2      263.65   0.0150102     1.91761      1.9026
    5      1      1      3     5.50177  0.00315385   0.0444808    0.041327
    5      1      1      3     13.7243  0.00744691    0.112763    0.105316
    5      1      1      3     21.3228   0.0085627    0.172806    0.164243
    5      1      1      3     30.8031  0.00827808    0.245768     0.23749
    5      1      1      3     40.2526   0.0094271    0.319626    0.310199
    5      1      1      3     50.6686    0.010245    0.400247    0.390002
    5      1      1      3     60.3304  0.00963883    0.473348    0.463709
    5      1      1      3     70.1134  0.00940369    0.547437    0.538033
    5      1      1      3     80.9329  0.00801424     0.62789    0.619876
    5      2      1      1     5.60292  0.000308699   0.0408685   0.0405598
    5      2      1      1     13.7993  0.00370745    0.114059    0.110352
    5      2      1      1     21.9628  0.00344927    0.179557    0.176108
    5      2      1      1     30.5234  0.00241599    0.245358    0.242942
    5      2      1      1     40.8271  -0.000493042    0.321249    0.321742
    5      2      1      1     50.8372  -0.00479206    0.392466    0.397258
    5      2      1      1     60.4746   -0.010622    0.458724    0.469346
    5      2      1      1     70.4504  -0.0191649    0.524367    0.543532
    5      2      1      1     49.1608    0.018007    0.402671    0.384664
    5      2      1      1     46.0117   0.0198047    0.380758    0.360953
    5      2      1      1     42.8894   0.0219342    0.359302    0.337368
    5      2      1      1     39.7952   0.0224191    0.336327    0.313908
    5      2      1      1     72.3787   0.0222144    0.580047    0.557833
    5      2      1      1     67.9352    0.022729     0.54759    0.524861
    5      2      1      1     63.5546   0.0268533    0.519144    0.492291
    5      2      1      1     59.2411   0.0266265    0.486772    0.460145
    5      2      1      1     33.5511  0.00467647    0.270921    0.266245
    5      2      1      1     30.9417  0.00341991     0.24959     0.24617
    5      2      1      1      28.332  0.00621649    0.232197    0.225981
    5      2      1      1     25.7181  0.00415522    0.209782    0.205627
    5      2      1      1     74.7749  0.00471866    0.580307    0.575588
    5      2      1      1     70.2673  0.00588861    0.548062    0.542173
    5      2      1      1     65.8218  0.00829464    0.517451    0.509156
    5      2      1      1     61.4431  0.00930884    0.485874    0.476565
    5      2      1      1     33.4054  -0.00100534    0.264121    0.265126
    5      2      1      1     30.8121  -2.42631e-05    0.245146     0.24517
    5      2      1      1     28.2194  0.000531415    0.225638    0.225107
    5      2      1      1     25.6238  -0.00166176    0.203228     0.20489
    5      2      1      1     73.4693  0.00525807    0.571174    0.565916
    5      2      1      1     68.5822  0.00765017    0.537316    0.529666
    5      2      1      1     63.7716  0.00715819    0.501064    0.493906
    5      2      1      1     59.0433  0.00606353    0.464733    0.458669
    5      2      1      1     198.485  -0.0248734     1.45786     1.48273
    5      2      1      2     5.47001  -0.000780182   0.0398152   0.0405954
    5      2      1      2     13.4961  0.00229387    0.115089    0.112795
    5      2      1      2     21.4843  0.000236904    0.181543    0.181306
    5      2      1      2     30.4303  -0.000800869    0.254591    0.255392
    5      2      1      2     40.3403  -0.00201103    0.333227    0.335238
    5      2      1      2     50.4457  -0.00217024    0.412818    0.414988
    5      2      1      2      60.739  -0.00248289    0.492505    0.494988
    5      2      1      2     70.4084  -0.00468799    0.564614    0.569302
    5      2      1      2     80.2429  -0.00626362    0.637989    0.644253
    5      2      1      2      263.65   0.0536903     2.05588     2.00219
    5      2      1      3     5.42945  -0.000865159   0.0398152   0.0406804
    5      2      1      3     13.8009  0.00351244    0.121258    0.117746
    5      2      1      3     21.6057  0.000683713    0.187508    0.186824
    5      2      1      3     30.5074   -0.002453     0.26074    0.263193
    5      2      1      3     40.9301  -0.00485912    0.345304    0.350163
    5      2      1      3     50.7121  -0.00500038    0.424982    0.429982
    5      2      1      3     60.5846  -0.00466201    0.504526    0.509188
    5      2      1      3     70.5515  -0.00503219    0.583039    0.588071
    5      2      1      3     80.6187  -0.00465887    0.662212    0.666871
    5      3      1      1     5.77269  0.000846376   0.0594602   0.0586138
    5      3      1      1     13.3865  0.00103118    0.147002    0.145971
    5      3      1      1     21.9837  0.00109902    0.241856    0.240757
    5      3      1      1     30.8439  -0.00073841    0.335888    0.336626
    5      3      1      1     40.6428  -0.0033701    0.438232    0.441602
    5      3      1      1     50.7002  -0.00889202    0.539827    0.548719
    5      3      1      1     60.2736  -0.0159693    0.634359    0.650328
