*telnum      csinum        Par0     errPar0        Par1    errPar1
    0           0  0.00454842  3.44516e-05    1.09048  0.00170769
    0           1  0.00461076  2.75473e-05    1.08824  0.00135283
    0           2  0.00464341  3.13086e-05    1.09478  0.00152913
    0           3  0.00480319  3.00633e-05     1.0855  0.00144686
    1           0  0.00472217  3.03403e-05    1.09316  0.00147739
    1           1  0.00465624  3.02635e-05    1.09275  0.00147873
    1           2  0.00488047  2.98039e-05     1.0852  0.00139622
    1           3  0.00474698  3.14394e-05    1.08224  0.00151063
    2           0  0.00501001  2.60999e-05    1.07341  0.00118772
    2           1  0.00452411  3.33892e-05    1.08294  0.00171371
    2           2  0.00509616  3.15872e-05    1.07814  0.00144499
    2           3  0.00476237  3.34746e-05     1.0841  0.00162463
    3           0  0.00465275  3.3558e-05    1.09628  0.00171577
    3           1  0.00468979  7.70683e-05    1.10193  0.00420465
    3           2  0.00360791  3.33871e-05    1.07551  0.00211285
    3           3  0.00460327  3.57389e-05    1.10071  0.00184318
    4           0  0.00400166  3.11901e-05    1.11633  0.00187819
    4           1  0.00414919  2.72386e-05    1.11031  0.00157411
    4           2  0.00458832  4.39168e-05    1.10785  0.00232083
    4           3  0.00425655  3.36099e-05    1.11497  0.00185604
    5           0  0.00451139  4.53288e-05    1.10195  0.00239447
    5           1  0.00456208  3.98133e-05    1.13518  0.00212313
    5           2  0.00489447  4.35731e-05    1.13208  0.00217327
    5           3  0.00396431  6.74424e-05     1.2743  0.00475095
    6           0  0.00393573  2.98825e-05    1.11952  0.00179818
    6           1  0.00422309  3.10523e-05    1.11688  0.00176948
    6           2  0.00438128  3.80985e-05    1.09859  0.00209982
    6           3  0.00386073  3.14709e-05    1.12264  0.00196574
    7           0  0.00397246  3.39092e-05    1.12543  0.00211265
    7           1  0.00458373  4.25618e-05    1.10549  0.00228974
    7           2  0.00397091  4.05698e-05    1.13079  0.00251428
    7           3  0.00439708  3.42684e-05    1.10907  0.00186191
    8           0  0.00385856  4.10192e-05    1.13209  0.00259069
    8           1  0.00345316  3.59022e-05    1.16683  0.00259344
    8           2  0.00388271  3.95237e-05    1.13255  0.00246833
    8           3  0.00393585  4.21549e-05    1.12783  0.00253462
    9           0  0.00339353  3.47264e-05    1.15658  0.00254127
    9           1  0.00382114  4.23302e-05    1.11996  0.00279399
    9           2  0.00354658  4.5748e-05     1.1506  0.00305521
    9           3  0.00403448  4.37709e-05    1.13784  0.00271497
   10           0  0.00434069  7.50865e-05     1.1199  0.00443998
   10           1  0.00475898  5.81429e-05    1.10704  0.00301776
   10           2  0.00436057  7.49805e-05    1.13725  0.00414819
   10           3  0.00477347  4.47874e-05    1.09198  0.00232892
   11           0   0.0041843  4.79299e-05    1.10892  0.00275379
   11           1  0.00442823  6.27567e-05    1.09994  0.00335601
   11           2  0.00338699  8.83107e-05    1.17519  0.00682962
   11           3  0.00401654  0.000111088    1.13666  0.00703415
