*telnum      csinum        Par0     errPar0        Par1    errPar1
    0           0  0.00740513  5.82701e-05    0.96746  0.00201428
    0           1  0.00780011  5.4401e-05   0.955273  0.00177693
    0           2  0.00798979  6.35488e-05   0.958176  0.00203198
    0           3  0.00814547  6.37784e-05    0.95016  0.00193102
    1           0  0.00810647  6.96148e-05   0.956501  0.00223509
    1           1  0.00780674  6.03371e-05   0.962582  0.00198626
    1           2  0.00815817  6.23041e-05   0.955995  0.00203529
    1           3  0.00775852  6.58083e-05   0.956554  0.00215804
    2           0  0.00816229  5.49047e-05   0.948055  0.00172536
    2           1  0.00786865  6.23564e-05   0.940829  0.00200568
    2           2  0.00857709  5.9108e-05   0.942374  0.00178329
    2           3  0.00828952  6.91125e-05   0.941409  0.00212518
    3           0  0.00828401  5.87918e-05   0.950996  0.00187077
    3           1  0.00867607  7.53486e-05   0.945125  0.00228356
    3           2  0.00614268  6.35618e-05    0.93988  0.00257072
    3           3  0.00826181  5.71076e-05   0.952292  0.00180833
    4           0  0.00704122  6.02856e-05   0.977637  0.00235795
    4           1  0.00712609  5.13172e-05    0.97599  0.00196263
    4           2  0.00795079  6.65858e-05   0.969405  0.00226403
    4           3  0.00765195  6.0585e-05   0.971653  0.00212873
    5           0  0.00721992  5.38422e-05   0.985046  0.00200809
    5           1  0.00829063  6.0427e-05   0.988992  0.00206757
    5           2  0.00880887    6.22e-05     0.9876  0.00199604
    5           3   0.0102237  8.5522e-05    1.04323  0.00265394
    6           0  0.00735426  4.99922e-05   0.966703  0.00183167
    6           1  0.00771348  5.61552e-05   0.970765  0.00199349
    6           2   0.0073742  5.62443e-05   0.970173  0.00208809
    6           3   0.0069676  5.65051e-05   0.978245  0.00223211
    7           0  0.00744524  5.92579e-05   0.971122  0.00217438
    7           1  0.00826716  6.15272e-05   0.957751  0.00205738
    7           2  0.00754616  6.38082e-05   0.976248  0.00239302
    7           3  0.00771291  5.9052e-05   0.970191  0.00209283
    8           0  0.00849285  6.31215e-05   0.932521  0.00210055
    8           1  0.00712407  7.48782e-05   0.989143  0.00296521
    8           2  0.00811297  6.86895e-05   0.951517  0.00237931
    8           3  0.00793507  7.52611e-05   0.949427  0.00265219
    9           0  0.00537129  6.23975e-05    1.05039  0.00332508
    9           1   0.0073504  6.14096e-05      0.955  0.00232801
    9           2  0.00666043  7.40261e-05   0.999605   0.0031199
    9           3  0.00797548  7.55984e-05   0.965849  0.00265493
   10           0  0.00905114  6.9573e-05    0.92688   0.0022243
   10           1  0.00900568  7.28529e-05   0.941964  0.00230824
   10           2  0.00606955  8.00316e-05    1.06586  0.00386004
   10           3  0.00936607  7.41995e-05   0.916286   0.0022274
   11           0  0.00927573  0.000100431   0.905693  0.00310989
   11           1  0.00901035  8.23062e-05   0.921951  0.00257796
   11           2  0.00815614  8.98414e-05   0.953401  0.00324027
   11           3  0.00823912  7.03653e-05   0.953782  0.00247686
