*telnum      csinum        Par0     errPar0        Par1    errPar1
    0           0  0.00813746  6.22552e-05   0.930331  0.00198322
    0           1  0.00820401  5.89508e-05   0.929094  0.00184092
    0           2  0.00856163  6.09911e-05   0.927293  0.00186272
    0           3  0.00844475  7.33396e-05    0.92766  0.00222108
    1           0  0.00849827  6.76053e-05   0.931175  0.00209877
    1           1  0.00824878  5.61946e-05   0.935308  0.00178385
    1           2  0.00881772  6.17701e-05   0.920588  0.00180562
    1           3  0.00808123  6.5365e-05   0.932341   0.0020859
    2           0  0.00851025  6.22398e-05   0.922775  0.00187008
    2           1  0.00819059  6.12411e-05   0.916293  0.00190017
    2           2  0.00893428  6.05084e-05   0.916752  0.00175153
    2           3  0.00865984  6.82633e-05   0.915097  0.00203151
    3           0  0.00867895  6.07206e-05   0.926193  0.00183184
    3           1  0.00907005  7.3391e-05   0.921411  0.00214481
    3           2  0.00639011  7.71526e-05   0.916721  0.00308506
    3           3  0.00853052  6.01524e-05   0.931694  0.00184875
    4           0  0.00748843  5.87663e-05   0.948337  0.00216398
    4           1  0.00745588  4.96338e-05   0.951422  0.00184317
    4           2   0.0082877  6.39027e-05   0.944756  0.00210048
    4           3  0.00799022  5.91617e-05   0.947263  0.00200395
    5           0  0.00766153  5.36657e-05    0.95625  0.00190265
    5           1  0.00906794  6.08997e-05   0.950583  0.00193101
    5           2  0.00942447  6.25991e-05   0.955789  0.00191857
    5           3   0.0112946  7.75204e-05    1.00179  0.00219719
    6           0  0.00768545  5.21764e-05   0.942932  0.00184085
    6           1  0.00818936  5.11149e-05    0.94292  0.00172107
    6           2  0.00777303  5.33997e-05   0.943854  0.00189442
    6           3  0.00734314  5.40426e-05   0.951725  0.00201363
    7           0  0.00783141  5.85401e-05   0.944718    0.002052
    7           1  0.00870182   6.132e-05   0.931182  0.00197728
    7           2  0.00797758  6.1918e-05   0.947854  0.00218751
    7           3  0.00809898  5.6319e-05   0.943212  0.00190346
    8           0  0.00900471  6.04646e-05    0.90352  0.00193326
    8           1  0.00748741  7.22817e-05    0.96249  0.00276764
    8           2  0.00847202  6.44201e-05   0.926723  0.00214893
    8           3  0.00816336  6.63867e-05   0.928152  0.00224562
    9           0  0.00567205  5.29284e-05    1.02003  0.00262825
    9           1  0.00758127  5.54967e-05    0.93287  0.00203528
    9           2  0.00695762  6.57755e-05   0.973922  0.00267595
    9           3  0.00830236  6.64215e-05   0.941662  0.00226165
   10           0  0.00903301  6.45032e-05   0.913397   0.0021091
   10           1  0.00903818  6.71453e-05   0.927693  0.00215185
   10           2  0.00691996  7.35202e-05    1.01394  0.00310706
   10           3  0.00945112  6.59119e-05   0.899198  0.00197767
   11           0  0.00912018   8.153e-05    0.90016  0.00253494
   11           1  0.00891993  7.01281e-05   0.915175   0.0022101
   11           2  0.00838357  7.81914e-05   0.934014   0.0027653
   11           3  0.00850079  6.71537e-05   0.933642   0.0023031
