*telnum      csinum        Par0     errPar0        Par1    errPar1
    0           0  0.00765554  5.63846e-05   0.964952  0.00184091
    0           1  0.00767392  5.01816e-05   0.965236  0.00162066
    0           2  0.00802739  5.90221e-05   0.963123  0.00182816
    0           3  0.00806635  5.34916e-05   0.959068  0.00160635
    1           0   0.0080858  6.19267e-05   0.963015  0.00192952
    1           1  0.00788828  5.77113e-05   0.965788  0.00183374
    1           2  0.00826197  5.31666e-05   0.958035  0.00160881
    1           3  0.00770726  5.90618e-05   0.964545  0.00189978
    2           0  0.00812365  5.07682e-05   0.955597  0.00156268
    2           1  0.00770611  5.57735e-05   0.952106  0.00178996
    2           2  0.00849206  5.51705e-05   0.951779  0.00164911
    2           3  0.00816712  6.44569e-05   0.952077    0.001976
    3           0  0.00816176  5.46276e-05   0.960652  0.00171821
    3           1   0.0085565  7.13067e-05   0.954464  0.00215164
    3           2  0.00620025  6.1304e-05   0.943961  0.00239232
    3           3  0.00814437  5.37253e-05   0.962318  0.00168914
    4           0  0.00697222  5.8001e-05   0.984699   0.0021898
    4           1  0.00705722  4.7783e-05   0.984231  0.00180892
    4           2  0.00791515  5.90025e-05   0.976107  0.00196041
    4           3  0.00758228  5.95576e-05   0.979943  0.00207496
    5           0  0.00727051  5.30175e-05   0.988894   0.0019344
    5           1  0.00816826  6.60121e-05    0.99794  0.00224399
    5           2   0.0086188  6.38926e-05   0.998124  0.00200949
    5           3  0.00999509  8.09941e-05    1.05195  0.00245236
    6           0  0.00719813  5.30925e-05   0.977433  0.00194123
    6           1  0.00767083  5.1503e-05   0.977067  0.00176215
    6           2  0.00731445  5.44356e-05     0.9778  0.00198902
    6           3  0.00705871  5.5042e-05   0.979564  0.00205784
    7           0  0.00748666  5.67184e-05   0.974674  0.00198664
    7           1  0.00825058  6.26441e-05   0.963303  0.00207021
    7           2  0.00751719  6.26044e-05   0.982707  0.00228723
    7           3  0.00776591  5.85816e-05   0.973549  0.00200636
    8           0  0.00833603  6.6526e-05   0.943018  0.00222423
    8           1  0.00691873  7.2214e-05    1.00246  0.00290223
    8           2  0.00805526  7.3418e-05   0.959381  0.00250628
    8           3  0.00774097  7.04849e-05   0.962482  0.00247901
    9           0  0.00533367  5.59787e-05    1.05383  0.00282648
    9           1  0.00729352  5.84877e-05   0.963404  0.00218672
    9           2  0.00665915  6.99079e-05    1.00481  0.00290273
    9           3   0.0077573  7.40691e-05   0.979462  0.00257945
   10           0  0.00914137  7.36132e-05   0.931055  0.00229762
   10           1  0.00898527  7.41718e-05   0.949015   0.0022815
   10           2  0.00676618  7.49489e-05     1.0377  0.00309675
   10           3  0.00932028  7.38242e-05   0.924339  0.00221587
   11           0  0.00869124  8.61936e-05   0.931354  0.00276343
   11           1  0.00880035  8.11896e-05   0.935126  0.00255378
   11           2  0.00793887  8.23824e-05   0.964655  0.00306816
   11           3  0.00811942  8.19547e-05   0.964521  0.00277813
