*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    2      2    0.734006       0.00929786     117.253          3.27165
    2      2    0.705622        0.0116945     112.952           3.1825
    2      2    0.684232        0.0102071     108.649           3.0927
    2      2    0.666021        0.0114791     104.351           3.0024
    3      3    0.623815       0.00897745     98.3564          2.87534
    3      3    0.595577        0.0100872     93.2415          2.76634
    3      3    0.569905       0.00928903     88.1618          2.65748
    3      3    0.539669       0.00682041     83.1262          2.54906
    4      2    0.506706       0.00956413     76.4598          2.40651
    4      2    0.484303       0.00108682     72.3697          2.31793
    4      2     0.45984       0.00800565     68.3272           2.2303
    4      2    0.437589       0.00881297     64.3363          2.14386
    4      3    0.496764       0.00799488     77.2832          2.42433
    4      3    0.474023       0.00829304     72.7766          2.32674
    4      3    0.446467       0.00219786     68.3272           2.2303
    4      3     0.42205       0.00127164     63.9401           2.1353
    5      0    0.606571       0.00937903     96.6256           2.8395
    5      0    0.582168        0.0100611     91.9446          2.73963
    5      0    0.558617       0.00769547      87.295          2.63992
    5      0    0.529093       0.00884647     82.6836          2.54064
    5      1     0.67627       0.00914985     92.7936          2.75779
    5      1    0.644142        0.0096746     88.1378          2.65803
    5      1     0.61714       0.00887266     83.5189          2.55866
    5      1    0.590468        0.0124068     78.9436          2.45986
    5      2    0.580047       0.00826318     72.3787           2.3177
    5      2     0.54759       0.00190397     67.9352          2.22135
    5      2    0.519144      0.000686162     63.5546          2.12646
    5      2    0.486772       0.00137163     59.2411          2.03332
    5      3    0.820271        0.0132784     74.4179          2.36189
    5      3    0.781855        0.0128029     70.3515          2.27375
    5      3    0.737095         0.001619     66.3347          2.18666
    5      3     0.69971       0.00202904     62.3713          2.10087
    6      0     0.50736       0.00861959     84.3885          2.57592
    6      0    0.483037        0.0098904     80.2209          2.48592
    6      0    0.463485        0.0110698      76.093          2.39653
    6      0    0.442604        0.0125529     72.0093          2.30796
    6      1    0.496915       0.00918779     77.3269          2.42326
    6      1    0.473441       0.00858933     72.8223           2.3256
    6      1    0.448648       0.00807581     68.3752          2.22906
    6      1    0.420951       0.00871919     63.9906          2.13396
    6      2     0.38605       0.00860639     60.8437          2.06582
    6      2    0.362146       0.00295255     56.1932          1.96556
    6      2    0.334984       0.00128803     51.6301            1.868
    6      2    0.312465      0.000598241     47.1571          1.77369
    6      3    0.403183       0.00158269     65.5775          2.16836
    6      3    0.380222       0.00335138     60.8437          2.06582
    6      3     0.35413       0.00103469     56.1932          1.96556
    6      3    0.326703        0.0026049     51.6301            1.868
    7      0    0.421854      0.000957666     67.2303           2.2015
    7      0    0.399158      0.000768506     62.4733          2.09814
    7      0    0.371814      0.000589628     57.7983          1.99691
    7      0    0.341084        0.0017024       53.21          1.89819
    7      1    0.396531        0.0110615     59.3472           2.0304
    7      1    0.368101      0.000846519     54.3487          1.92262
    7      1     0.33916      0.000623529      49.455          1.81822
    7      1    0.311865       0.00106313      44.669          1.71795
    7      2    0.293544       0.00911026      42.857          1.68065
    7      2     0.26726      0.000915782     38.2195          1.58764
    7      2    0.241418      0.000525184     33.6832          1.50163
    7      2    0.210937       0.00100666     29.2361          1.42495
    7      3    0.339999       0.00153468     51.3246          1.85794
    7      3    0.314248        0.0011625      46.497          1.75598
    7      3    0.289514      0.000676209     41.7775          1.65867
    7      3    0.263402      0.000763033     37.1639           1.5671
    8      0    0.212112       0.00170588     32.3967          1.49266
    8      0    0.190851       0.00152559      28.618           1.4311
    8      0    0.167581      0.000593728     24.8786          1.38016
    8      0    0.147084       0.00058859     21.1499          1.34495
    8      1    0.225917       0.00226133     33.4365          1.51085
    8      1    0.199324      0.000479148     29.6438          1.44697
    8      1    0.177428      0.000510764     25.8959          1.39274
    8      1       0.155      0.000503849     22.1681           1.3525
    8      2    0.115741      0.000592327     16.3356          1.34085
    8      2   0.0966629      0.000348774     13.1071          1.38801
    8      2   0.0812936      0.000540158      9.6178          1.52961
    8      2   0.0615497       0.00103512     5.46131           2.1858
    8      3     0.10837      0.000442748     15.6317          1.34652
    8      3   0.0927544      0.000560553     12.7361          1.39743
    8      3   0.0753083      0.000960961      9.6178          1.52961
    8      3   0.0602443       0.00213065     5.99249          2.02429
    9      0    0.210888      0.000860255     33.4398          1.51073
    9      0    0.190486      0.000547494     29.6473          1.44683
    9      0    0.169416      0.000630652     25.8998          1.39257
    9      0    0.145783      0.000790363     22.1726          1.35227
    9      1    0.203426      0.000891964     33.0927          1.50462
    9      1    0.184928      0.000374417     29.3051          1.44147
    9      1    0.162039       0.00056311     25.5607          1.38821
    9      1    0.141565      0.000370326     21.8334          1.34951
    9      2    0.111964      0.000413317     16.3413          1.34045
