* tel	csi	Z	A	CutStart	CutEnd	ChanelStep
0	0	1	1	86	1000	3
0	0	1	2	86	1350	4
0	0	1	3	86	1500	5
0	0	2	3	86	1750	6
0	0	2	4	86	1750	6
0	0	2	6	86	1750	6
0	0	3	6	86	1550	5
0	0	3	7	86	1550	5
0	0	3	8	86	1550	5
0	0	4	7	86	1150	4
0	0	4	9	86	1150	4
0	0	4	10	86	1150	4
0	1	1	1	70	970	3
0	1	1	2	70	1270	4
0	1	1	3	70	1410	4
0	1	2	3	70	1570	5
0	1	2	4	70	1830	6
0	1	2	6	70	1670	5
0	1	3	6	70	1750	6
0	1	3	7	70	1750	6
0	1	3	8	70	1750	6
0	1	4	7	70	1590	5
0	1	4	9	70	1590	5
0	1	4	10	70	1590	5
0	2	1	1	87	1010	3
0	2	1	2	87	1300	4
0	2	1	3	87	1400	4
0	2	2	3	87	1720	5
0	2	2	4	87	1950	6
0	2	2	6	87	1700	5
0	2	3	6	87	1720	5
0	2	3	7	87	1720	5
0	2	3	8	87	1720	5
0	2	4	7	87	1500	5
0	2	4	9	87	1500	5
0	2	4	10	87	1500	5
0	3	1	1	39	910	3
0	3	1	2	39	1150	4
0	3	1	3	39	1350	4
0	3	2	3	39	1350	4
0	3	2	4	39	1620	5
0	3	2	6	39	1310	4
0	3	3	6	39	1570	5
0	3	3	7	39	1570	5
0	3	3	8	39	1570	5
0	3	4	7	39	1240	4
0	3	4	9	39	1240	4
0	3	4	10	39	1240	4
1	0	1	1	99	1040	3
1	0	1	2	99	1350	4
1	0	1	3	99	1510	5
1	0	2	3	99	1540	5
1	0	2	4	99	1860	6
1	0	2	6	99	1690	5
1	0	3	6	99	2090	7
1	0	3	7	99	2090	7
1	0	3	8	99	2090	7
1	0	4	7	99	1730	5
1	0	4	9	99	1730	5
1	0	4	10	99	1730	5
1	1	1	1	85	1000	3
1	1	1	2	85	1350	4
1	1	1	3	85	1470	5
1	1	2	3	85	1550	5
1	1	2	4	85	1850	6
1	1	2	6	85	1620	5
1	1	3	6	85	2150	7
1	1	3	7	85	2150	7
1	1	3	8	85	2150	7
1	1	4	7	85	1800	6
1	1	4	9	85	1800	6
1	1	4	10	85	1800	6
1	2	1	1	72	970	3
1	2	1	2	72	1270	4
1	2	1	3	72	1350	4
1	2	2	3	72	1510	5
1	2	2	4	72	1670	5
1	2	2	6	72	1490	5
1	2	3	6	72	1710	5
1	2	3	7	72	1710	5
1	2	3	8	72	1710	5
1	2	4	7	72	1400	4
1	2	4	9	72	1400	4
1	2	4	10	72	1400	4
1	3	1	1	98	960	3
1	3	1	2	98	1230	4
1	3	1	3	98	1370	4
1	3	2	3	98	1490	5
1	3	2	4	98	1700	5
1	3	2	6	98	1490	5
1	3	3	6	98	1730	5
1	3	3	7	98	1730	5
1	3	3	8	98	1730	5
1	3	4	7	98	1400	4
1	3	4	9	98	1400	4
1	3	4	10	98	1400	4
2	0	1	1	68	950	3
2	0	1	2	68	1280	4
2	0	1	3	68	1410	4
2	0	2	3	68	1450	5
2	0	2	4	68	1650	5
2	0	2	6	68	1420	5
2	0	3	6	68	1650	5
2	0	3	7	68	1650	5
2	0	3	8	68	1650	5
2	0	4	7	68	1350	4
