*Fit parameters table created by DEEFIT
*09| ntel mf npar alfa   mu  nu  csi  g  lambda  of_s  of_f  chi2
*14| ntel mf npar alfa   mu  nu  lambda csi gap gb cp zl zi ze of_s of_f chi2
*mf=0 2*Z; 1=Charity; 2=EPAX;
   0 0 14 1.09644 0.42895 1.00063 1.49148 15.74320 742.37791 0.60439 15.27907 0.01380 3.52310 0.22015 0.00511 0.15047 63.20457 6.59108
   1 0 14 1.05702 0.48523 1.14214 -0.20748 14.24717 0.66081 0.62364 7.41670 0.01914 19.99763 0.05465 0.32984 0.08444 60.14647 8.49867
   2 0 14 1.05609 0.48186 1.41022 -0.49964 14.31205 1.56632 0.84077 8.88816 0.02109 19.99987 0.03940 0.30549 0.00000 71.41921 6.57675
   3 0 14 1.05419 0.49240 1.62323 -0.65914 13.86187 1.77470 0.32673 8.29606 0.01029 19.99999 0.09632 0.27818 0.11622 26.22792 6.72756
   4 0 14 1.09108 0.43610 1.02814 1.55791 15.80426 861.53514 0.28943 16.66706 0.00696 8.84996 0.31799 0.02016 0.26843 74.53922 6.89796
   5 0 14 1.02965 0.48757 0.82155 0.08108 14.69448 0.00138 0.55603 9.82933 0.01149 19.97781 0.06582 0.25197 0.02083 65.98995 11.19980
   6 0 14 1.04941 0.48520 0.29943 0.61735 14.22702 0.00100 0.97874 8.62276 0.02413 19.99983 0.03409 0.30843 0.00000 58.08529 8.39615
   7 0 14 1.10294 0.47588 0.94558 -0.03817 9.72016 80.45397 2.31120 7.00986 0.06787 19.99997 0.01378 0.36482 0.00000 81.28665 5.93806
   8 0 14 1.11130 0.41075 1.06900 1.55498 16.52610 1174.83408 0.13665 17.95248 0.00397 13.55829 0.83440 0.00002 0.31669 35.46779 6.93449
   9 0 14 1.11106 0.42619 1.04042 1.51983 15.69092 771.20152 0.15481 12.41804 0.00489 4.81085 1.10975 0.03242 0.16648 76.80499 6.10492
  10 0 14 1.02731 0.49221 1.48009 -0.47610 14.66047 0.00101 0.38388 6.72976 0.01772 20.00000 0.08438 0.21971 0.18905 44.39716 9.07434
  11 0 14 1.11403 0.43555 1.05526 1.53392 15.48605 979.80553 0.29147 15.88156 0.00886 11.71067 0.31389 0.00002 0.27653 72.84168 7.65412
  12 0 14 1.07248 0.42805 1.04352 1.54129 16.35239 914.86885 0.16625 14.77670 0.00505 7.51802 0.72530 0.00082 0.28251 42.67819 6.98844
  13 0 14 1.04650 0.44267 1.09791 2.00000 15.81210 657.24021 1.30516 6.81473 0.07063 19.93834 0.02700 0.11109 0.38097 69.54265 8.27290
  14 0 14 1.03746 0.48304 0.78988 0.22215 14.75986 0.00104 1.61484 4.38407 0.10990 19.97960 0.02803 0.32303 0.14357 70.20588 12.27844
  15 0 14 1.11749 0.40684 1.02793 1.40507 16.24358 797.02253 0.90985 10.00598 0.04540 3.44252 0.14362 0.00037 0.22054 45.99086 4.93308
  16 0 14 1.09462 0.41804 1.03989 1.54218 16.76157 986.94087 0.56607 13.38757 0.02101 6.25971 0.16069 0.00008 0.29024 74.75772 4.36246
  17 0 14 1.08217 0.43359 1.05886 1.65716 16.14453 964.10496 0.37268 15.19251 0.00988 11.79466 0.16728 0.00006 0.42929 45.38764 6.11660
  18 0 14 1.08803 0.44680 1.02430 1.55890 15.56404 712.69582 0.23317 12.06806 0.00797 5.90844 0.35795 0.00000 0.20260 77.14893 3.50820
  19 0 14 1.09696 0.43428 1.10307 1.54086 16.03089 1011.38269 0.66708 12.65214 0.03204 20.00000 0.06809 0.00000 0.34922 65.63566 3.85215
  20 0 14 1.06950 0.42594 1.03401 1.44132 16.60590 801.40805 0.25597 12.13598 0.01054 6.19133 0.33590 0.00003 0.27047 49.10775 5.28531
  21 0 14 1.04426 0.46742 1.52983 -0.56458 15.54380 0.00100 1.99583 3.11805 0.19075 19.99998 0.01264 0.38422 0.02479 54.74538 9.59089
  22 0 14 1.11314 0.39283 0.98842 1.41689 16.92990 864.66411 0.22868 10.34181 0.01230 2.61701 0.75221 0.05028 0.01673 39.83896 7.00765
  23 0 14 1.09978 0.37835 1.04061 1.49717 17.89323 1029.63517 0.06428 9.44494 0.00411 3.58621 7.82442 19.31459 0.24708 37.27197 6.86175
  24 0 14 1.10226 0.41105 1.09956 1.52949 16.27409 1016.80873 0.87799 10.70949 0.05016 12.66433 0.06631 0.00000 0.42238 39.66128 4.13526
  25 0 14 1.12522 0.38919 1.02815 1.36559 16.73963 795.79917 0.41765 7.41662 0.03267 1.95756 0.42602 0.00243 0.22944 36.05239 6.60516
  26 0 14 1.16573 0.36272 1.07930 0.65929 15.02803 551.54139 0.86099 4.48270 0.24034 19.98511 0.04789 0.30092 0.26202 37.64365 5.96160
  27 0 14 1.07494 0.41405 0.98473 1.61005 16.70003 781.64719 0.15151 14.67001 0.00355 3.38985 1.56597 0.00017 0.18898 55.97819 6.95276
  28 0 14 1.10131 0.48426 0.95853 -0.03704 8.38264 95.98253 1.33630 5.64500 0.06224 19.99995 0.01817 0.32809 0.00000 79.84712 7.62212
  29 0 14 1.09604 0.42512 1.01988 1.60487 15.71674 752.76700 0.27371 11.83840 0.00876 4.46034 0.35517 0.00000 0.20476 60.61720 3.46875
  30 0 14 1.10150 0.42513 1.11790 1.47863 15.85580 963.08356 0.56102 9.45233 0.04190 18.40580 0.07731 0.00000 0.42750 73.49741 4.98249
  31 0 14 1.10381 0.42639 1.14882 1.45537 15.67689 966.06932 0.47567 8.85871 0.03847 19.99736 0.08519 0.00007 0.43427 49.84107 3.97451
  32 0 14 1.13971 0.38279 1.12235 1.20723 17.39894 927.99436 0.08968 4.28398 0.02844 3.27216 4.99656 0.01174 0.56824 59.42894 3.64372
  33 0 14 1.06826 0.42584 0.96461 1.88021 16.35180 572.47002 0.49803 5.83048 0.01471 19.99750 0.08048 0.31956 0.13534 94.69656 5.45521
  34 0 14 1.15933 0.37213 0.99175 0.95448 16.39416 615.34274 0.28270 3.85357 0.11043 1.18816 1.28253 0.04871 0.16463 73.24319 4.78032
  35 0 14 1.12437 0.37565 1.01080 1.22283 17.50163 815.34986 0.23150 4.42415 0.05723 1.91337 1.70247 0.08320 0.24618 76.06329 6.56731
  36 0 14 1.03817 0.43126 0.94654 1.98646 17.57472 419.36251 1.32835 1.99640 0.45895 19.99999 0.02248 0.41410 0.00000 70.09928 4.62826
  37 0 14 1.13081 0.38754 1.10962 1.08775 17.06865 924.90150 0.09879 5.28098 0.02753 5.82973 1.39693 0.06559 0.43762 57.24079 5.04702
  38 0 14 1.22191 0.38630 0.97243 0.82870 14.12725 584.60304 0.35671 3.19561 0.25156 1.78429 0.63438 0.13598 0.15972 93.02786 3.74796
  39 0 14 1.27923 0.40353 0.95504 0.79730 12.84305 610.79217 0.36334 2.53568 0.80216 1.39973 1.07670 0.18238 0.14568 90.60083 5.08217
  40 0 14 1.08510 0.39163 1.00794 1.36448 17.42090 932.35406 0.23569 8.24079 0.02373 3.03229 0.69569 0.00103 0.15624 63.95230 8.93736
  41 0 14 1.09508 0.35659 1.05019 1.26889 18.19039 901.28556 0.14653 5.28102 0.02800 2.51995 1.89797 0.02490 0.33843 64.54778 7.16487
  42 0 14 0.98385 0.35882 1.00286 2.00000 20.48573 676.18662 0.18195 1.16470 0.08122 1.32637 1.45784 0.22152 0.32248 57.91086 7.52202
  43 0 14 1.06825 0.36135 0.93790 1.50277 18.70372 836.16160 0.39629 5.09381 0.03966 1.67836 0.97940 0.21885 0.06077 63.06031 8.97163
  44 0 14 1.69999 0.20382 0.97141 1.12735 12.64660 1097.13251 0.71353 3.48248 2.04099 1.28313 0.74920 0.09682 0.19259 110.60394 7.71688
  45 0 14 1.10325 0.36117 1.04871 1.47001 18.08190 1071.18150 0.38645 6.31838 0.04497 4.83774 0.36020 0.06495 0.40960 73.78408 6.67850
  46 0 14 1.09829 0.46775 1.26570 -0.41492 14.25079 0.00100 0.18031 0.76901 0.04338 0.70638 2.33330 3.85229 0.00000 115.86558 7.04015
  47 0 14 1.04784 0.40677 1.03338 1.77185 17.02659 681.11653 0.32282 5.18818 0.02079 3.67843 0.27893 0.00407 0.45725 68.38778 4.60352
