 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1        84       0.5      0.0149278    0.000149278          3.44737      0.0344737        12.8032       0.128032
    5    0    1    1        89       0.5      0.0199709    0.000199709          4.10468      0.0410468        12.3704       0.123704
    5    0    1    1        94       0.5      0.0250537    0.000250537          4.76186      0.0476186         11.961        0.11961
    5    0    1    1        99       0.5      0.0301564    0.000301564          5.42125      0.0542125        11.5723       0.115723
    5    0    1    1       104       0.5      0.0352464    0.000352464          6.08445      0.0608445        11.2022       0.112022
    5    0    1    1       109       0.5      0.0402838    0.000402838          6.75247      0.0675247        10.8494       0.108494
    5    0    1    1       114       0.5      0.0453225    0.000453225          7.42585      0.0742585        10.5125       0.105125
    5    0    1    1       119       0.5      0.0504392    0.000504392          8.10491      0.0810491        10.1908       0.101908
    5    0    1    1       124       0.5      0.0554669    0.000554669          8.78965      0.0878965        9.88329      0.0988329
    5    0    1    1       129       0.5      0.0603461    0.000603461          9.48016      0.0948016        9.58943      0.0958943
    5    0    1    1       134       0.5      0.0656076    0.000656076          10.1729       0.101729        9.30855      0.0930855
    5    0    1    1       139       0.5      0.0712965    0.000712965          10.8674       0.108674        9.04007      0.0904007
    5    0    1    1       144       0.5      0.0765171    0.000765171           11.568        0.11568        8.78345      0.0878345
    5    0    1    1       149       0.5      0.0812893    0.000812893          12.2729       0.122729        8.53815      0.0853815
    5    0    1    1       154       0.5      0.0861639    0.000861639          12.9821       0.129821        8.30366      0.0830366
    5    0    1    1       159       0.5      0.0911461    0.000911461          13.6957       0.136957        8.07948      0.0807948
    5    0    1    1       164       0.5      0.0960769    0.000960769          14.4135       0.144135        7.86513      0.0786513
    5    0    1    1       169       0.5       0.100982     0.00100982          15.1353       0.151353        7.66015      0.0766015
    5    0    1    1       174       0.5       0.105909     0.00105909           15.861        0.15861        7.46408      0.0746408
    5    0    1    1       179       0.5       0.110859     0.00110859          16.5906       0.165906        7.27649      0.0727649
    5    0    1    1       184       0.5       0.115827     0.00115827          17.3237       0.173237        7.09696      0.0709696
    5    0    1    1       189       0.5       0.120808     0.00120808          18.0604       0.180604        6.92509      0.0692509
    5    0    1    1       194       0.5       0.125797     0.00125797          18.8005       0.188005        6.76049      0.0676049
    5    0    1    1       199       0.5       0.130789     0.00130789          19.5439       0.195439         6.6028       0.066028
    5    0    1    1       204       0.5       0.135778     0.00135778          20.2904       0.202904        6.45167      0.0645167
    5    0    1    1       209       0.5        0.14076      0.0014076            21.04         0.2104        6.30675      0.0630675
    5    0    1    1       214       0.5       0.145729     0.00145729          21.7925       0.217925        6.16774      0.0616774
    5    0    1    1       219       0.5       0.150681     0.00150681          22.5479       0.225479        6.03433      0.0603433
    5    0    1    1       224       0.5       0.155614     0.00155614          23.3061       0.233061        5.90625      0.0590625
    5    0    1    1       229       0.5        0.16053      0.0016053          24.0669       0.240669         5.7832       0.057832
    5    0    1    1       234       0.5       0.165431     0.00165431          24.8304       0.248304        5.66495      0.0566495
    5    0    1    1       239       0.5        0.17032      0.0017032          25.5964       0.255964        5.55125      0.0555125
    5    0    1    1       244       0.5         0.1752       0.001752          26.3649       0.263649        5.44188      0.0544188
