 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             92            0.5        16.0756       0.160756
    0         0            152            0.5        30.7814       0.307814
    0         0            218            0.5        44.1169       0.441169
    0         0            296            0.5        58.7415       0.587415
    0         0            374            0.5        72.9051       0.729051
    0         0            452            0.5        86.7514       0.867514
    0         0            530            0.5        100.356        1.00356
    0         0            614            0.5        114.783        1.14783
    0         0            692            0.5        127.991        1.27991
    0         0            776            0.5        142.029        1.42029
    0         0            866            0.5        156.874        1.56874
    0         0            950            0.5        170.564        1.70564
    0         0           1034            0.5         184.11         1.8411
    0         0           1124            0.5        198.481        1.98481
    0         0           1214            0.5        212.721        2.12721
    0         0           1304            0.5        226.845        2.26845
    0         0           1394            0.5        240.867        2.40867
    0         0           1484            0.5          254.8          2.548
    0         0           1574            0.5        268.656        2.68656
    0         0           1664            0.5        282.446        2.82446
    0         1             82            0.5         14.952        0.14952
    0         1            154            0.5        30.8432       0.308432
    0         1            226            0.5        45.9779       0.459779
    0         1            310            0.5        62.9624       0.629624
    0         1            388            0.5        78.1828       0.781828
    0         1            472            0.5        93.9755       0.939755
    0         1            562            0.5        110.409        1.10409
    0         1            652            0.5        126.426        1.26426
    0         1            742            0.5        142.098        1.42098
    0         1            838            0.5        158.499        1.58499
    0         1            934            0.5        174.625        1.74625
    0         1           1030            0.5        190.521        1.90521
    0         1           1126            0.5        206.221        2.06221
    0         1           1228            0.5        222.722        2.22722
    0         1           1324            0.5        238.109        2.38109
    0         1           1426            0.5         254.33         2.5433
    0         1           1528            0.5        270.439        2.70439
    0         1           1630            0.5        286.456        2.86456
    0         1           1732            0.5        302.398        3.02398
    0         1           1834            0.5        318.278        3.18278
    0         1           1936            0.5         334.11         3.3411
    0         2             99            0.5         15.917        0.15917
    0         2            165            0.5        30.1612       0.301612
    0         2            237            0.5        44.8533       0.448533
    0         2            315            0.5        60.2277       0.602277
    0         2            393            0.5        75.1511       0.751511
    0         2            477            0.5        90.6809       0.906809
    0         2            561            0.5        105.787        1.05787
    0         2            645            0.5        120.538        1.20538
    0         2            729            0.5        134.985        1.34985
    0         2            819            0.5        150.173        1.50173
    0         2            909            0.5          165.1          1.651
    0         2           1005            0.5        180.771        1.80771
    0         2           1095            0.5        195.257        1.95257
    0         2           1191            0.5        210.518        2.10518
    0         2           1287            0.5        225.606        2.25606
    0         2           1383            0.5        240.543        2.40543
    0         2           1479            0.5        255.348        2.55348
    0         2           1581            0.5        270.951        2.70951
    0         2           1677            0.5        285.533        2.85533
    0         2           1779            0.5         300.93         3.0093
    0         2           1875            0.5        315.344        3.15344
    0         3             45            0.5        15.4161       0.154161
    0         3            111            0.5        30.2687       0.302687
    0         3            183            0.5        45.2433       0.452433
    0         3            261            0.5        60.9064       0.609064
    0         3            333            0.5        74.9437       0.749437
    0         3            417            0.5        90.8045       0.908045
    0         3            495            0.5        105.155        1.05155
    0         3            579            0.5        120.273        1.20273
    0         3            663            0.5        135.098        1.35098
    0         3            753            0.5        150.702        1.50702
    0         3            837            0.5        165.043        1.65043
    0         3            927            0.5        180.201        1.80201
    0         3           1017            0.5        195.174        1.95174
    0         3           1113            0.5        210.968        2.10968
    0         3           1203            0.5        225.633        2.25633
    0         3           1293            0.5        240.177        2.40177
    0         3           1389            0.5        255.577        2.55577
    0         3           1485            0.5        270.875        2.70875
    0         3           1575            0.5        285.139        2.85139
    0         3           1671            0.5        300.282        3.00282
    1         0            106            0.5        14.1835       0.141835
    1         0            176            0.5        31.3824       0.313824
    1         0            260            0.5        47.9148       0.479148
    1         0            358            0.5        65.6593       0.656593
    1         0            456            0.5        82.7648       0.827648
    1         0            554            0.5         99.404        0.99404
    1         0            659            0.5         116.87         1.1687
    1         0            757            0.5        132.871        1.32871
    1         0            869            0.5        150.839        1.50839
    1         0            974            0.5        167.409        1.67409
    1         0           1086            0.5        184.823        1.84823
    1         0           1191            0.5        200.934        2.00934
    1         0           1310            0.5        218.976        2.18976
    1         0           1422            0.5        235.772        2.35772
    1         0           1534            0.5        252.415        2.52415
    1         0           1653            0.5        269.954        2.69954
    1         0           1765            0.5        286.346        2.86346
    1         0           1884            0.5         303.66         3.0366
    1         0           2003            0.5        320.887        3.20887
    1         0           2115            0.5        337.034        3.37034
    1         0           2234            0.5        354.136        3.54136
    1         1             93            0.5        14.0882       0.140882
    1         1            181            0.5        31.5793       0.315793
    1         1            277            0.5        49.9728       0.499728
    1         1            373            0.5        67.8204       0.678204
    1         1            477            0.5        86.5399       0.865399
    1         1            581            0.5        104.673        1.04673
    1         1            685            0.5        122.351        1.22351
    1         1            797            0.5         140.96         1.4096
    1         1            901            0.5          157.9          1.579
    1         1           1013            0.5        175.829        1.75829
    1         1           1133            0.5        194.728        1.94728
    1         1           1245            0.5        212.118        2.12118
    1         1           1365            0.5        230.521        2.30521
    1         1           1485            0.5        248.719        2.48719
    1         1           1605            0.5        266.741        2.66741
    1         1           1725            0.5        284.613        2.84613
    1         1           1845            0.5        302.356        3.02356
    1         1           1965            0.5         319.99         3.1999
    1         1           2093            0.5        338.699        3.38699
    1         1           2213            0.5         356.16         3.5616
    1         1           2341            0.5        374.716        3.74716
    1         2             78            0.5        15.1962       0.151962
    1         2            150            0.5        30.1715       0.301715
    1         2            228            0.5        45.8172       0.458172
    1         2            300            0.5        59.8559       0.598559
    1         2            384            0.5        75.8031       0.758031
    1         2            462            0.5        90.1496       0.901496
    1         2            546            0.5        105.229        1.05229
    1         2            630            0.5        119.983        1.19983
    1         2            720            0.5        135.481        1.35481
    1         2            810            0.5        150.703        1.50703
    1         2            900            0.5        165.688        1.65688
    1         2            990            0.5        180.465        1.80465
    1         2           1080            0.5        195.062        1.95062
    1         2           1176            0.5        210.459        2.10459
    1         2           1272            0.5        225.699        2.25699
    1         2           1368            0.5        240.803        2.40803
    1         2           1464            0.5        255.788        2.55788
    1         2           1560            0.5        270.671        2.70671
    1         2           1656            0.5        285.465        2.85465
    1         2           1752            0.5        300.183        3.00183
    1         2           1854            0.5        315.748        3.15748
    1         3            104            0.5        13.9069       0.139069
    1         3            170            0.5        29.6344       0.296344
    1         3            242            0.5        44.9874       0.449874
    1         3            314            0.5        59.6022       0.596022
    1         3            392            0.5        74.8635       0.748635
    1         3            470            0.5         89.564        0.89564
    1         3            554            0.5        104.941        1.04941
    1         3            638            0.5        119.943        1.19943
    1         3            722            0.5        134.637        1.34637
    1         3            806            0.5        149.074        1.49074
    1         3            896            0.5        164.302        1.64302
    1         3            986            0.5         179.32         1.7932
    1         3           1076            0.5        194.159        1.94159
    1         3           1172            0.5        209.822        2.09822
    1         3           1262            0.5        224.373        2.24373
    1         3           1358            0.5        239.775        2.39775
    1         3           1448            0.5         254.12         2.5412
    1         3           1544            0.5        269.335        2.69335
    1         3           1640            0.5        284.477        2.84477
    1         3           1736            0.5         299.56         2.9956
    1         3           1832            0.5        314.593        3.14593
    2         0             74            0.5        14.6455       0.146455
    2         0            134            0.5        28.9601       0.289601
    2         0            200            0.5        41.9486       0.419486
    2         0            278            0.5        56.5797       0.565797
    2         0            356            0.5        70.9539       0.709539
    2         0            428            0.5        83.9758       0.839758
    2         0            512            0.5        98.8338       0.988338
    2         0            590            0.5         112.35         1.1235
    2         0            674            0.5        126.618        1.26618
    2         0            758            0.5        140.611        1.40611
    2         0            842            0.5        154.352        1.54352
    2         0            932            0.5        168.825        1.68825
    2         0           1016            0.5        182.125        1.82125
    2         0           1106            0.5        196.177        1.96177
    2         0           1202            0.5        210.967        2.10967
    2         0           1292            0.5        224.669        2.24669
    2         0           1382            0.5        238.231        2.38231
    2         0           1478            0.5        252.564        2.52564
    2         0           1574            0.5        266.775        2.66775
    2         0           1670            0.5        280.883        2.80883
    2         0           1766            0.5          294.9          2.949
    2         1            102            0.5         12.592        0.12592
    2         1            147            0.5        25.7227       0.257227
    2         1            207            0.5        40.2361       0.402361
    2         1            272            0.5        54.4518       0.544518
    2         1            342            0.5        68.9625       0.689625
    2         1            412            0.5        82.9653       0.829653
    2         1            482            0.5        96.5596       0.965596
    2         1            557            0.5        110.817        1.10817
    2         1            632            0.5        124.812        1.24812
    2         1            707            0.5        138.589        1.38589
    2         1            782            0.5        152.178        1.52178
    2         1            862            0.5        166.495        1.66495
    2         1            942            0.5        180.656        1.80656
    2         1           1022            0.5        194.683        1.94683
    2         1           1102            0.5        208.596        2.08596
    2         1           1182            0.5        222.412        2.22412
    2         1           1262            0.5        236.146        2.36146
    2         1           1347            0.5        250.663        2.50663
    2         1           1427            0.5        264.268        2.64268
    2         1           1512            0.5        278.673        2.78673
    2         1           1592            0.5        292.194        2.92194
    2         2             76            0.5        13.5197       0.135197
    2         2            131            0.5        25.4347       0.254347
    2         2            191            0.5          37.82         0.3782
    2         2            251            0.5        49.7142       0.497142
    2         2            311            0.5        61.2019       0.612019
    2         2            376            0.5        73.2634       0.732634
    2         2            446            0.5        85.8022       0.858022
    2         2            516            0.5        97.9681       0.979681
    2         2            586            0.5        109.833        1.09833
    2         2            656            0.5        121.448        1.21448
    2         2            731            0.5        133.656        1.33656
    2         2            806            0.5        145.656        1.45656
    2         2            881            0.5        157.477        1.57477
    2         2            961            0.5        169.919        1.69919
    2         2           1036            0.5        181.446        1.81446
    2         2           1116            0.5        193.618        1.93618
    2         2           1196            0.5        205.679        2.05679
    2         2           1276            0.5        217.644        2.17644
    2         2           1356            0.5        229.528        2.29528
    2         2           1436            0.5        241.342        2.41342
    2         3             99            0.5         11.996        0.11996
    2         3            149            0.5        25.9186       0.259186
    2         3            214            0.5        40.2585       0.402585
    2         3            284            0.5        54.3586       0.543586
    2         3            359            0.5        68.9198       0.689198
    2         3            429            0.5        82.1644       0.821644
    2         3            509            0.5        96.9008       0.969008
    2         3            584            0.5        110.423        1.10423
    2         3            664            0.5        124.561        1.24561
    2         3            744            0.5        138.434        1.38434
    2         3            829            0.5        152.914        1.52914
    2         3            909            0.5        166.324        1.66324
    2         3            994            0.5        180.366        1.80366
    2         3           1079            0.5         194.22         1.9422
    2         3           1169            0.5         208.71         2.0871
    2         3           1254            0.5        222.246        2.22246
    2         3           1344            0.5        236.442        2.36442
    2         3           1434            0.5        250.514        2.50514
    2         3           1524            0.5        264.479        2.64479
    2         3           1614            0.5        278.352        2.78352
    2         3           1709            0.5         292.91         2.9291
    3         0             76            0.5        14.3564       0.143564
    3         0            116            0.5        24.8838       0.248838
    3         0            171            0.5        36.7351       0.367351
    3         0            226            0.5        47.4001       0.474001
    3         0            286            0.5        58.4845       0.584845
    3         0            346            0.5        69.2571       0.692571
    3         0            411            0.5        80.6542       0.806542
    3         0            476            0.5        91.7652       0.917652
    3         0            541            0.5        102.683        1.02683
    3         0            606            0.5        113.419        1.13419
    3         0            676            0.5        124.799        1.24799
    3         0            741            0.5        135.212        1.35212
    3         0            811            0.5        146.274        1.46274
    3         0            886            0.5         157.97         1.5797
    3         0            956            0.5        168.753        1.68753
    3         0           1026            0.5        179.421        1.79421
    3         0           1101            0.5        190.736        1.90736
    3         0           1176            0.5        201.944        2.01944
    3         0           1246            0.5        212.318        2.12318
    3         0           1321            0.5         223.35         2.2335
