 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0233877    0.000233877        16.0756       0.160756
    0         0      0.0950042    0.000950042        30.7814       0.307814
    0         0       0.169954     0.00169954        44.1169       0.441169
    0         0        0.26019      0.0026019        58.7415       0.587415
    0         0       0.350168     0.00350168        72.9051       0.729051
    0         0       0.439893     0.00439893        86.7514       0.867514
    0         0       0.531202     0.00531202        100.356        1.00356
    0         0         0.6281       0.006281        114.783        1.14783
    0         0       0.717665     0.00717665        127.991        1.27991
    0         0       0.815179     0.00815179        142.029        1.42029
    0         0       0.920616     0.00920616        156.874        1.56874
    0         0        1.01874      0.0101874        170.564        1.70564
    0         0        1.11837      0.0111837         184.11         1.8411
    0         0        1.22749      0.0122749        198.481        1.98481
    0         0        1.34005      0.0134005        212.721        2.12721
    0         0        1.45394      0.0145394        226.845        2.26845
    0         0        1.56961      0.0156961        240.867        2.40867
    0         0        1.68843      0.0168843          254.8          2.548
    0         0        1.80707      0.0180707        268.656        2.68656
    0         0        1.92673      0.0192673        282.446        2.82446
    0         1      0.0279281    0.000279281         14.952        0.14952
    0         1       0.117926     0.00117926        30.8432       0.308432
    0         1       0.202817     0.00202817        45.9779       0.459779
    0         1       0.303476     0.00303476        62.9624       0.629624
    0         1        0.39714      0.0039714        78.1828       0.781828
    0         1       0.498365     0.00498365        93.9755       0.939755
    0         1       0.607645     0.00607645        110.409        1.10409
    0         1        0.71662      0.0071662        126.426        1.26426
    0         1       0.824939     0.00824939        142.098        1.42098
    0         1       0.941442     0.00941442        158.499        1.58499
    0         1        1.05938      0.0105938        174.625        1.74625
    0         1        1.17954      0.0117954        190.521        1.90521
    0         1        1.30321      0.0130321        206.221        2.06221
    0         1        1.43746      0.0143746        222.722        2.22722
    0         1        1.56581      0.0156581        238.109        2.38109
    0         1        1.70559      0.0170559         254.33         2.5433
    0         1        1.84731      0.0184731        270.439        2.70439
    0         1        1.98895      0.0198895        286.456        2.86456
    0         1        2.13153      0.0213153        302.398        3.02398
