 *tel    numcsi           CsIV        errCsIV           CsIE       errCsIE
    0         0      0.0344648    0.000344648        5.92969      0.0592969
    0         0      0.0938781    0.000938781        13.3297       0.133297
    0         0        0.15048      0.0015048        21.6122       0.216122
    0         0       0.208265     0.00208265        30.4702       0.304702
    0         0       0.271487     0.00271487        40.3751       0.403751
    0         0       0.334893     0.00334893        50.4604       0.504604
    0         0       0.398917     0.00398917        60.6769       0.606769
    0         0       0.456115     0.00456115        70.0616       0.700616
    0         0       0.520748     0.00520748        80.4826       0.804826
    0         1      0.0382516    0.000382516        5.42325      0.0542325
    0         1      0.0934206    0.000934206        13.1451       0.131451
    0         1       0.147286     0.00147286         21.295        0.21295
    0         1       0.207591     0.00207591        30.6742       0.306742
    0         1       0.266808     0.00266808         40.063        0.40063
    0         1       0.333938     0.00333938        50.4864       0.504864
    0         1       0.399563     0.00399563        60.9929       0.609929
    0         1       0.460245     0.00460245        70.6129       0.706129
    0         1       0.520194     0.00520194        80.2978       0.802978
    0         2      0.0385901    0.000385901        5.39764      0.0539764
    0         2       0.100728     0.00100728        13.7656       0.137656
    0         2       0.154129     0.00154129        21.6781       0.216781
    0         2       0.215049     0.00215049        30.7399       0.307399
    0         2       0.281138     0.00281138        40.6975       0.406975
    0         2       0.348019     0.00348019        50.7338       0.507338
    0         2       0.414049     0.00414049        60.8386       0.608386
    0         2       0.475626     0.00475626        70.0844       0.700844
    0         2       0.541607     0.00541607        80.3223       0.803223
    0         3      0.0359557    0.000359557        5.38332      0.0538332
    0         3        0.10082      0.0010082        13.9073       0.139073
    0         3       0.151999     0.00151999        21.1472       0.211472
    0         3       0.213818     0.00213818        30.5702       0.305702
    0         3       0.276119     0.00276119        40.0675       0.400675
    0         3          0.345        0.00345         50.669        0.50669
    0         3        0.40792      0.0040792        60.4204       0.604204
    0         3       0.470304     0.00470304         70.268        0.70268
    0         3       0.532572     0.00532572        80.2054       0.802054
    1         0      0.0374951    0.000374951        5.83409      0.0583409
    1         0       0.103343     0.00103343        13.9818       0.139818
    1         0       0.156048     0.00156048        21.4002       0.214002
    1         0       0.213548     0.00213548        30.1509       0.301509
    1         0       0.283927     0.00283927        40.7936       0.407936
    1         0        0.34831      0.0034831        50.6944       0.506944
    1         0       0.412683     0.00412683        60.6865       0.606865
    1         0       0.476939     0.00476939        70.7512       0.707512
    1         0       0.542161     0.00542161        80.8795       0.808795
    1         1      0.0428306    0.000428306        5.81677      0.0581677
    1         1      0.0968122    0.000968122        13.3224       0.133224
    1         1       0.148191     0.00148191        21.1695       0.211695
    1         1       0.206856     0.00206856        30.1368       0.301368
    1         1       0.276396     0.00276396        40.8412       0.408412
    1         1       0.340496     0.00340496        50.7001       0.507001
    1         1       0.404895     0.00404895        60.5994       0.605994
    1         1       0.468543     0.00468543         70.543        0.70543
    1         1       0.532363     0.00532363        80.5358       0.805358
    1         2      0.0443417    0.000443417        5.94709      0.0594709
    1         2       0.101115     0.00101115        13.4421       0.134421
    1         2       0.155022     0.00155022        21.3475       0.213475
    1         2       0.216161     0.00216161        30.4445       0.304445
    1         2       0.282399     0.00282399        40.4653       0.404653
    1         2       0.349808     0.00349808        50.5887       0.505887
    1         2       0.416207     0.00416207        60.8004       0.608004
    1         2       0.476871     0.00476871        70.1585       0.701585
    1         2       0.544105     0.00544105        80.5352       0.805352
