 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0            102            0.5        5.99677      0.0599677
    0         0            186            0.5        19.9593       0.199593
    0         0            258            0.5        33.3886       0.333886
    0         0            330            0.5        47.6744       0.476744
    0         0            398            0.5        61.8319       0.618319
    0         0            462            0.5        75.7235       0.757235
    0         0            522            0.5        89.2516       0.892516
    0         0            582            0.5        103.284        1.03284
    0         0            642            0.5        117.846        1.17846
    0         0            698            0.5        131.938        1.31938
    0         0            750            0.5        145.479        1.45479
    0         0            802            0.5        159.485        1.59485
    0         0            854            0.5        173.981        1.73981
    0         0            902            0.5        187.822        1.87822
    0         0            946            0.5         200.92         2.0092
    0         0            994            0.5        215.682        2.15682
    0         0           1038            0.5        229.672        2.29672
    0         0           1078            0.5        242.793        2.42793
    0         0           1122            0.5        257.695        2.57695
    0         0           1162            0.5        271.693        2.71693
    0         1             86            0.5        5.66423      0.0566423
    0         1            166            0.5        19.6633       0.196633
    0         1            238            0.5         33.279        0.33279
    0         1            310            0.5        47.6489       0.476489
    0         1            378            0.5        61.8576       0.618576
    0         1            442            0.5        75.7992       0.757992
    0         1            502            0.5        89.3907       0.893907
    0         1            562            0.5        103.514        1.03514
    0         1            618            0.5        117.207        1.17207
    0         1            674            0.5        131.424        1.31424
    0         1            726            0.5        145.124        1.45124
    0         1            778            0.5        159.338        1.59338
    0         1            826            0.5        172.943        1.72943
    0         1            874            0.5        187.043        1.87043
    0         1            922            0.5        201.671        2.01671
    0         1            966            0.5        215.574        2.15574
    0         1           1010            0.5        229.981        2.29981
    0         1           1050            0.5        243.543        2.43543
    0         1           1090            0.5        257.575        2.57575
    0         1           1126            0.5        270.632        2.70632
    0         2             99            0.5         5.8146       0.058146
    0         2            179            0.5        19.3273       0.193273
    0         2            259            0.5        33.8998       0.338998
    0         2            331            0.5        47.7909       0.477909
    0         2            399            0.5        61.5677       0.615677
    0         2            463            0.5        75.1415       0.751415
    0         2            527            0.5        89.3422       0.893422
    0         2            587            0.5        103.266        1.03266
    0         2            647            0.5         117.83         1.1783
    0         2            699            0.5        131.006        1.31006
    0         2            755            0.5        145.818        1.45818
    0         2            803            0.5        159.065        1.59065
    0         2            851            0.5        172.858        1.72858
    0         2            899            0.5        187.238        1.87238
    0         2            943            0.5        200.972        2.00972
    0         2            987            0.5        215.273        2.15273
    0         2           1027            0.5        228.801        2.28801
    0         2           1067            0.5        242.866        2.42866
    0         2           1107            0.5        257.506        2.57506
    0         2           1143            0.5        271.208        2.71208
    0         2           1179            0.5        285.443        2.85443
    0         3             51            0.5        5.81169      0.0581169
    0         3            131            0.5        19.7383       0.197383
    0         3            203            0.5        33.5436       0.335436
    0         3            271            0.5        47.4208       0.474208
    0         3            335            0.5         61.133        0.61133
    0         3            399            0.5        75.4557       0.754557
    0         3            459            0.5        89.4449       0.894449
    0         3            519            0.5        103.998        1.03998
    0         3            571            0.5        117.089        1.17089
    0         3            627            0.5        131.711        1.31711
    0         3            679            0.5        145.802        1.45802
    0         3            727            0.5        159.275        1.59275
    0         3            775            0.5         173.22         1.7322
    0         3            823            0.5        187.667        1.87667
    0         3            867            0.5        201.379        2.01379
    0         3            911            0.5        215.564        2.15564
    0         3            951            0.5        228.896        2.28896
    0         3            991            0.5        242.669        2.42669
    0         3           1031            0.5        256.908        2.56908
    0         3           1071            0.5        271.642        2.71642
    1         0            111            0.5        5.50298      0.0550298
    1         0            187            0.5        17.7825       0.177825
    1         0            255            0.5        29.9713       0.299713
    1         0            315            0.5        41.2579       0.412579
    1         0            379            0.5        53.6951       0.536951
    1         0            439            0.5        65.6752       0.656752
    1         0            499            0.5        77.9435       0.779435
    1         0            555            0.5        89.6476       0.896476
    1         0            611            0.5        101.596        1.01596
    1         0            667            0.5        113.794        1.13794
    1         0            719            0.5        125.346        1.25346
    1         0            771            0.5        137.123        1.37123
    1         0            823            0.5        149.131        1.49131
    1         0            875            0.5        161.377        1.61377
    1         0            927            0.5         173.87         1.7387
    1         0            975            0.5        185.628        1.85628
    1         0           1023            0.5        197.613        1.97613
    1         0           1071            0.5        209.831        2.09831
    1         0           1115            0.5        221.244        2.21244
    1         0           1163            0.5        233.937        2.33937
    1         0           1207            0.5        245.802        2.45802
    1         1             97            0.5        5.89877      0.0589877
    1         1            173            0.5        18.8363       0.188363
    1         1            245            0.5        31.8378       0.318378
    1         1            313            0.5        44.6945       0.446945
    1         1            377            0.5        57.2962       0.572962
    1         1            441            0.5        70.4031       0.704031
    1         1            501            0.5        83.1768       0.831768
    1         1            561            0.5        96.4541       0.964541
    1         1            617            0.5        109.333        1.09333
    1         1            673            0.5        122.715        1.22715
    1         1            725            0.5        135.623        1.35623
    1         1            773            0.5         147.98         1.4798
    1         1            825            0.5        161.877        1.61877
    1         1            869            0.5        174.077        1.74077
    1         1            917            0.5         187.88         1.8788
    1         1            957            0.5        199.802        1.99802
    1         1           1001            0.5        213.384        2.13384
    1         1           1041            0.5        226.184        2.26184
    1         1           1081            0.5        239.443        2.39443
    1         1           1117            0.5        251.793        2.51793
    1         1           1153            0.5        264.563        2.64563
    1         1           1189            0.5        277.778        2.77778
    1         2             84            0.5        5.62492      0.0562492
    1         2            168            0.5        19.9755       0.199755
    1         2            240            0.5        33.3205       0.333205
    1         2            312            0.5        47.4776       0.474776
    1         2            380            0.5        61.5699       0.615699
    1         2            444            0.5        75.4961       0.754961
    1         2            504            0.5        89.1713       0.891713
    1         2            564            0.5        103.488        1.03488
    1         2            620            0.5        117.474        1.17474
    1         2            672            0.5        131.039        1.31039
    1         2            724            0.5        145.203        1.45203
    1         2            772            0.5         158.85         1.5885
    1         2            820            0.5        173.084        1.73084
    1         2            868            0.5        187.953        1.87953
    1         2            908            0.5        200.862        2.00862
    1         2            952            0.5        215.647        2.15647
    1         2            992            0.5        229.657        2.29657
    1         2           1028            0.5        242.762        2.42762
    1         2           1068            0.5        257.913        2.57913
    1         2           1100            0.5        270.512        2.70512
    1         2           1136            0.5        285.227        2.85227
    1         3            114            0.5         6.9496       0.069496
    1         3            194            0.5        20.9967       0.209967
    1         3            266            0.5        34.7196       0.347196
    1         3            334            0.5        48.5159       0.485159
    1         3            398            0.5        62.2209       0.622209
    1         3            462            0.5        76.6468       0.766468
    1         3            522            0.5        90.8641       0.908641
    1         3            578            0.5        104.781        1.04781
    1         3            630            0.5        118.305        1.18305
    1         3            682            0.5         132.45         1.3245
    1         3            730            0.5        146.099        1.46099
    1         3            778            0.5        160.358        1.60358
    1         3            822            0.5        174.005        1.74005
    1         3            866            0.5        188.243        1.88243
    1         3            906            0.5        201.736        2.01736
    1         3            946            0.5         215.79         2.1579
    1         3            986            0.5        230.446        2.30446
    1         3           1022            0.5        244.187        2.44187
    1         3           1058            0.5        258.486        2.58486
    1         3           1090            0.5        271.699        2.71699
    1         3           1122            0.5        285.414        2.85414
    1         3           1154            0.5        299.668        2.99668
    2         0             84            0.5        6.67602      0.0667602
    2         0            148            0.5        17.7802       0.177802
    2         0            204            0.5        28.2544       0.282544
    2         0            264            0.5        39.9097       0.399097
    2         0            316            0.5        50.2782       0.502782
    2         0            372            0.5        61.6809       0.616809
    2         0            424            0.5        72.4714       0.724714
    2         0            476            0.5        83.4484       0.834484
    2         0            528            0.5        94.6091       0.946091
    2         0            580            0.5        105.952        1.05952
    2         0            628            0.5        116.588        1.16588
    2         0            676            0.5        127.381        1.27381
    2         0            724            0.5        138.334        1.38334
    2         0            772            0.5        149.452        1.49452
    2         0            820            0.5        160.737        1.60737
    2         0            864            0.5        171.233        1.71233
    2         0            912            0.5        182.851        1.82851
    2         0            956            0.5        193.659        1.93659
    2         0           1000            0.5        204.623        2.04623
    2         0           1044            0.5        215.746        2.15746
    2         0           1084            0.5        226.002        2.26002
    2         0           1128            0.5        237.444        2.37444
    2         1            112            0.5        5.96501      0.0596501
    2         1            190            0.5        20.8001       0.208001
    2         1            259            0.5        35.7448       0.357448
    2         1            322            0.5        50.4166       0.504166
    2         1            385            0.5          65.93         0.6593
    2         1            442            0.5        80.6619       0.806619
    2         1            496            0.5        95.2328       0.952328
    2         1            550            0.5         110.42         1.1042
    2         1            601            0.5        125.355        1.25355
    2         1            652            0.5         140.89         1.4089
    2         1            697            0.5        155.124        1.55124
    2         1            745            0.5        170.879        1.70879
    2         1            787            0.5        185.178        1.85178
    2         1            829            0.5        199.984        1.99984
