 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0209298    0.000209298        22.8506       0.228506
    0         0      0.0685448    0.000685448        35.8301       0.358301
    0         0       0.119929     0.00119929        47.7813       0.477813
    0         0       0.174566     0.00174566        59.3973       0.593973
    0         0       0.239652     0.00239652        71.9422       0.719422
    0         0       0.303366     0.00303366        83.8623       0.838623
    0         0       0.368896     0.00368896        95.3911       0.953911
    0         0       0.437597     0.00437597         107.35         1.0735
    0         0        0.51257      0.0051257        119.834        1.19834
    0         0       0.581479     0.00581479        131.295        1.31295
    0         0       0.655662     0.00655662        143.293        1.43293
    0         0       0.734167     0.00734167        155.839        1.55839
    0         0       0.808392     0.00808392        167.459        1.67459
    0         0       0.887449     0.00887449        179.622        1.79622
    0         0       0.966823     0.00966823        191.609        1.91609
    0         0        1.04756      0.0104756        203.432        2.03432
    0         0        1.13275      0.0113275        215.784        2.15784
    0         0        1.22022      0.0122022        227.978        2.27978
    0         0        1.30517      0.0130517        239.359        2.39359
    0         0        1.40053      0.0140053        251.935        2.51935
    0         0        1.49232      0.0149232        263.717        2.63717
    0         1      0.0204121    0.000204121        21.3127       0.213127
    0         1        0.09478      0.0009478        37.0745       0.370745
    0         1       0.173487     0.00173487        53.4158       0.534158
    0         1       0.252358     0.00252358        69.0072       0.690072
    0         1       0.339963     0.00339963        85.3112       0.853112
    0         1       0.426448     0.00426448        100.964        1.00964
    0         1       0.520194     0.00520194        117.242        1.17242
    0         1       0.614757     0.00614757        132.982        1.32982
    0         1        0.71662      0.0071662         149.38         1.4938
    0         1       0.817625     0.00817625        165.328        1.65328
    0         1        0.92655      0.0092655        181.969        1.81969
    0         1         1.0294       0.010294        197.139        1.97139
    0         1        1.14109      0.0114109        213.054        2.13054
    0         1        1.26375      0.0126375        229.692        2.29692
    0         1        1.38118      0.0138118        245.009        2.45009
    0         1        1.50958      0.0150958        261.086        2.61086
    0         1        1.64789      0.0164789        277.904        2.77904
    0         1        1.78083      0.0178083        293.513        2.93513
    0         1        1.92169      0.0192169        309.892        3.09892
    0         1         2.0565       0.020565        325.136        3.25136
    0         1        2.19865      0.0219865        341.168        3.41168
    0         2      0.0258548    0.000258548        22.2001       0.222001
    0         2       0.100728     0.00100728        37.8077       0.378077
    0         2       0.172218     0.00172218        52.2043       0.522043
    0         2       0.251429     0.00251429         67.154        0.67154
    0         2        0.33588      0.0033588         82.672        0.82672
    0         2       0.420182     0.00420182        97.6709       0.976709
    0         2       0.505746     0.00505746        112.134        1.12134
    0         2       0.596753     0.00596753        127.178        1.27178
    0         2       0.693575     0.00693575        142.769        1.42769
    0         2       0.790241     0.00790241        157.962        1.57962
    0         2       0.887402     0.00887402        172.796        1.72796
    0         2       0.986395     0.00986395        187.308        1.87308
    0         2        1.09166      0.0109166        202.414        2.02414
    0         2        1.19965      0.0119965        217.229        2.17229
    0         2        1.31615      0.0131615        232.632        2.32632
    0         2        1.43522      0.0143522        247.771        2.47771
    0         2        1.55641      0.0155641        262.673        2.62673
    0         2        1.68079      0.0168079         277.36         2.7736
    0         2        1.81208      0.0181208        292.651        2.92651
    0         2        1.94524      0.0194524        307.745        3.07745
    0         3      0.0233842    0.000233842        23.4055       0.234055
    0         3      0.0816275    0.000816275        35.8472       0.358472
    0         3       0.151999     0.00151999        49.4684       0.494684
    0         3       0.220146     0.00220146        62.4916       0.624916
    0         3       0.288357     0.00288357        75.0879       0.750879
    0         3       0.364144     0.00364144        88.4251       0.884251
    0         3       0.438632     0.00438632        101.356        1.01356
    0         3       0.520279     0.00520279        114.949        1.14949
    0         3        0.59551      0.0059551        127.171        1.27171
    0         3       0.676555     0.00676555         140.11         1.4011
    0         3       0.764543     0.00764543         153.74         1.5374
    0         3       0.846104     0.00846104        166.139        1.66139
    0         3       0.934292     0.00934292         179.24         1.7924
    0         3        1.02287      0.0102287        192.107        1.92107
    0         3        1.11935      0.0111935        205.658        2.05658
    0         3         1.2177       0.012177        218.988        2.18988
    0         3        1.31265      0.0131265        231.248        2.31248
    0         3        1.41467      0.0141467        244.208        2.44208
    0         3         1.5256       0.015256        257.847        2.57847
    0         3         1.6312       0.016312        270.477        2.70477
    0         3        1.74482      0.0174482        283.795        2.83795
    1         0      0.0262005    0.000262005        19.8715       0.198715
    1         0      0.0849804    0.000849804        35.4509       0.354509
    1         0       0.154897     0.00154897         51.325        0.51325
    1         0       0.238388     0.00238388        67.8964       0.678964
