 *tel    numcsi         Z         A           CsIV        errCsIV           CsIE       errCsIE
    0         0         1         3      0.0344648              0        5.92969              0
    0         0         1         3       0.110889              0        15.7319              0
    0         0         1         3       0.179189              0        25.9956              0
    0         0         1         3       0.243103              0        35.8452              0
    0         0         1         3       0.305679              0        45.8581              0
    0         0         1         3       0.364226              0        55.0895              0
    0         0         1         3       0.427322              0        65.3583              0
    0         0         1         3        0.49141              0        75.7333              0
    0         0         1         3       0.549579              0        85.2521              0
    0         0         1         3       0.612884              0         95.816              0
    0         1         1         3      0.0382516              0        5.42325              0
    0         1         1         3       0.113122              0        15.8198              0
    0         1         1         3       0.173487              0        25.3966              0
    0         1         1         3       0.240501              0          35.92              0
    0         1         1         3       0.303476              0        45.7378              0
    0         1         1         3       0.366139              0        55.6341              0
    0         1         1         3       0.428894              0        65.6024              0
    0         1         1         3       0.491162              0        75.6408              0
    0         1         1         3       0.554492              0          85.75              0
    0         1         1         3       0.617126              0        95.9316              0
    0         2         1         3      0.0398257              0        5.56154              0
    0         2         1         3       0.113926              0        15.6704              0
    0         2         1         3       0.180741              0        25.6463              0
    0         2         1         3       0.249037              0        35.7976              0
    0         2         1         3       0.316256              0        45.9807              0
    0         2         1         3       0.379048              0        55.5021              0
    0         2         1         3       0.447325              0        65.8242              0
    0         2         1         3       0.510502              0        75.4734              0
    0         2         1         3       0.578521              0        85.9378              0
    0         2         1         3       0.640803              0        95.7258              0
    0         3         1         3      0.0371795              0        5.54943              0
    0         3         1         3       0.115003              0        15.8647              0
    0         3         1         3        0.18027              0        25.4461              0
    0         3         1         3       0.245379              0        35.2985              0
    0         3         1         3       0.309467              0        45.2543              0
    0         3         1         3       0.375568              0        55.3371              0
    0         3         1         3       0.439877              0        65.5297              0
    0         3         1         3       0.505539              0        75.8221              0
    0         3         1         3       0.565199              0        85.4071              0
    0         3         1         3       0.630198              0        95.8795              0
    1         0         1         3      0.0374951              0        5.83409              0
    1         0         1         3       0.115008              0        15.5784              0
    1         0         1         3       0.184563              0        25.7305              0
    1         0         1         3       0.248998              0        35.4447              0
    1         0         1         3       0.313025              0        45.2808              0
    1         0         1         3       0.377857              0        55.2263              0
    1         0         1         3       0.441486              0        65.2531              0
    1         0         1         3       0.506806              0        75.3473              0
    1         0         1         3       0.570925              0         85.503              0
    1         0         1         3       0.635668              0        95.7168              0
    1         1         1         3      0.0428306              0        5.81677              0
    1         1         1         3        0.11388              0        15.9051              0
    1         1         1         3       0.177366              0        25.6331              0
    1         1         1         3       0.242026              0        35.4803              0
    1         1         1         3       0.305168              0        45.3177              0
    1         1         1         3        0.37008              0        55.1945              0
    1         1         1         3       0.433414              0        65.1135              0
    1         1         1         3       0.503705              0        75.9871              0
    1         1         1         3         0.5614              0        85.0956              0
    1         1         1         3       0.626424              0        95.1692              0
    1         2         1         3      0.0443417              0        5.94709              0
    1         2         1         3        0.11547              0        15.3402              0
    1         2         1         3        0.18205              0        25.3237              0
    1         2         1         3       0.249401              0        35.5306              0
    1         2         1         3       0.318205              0        45.7918              0
    1         2         1         3       0.380859              0        55.4053              0
    1         2         1         3       0.449303              0         65.845              0
    1         2         1         3       0.511968              0        75.6188              0
    1         2         1         3        0.57632              0        85.4714              0
    1         2         1         3          0.639              0        95.4052              0
    1         3         1         3      0.0347221              0        5.47433              0
    1         3         1         3       0.109216              0        15.8252              0
    1         3         1         3       0.172221              0        25.3027              0
    1         3         1         3       0.239848              0        35.7479              0
    1         3         1         3       0.302038              0        45.5258              0
    1         3         1         3       0.365881              0        55.4162              0
    1         3         1         3       0.428312              0        65.4119              0
    1         3         1         3       0.491879              0        75.5102              0
    1         3         1         3       0.554202              0        85.7116              0
    1         3         1         3       0.613311              0        95.2207              0
    2         0         1         3      0.0369322              0        5.55812              0
    2         0         1         3       0.112484              0         15.527              0
    2         0         1         3       0.178596              0          25.46              0
    2         0         1         3       0.243082              0        35.7151              0
    2         0         1         3       0.304169              0        45.2843              0
    2         0         1         3       0.369379              0        55.6556              0
    2         0         1         3       0.429935              0        65.3361              0
    2         0         1         3       0.496047              0        75.8116              0
    2         0         1         3       0.556216              0        85.5859              0
    2         0         1         3       0.617083              0         95.406              0
    2         1         1         3      0.0319755              0        5.55795              0
