 *tel    numcsi      CsIV        errCsIV           CsIE       errCsIE
    0         0      0.0233877              0        8.46994              0
    0         0       0.115411              0        21.7717              0
    0         0       0.204764              0        34.1813              0
    0         0       0.301058              0        47.6771              0
    0         0        0.39205              0        60.3139              0
    0         0       0.489052              0        74.0093              0
    0         0       0.579188              0        86.7777              0
    0         0       0.669238              0        99.5843              0
    0         0       0.760092              0        112.429              0
    0         0       0.849616              0        125.313              0
    0         0       0.941556              0        138.245              0
    0         0        1.03316              0        151.231              0
    0         0        1.12552              0        164.278              0
    0         0        1.22022              0        177.395              0
    0         0        1.31776              0        190.589              0
    0         0        1.41607              0        203.865              0
    0         0        1.50801              0        216.202              0
    0         0        1.60923              0        229.658              0
    0         0        1.70392              0         242.17              0
    0         0        1.80707              0        255.829              0
    0         0         1.9027              0        268.538              0
    0         0         1.9989              0        281.347              0
    0         1      0.0204121              0        7.76078              0
    0         1       0.124878              0        22.6023              0
    0         1       0.224087              0        37.3058              0
    0         1       0.332729              0        52.8074              0
    0         1       0.433776              0        67.1344              0
    0         1       0.542227              0        82.3961              0
    0         1       0.650543              0        97.6063              0
    0         1       0.759836              0        112.798              0
    0         1       0.860931              0        126.981              0
    0         1        0.97112              0        142.205              0
    0         1        1.08185              0        157.474              0
    0         1        1.19486              0        172.807              0
    0         1        1.30321              0        187.189              0
    0         1        1.42167              0        202.684              0
    0         1        1.53385              0        217.241              0
    0         1        1.65595              0        232.946              0
    0         1        1.77269              0        247.716              0
    0         1        1.88868              0        262.602              0
    0         1        2.00543              0         277.61              0
    0         1        2.12291              0        292.748              0
    0         1        2.23264              0        306.926              0
    0         2      0.0271294              0        8.50538              0
    0         2       0.137525              0        23.9118              0
    0         2       0.239413              0        38.0762              0
    0         2       0.355225              0        53.9886              0
    0         2       0.464593              0        68.7507              0
    0         2       0.573597              0        83.4085              0
    0         2       0.689858              0        98.9641              0
    0         2       0.798783              0        113.501              0
    0         2       0.915701              0        128.982              0
    0         2        1.02655              0        143.494              0
    0         2        1.14647              0        158.989              0
    0         2        1.26211              0         173.55              0
    0         2        1.37999              0        188.156              0
    0         2        1.50924              0        203.799              0
    0         2        1.63235              0        218.538              0
    0         2        1.75704              0        233.356              0
    0         2        1.88235              0        248.265              0
    0         2        2.00819              0        263.272              0
    0         2        2.13534              0        278.386              0
    0         2        2.26278              0        293.615              0
    0         2        2.38965              0        308.966              0
    0         3      0.0296201              0        9.89813              0
    0         3       0.126608              0         22.964              0
    0         3       0.220146              0        35.8793              0
    0         3       0.313239              0        48.6901              0
    0         3        0.40792              0        61.4319              0
    0         3       0.508003              0        74.9953              0
    0         3        0.60174              0        87.7023              0
    0         3       0.695659              0        100.414              0
    0         3       0.795547              0        113.991              0
    0         3        0.88952              0        126.746              0
    0         3       0.985511              0        139.537              0
    0         3        1.08129              0         152.37              0
    0         3        1.18522              0        166.117              0
    0         3         1.2851              0        179.066              0
    0         3        1.38669              0        192.082              0
    0         3        1.48331              0        204.295              0
    0         3        1.58853              0        217.459              0
    0         3        1.69504              0        230.707              0
    0         3        1.80251              0        244.045              0
    0         3        1.90355              0        256.581              0
    0         3        2.00486              0        269.204              0
    1         0      0.0187195              0        6.56512              0
    1         0       0.119715              0        21.2159              0
    1         0        0.22418              0        35.2185              0
    1         0       0.329441              0        49.2577              0
    1         0        0.43453              0        63.3783              0
    1         0          0.541              0        77.5549              0
    1         0        0.64636              0        91.7614              0
    1         0       0.751552              0        105.991              0
    1         0       0.849722              0        119.297              0
    1         0       0.956791              0        133.588              0
    1         0        1.06417              0        147.924              0
    1         0        1.16691              0        161.354              0
    1         0        1.27863              0        175.811              0
    1         0        1.38552              0        189.373              0
    1         0        1.50224              0        203.988              0
    1         0        1.61289              0        217.717              0
    1         0        1.72477              0        231.536              0
    1         0          1.838              0        245.453              0
    1         0        1.95146              0        259.474              0
    1         0        2.06553              0        273.606              0
    1         0        2.17983              0        287.854              0
    1         1      0.0258892              0        7.80438              0
    1         1       0.125263              0        21.6535              0
    1         1       0.223345              0        35.4865              0
    1         1       0.320401              0        49.1708              0
    1         1       0.425402              0        63.6812              0
    1         1       0.523196              0        77.1321              0
    1         1       0.628764              0        91.4701              0
    1         1       0.733202              0        105.755              0
    1         1       0.837919              0        120.007              0
    1         1        0.93685              0        133.294              0
    1         1        1.04361              0        147.531              0
    1         1        1.15204              0        161.783              0
    1         1          1.255              0        175.111              0
    1         1        1.36808              0         189.43              0
    1         1        1.48366              0        203.799              0
    1         1        1.59327              0        217.267              0
    1         1        1.71233              0        231.764              0
    1         1        1.82444              0        245.365              0
    1         1        1.93707              0        259.042              0
    1         1        2.05865              0        273.787              0
    1         1        2.17229              0         287.64              0
    1         2      0.0255399              0        8.42516              0
    1         2       0.126216              0        21.8977              0
    1         2       0.216161              0        34.5249              0
    1         2       0.313284              0        47.8838              0
    1         2       0.410041              0        61.1265              0
    1         2       0.500971              0        73.4834              0
    1         2       0.599408              0        86.6212              0
    1         2       0.696571              0        99.7316              0
    1         2       0.793923              0         112.83              0
    1         2       0.891379              0         125.93              0
    1         2       0.989655              0        139.043              0
    1         2         1.0841              0        151.359              0
    1         2        1.18539              0         164.53              0
    1         2        1.28888              0        177.746              0
    1         2        1.39499              0        191.016              0
    1         2        1.49585              0         203.51              0
    1         2        1.60539              0        216.907              0
    1         2          1.709              0        229.533              0
    1         2        1.82071              0        243.081              0
    1         2        1.92568              0        255.863              0
    1         2        2.03146              0        268.727              0
    1         3      0.0256955              0        8.56392              0
    1         3       0.112883              0         21.353              0
    1         3       0.203191              0        34.4686              0
