      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         0         0         1         1          0.00947538             6.16791
         0         0         1         1          0.00527847             5.41382
         0         0         1         1          0.00376321              5.0712
         0         0         1         1          0.00297997              4.8313
         0         0         1         1          0.00249931             4.63183
         0         0         1         1          0.00217328             4.45406
         0         0         1         1          0.00193712             4.29004
         0         0         1         1          0.00175794             4.13627
         0         0         1         1          0.00161721             3.99188
         0         0         1         1          0.00150368             3.85469
         0         0         1         1          0.00141011             3.72409
         0         0         1         1          0.00133165             3.59959
         0         0         1         1           0.0012649             3.48083
         0         0         1         1          0.00120741             3.36731
         0         0         1         1          0.00115738             3.25852
         0         0         1         1          0.00111345             3.15405
         0         0         1         1          0.00107457             3.05381
         0         0         1         1          0.00103991             2.95722
         0         0         1         1          0.00100885             2.86454
         0         0         1         1         0.000980831             2.77556
         0         1         1         1          0.00976252             5.80797
         0         1         1         1          0.00534922             5.33737
         0         1         1         1          0.00379012             5.04471
         0         1         1         1          0.00299222             4.81773
         0         1         1         1          0.00250518             4.61911
         0         1         1         1          0.00217593             4.43706
         0         1         1         1          0.00193799             4.26603
         0         1         1         1          0.00175777             4.10399
         0         1         1         1          0.00161639             3.95077
         0         1         1         1          0.00150246               3.805
         0         1         1         1          0.00140864             3.66579
         0         1         1         1          0.00133002             3.53326
         0         1         1         1          0.00126317             3.40652
         0         1         1         1          0.00120562             3.28564
         0         1         1         1          0.00115557             3.17009
         0         1         1         1          0.00111162             3.05934
         0         1         1         1          0.00107275             2.95351
         0         1         1         1          0.00103811             2.85221
         0         1         1         1          0.00100707             2.75487
         0         1         1         1         0.000979082             2.66194
         0         2         1         1          0.00915778             5.96443
         0         2         1         1          0.00509914             5.50376
         0         2         1         1           0.0036381             5.18783
         0         2         1         1          0.00288347              4.9267
         0         2         1         1          0.00242048             4.69187
         0         2         1         1          0.00210651              4.4742
         0         2         1         1          0.00187913             4.27028
         0         2         1         1          0.00170664             4.07799
         0         2         1         1          0.00157118             3.89777
         0         2         1         1          0.00146191             3.72734
         0         2         1         1          0.00137188             3.56694
         0         2         1         1           0.0012964             3.41403
         0         2         1         1          0.00123218             3.27039
         0         2         1         1          0.00117689             3.13414
         0         2         1         1          0.00112879             3.00508
         0         2         1         1          0.00108656             2.88281
         0         2         1         1          0.00104918             2.76697
         0         2         1         1          0.00101589             2.65679
         0         2         1         1         0.000986035             2.55235
         0         2         1         1          0.00095913             2.45294
         0         3         1         1          0.00932346             5.82686
         0         3         1         1          0.00523269             5.25662
         0         3         1         1          0.00374046             4.92478
         0         3         1         1          0.00296595             4.68359
         0         3         1         1          0.00248958             4.48223
         0         3         1         1          0.00216602             4.30298
         0         3         1         1          0.00193142             4.13782
         0         3         1         1           0.0017533             3.98307
         0         3         1         1          0.00161332             3.83852
         0         3         1         1          0.00150035             3.70067
         0         3         1         1          0.00140722             3.57023
         0         3         1         1           0.0013291             3.44613
         0         3         1         1          0.00126263             3.32749
         0         3         1         1          0.00120536             3.21399
         0         3         1         1          0.00115552             3.10576
         0         3         1         1          0.00111175             3.00168
         0         3         1         1            0.001073             2.90215
         0         3         1         1          0.00103846             2.80661
         0         3         1         1           0.0010075             2.71487
         0         3         1         1         0.000979576             2.62687
         1         0         1         1          0.00983549               6.294
         1         0         1         1          0.00564841             5.61153
         1         0         1         1          0.00405732             5.32291
         1         0         1         1          0.00322084             5.14297
         1         0         1         1          0.00270291             5.00279
         1         0         1         1          0.00234962             4.88213
         1         0         1         1          0.00209272               4.772
         1         0         1         1          0.00189723             4.66888
         1         0         1         1          0.00174333             4.56985
         1         0         1         1          0.00161894             4.47661
         1         0         1         1          0.00151626             4.38565
         1         0         1         1          0.00143003              4.2962
         1         0         1         1          0.00135658             4.21078
         1         0         1         1          0.00129324             4.12628
         1         0         1         1          0.00123806             4.04391
         1         0         1         1          0.00118957             3.96356
         1         0         1         1           0.0011466             3.88514
         1         0         1         1          0.00110827             3.80776
         1         0         1         1          0.00107387             3.73271
         1         0         1         1          0.00104283             3.65902
         1         1         1         1          0.00934637             5.91421
         1         1         1         1          0.00527565             5.54863
         1         1         1         1          0.00377751             5.28298
         1         1         1         1          0.00299728             5.05606
         1         1         1         1          0.00251652             4.84742
         1         1         1         1          0.00218959             4.65115
         1         1         1         1          0.00195237             4.46447
         1         1         1         1          0.00177215             4.28647
         1         1         1         1          0.00163046             4.11704
         1         1         1         1          0.00151606              3.9562
         1         1         1         1          0.00142172              3.8018
         1         1         1         1          0.00134257             3.65576
         1         1         1         1          0.00127519             3.51618
         1         1         1         1          0.00121714             3.38342
         1         1         1         1           0.0011666             3.25687
         1         1         1         1          0.00112221             3.13578
         1         1         1         1          0.00108291             3.02064
         1         1         1         1          0.00104788             2.91028
         1         1         1         1          0.00101646             2.80523
         1         1         1         1         0.000988119             2.70491
         1         2         1         1          0.00922684             5.91373
         1         2         1         1          0.00510286             5.41241
         1         2         1         1          0.00363272             5.07999
         1         2         1         1          0.00287627             4.81011
         1         2         1         1          0.00241313             4.57052
         1         2         1         1          0.00209945             4.35043
         1         2         1         1          0.00187248             4.14593
         1         2         1         1          0.00170042             3.95414
         1         2         1         1          0.00156536             3.77474
         1         2         1         1          0.00145646             3.60581
         1         2         1         1          0.00136676             3.44751
         1         2         1         1          0.00129158             3.29727
         1         2         1         1          0.00122763             3.15598
         1         2         1         1          0.00117259             3.02237
         1         2         1         1          0.00112471             2.89588
         1         2         1         1          0.00108268              2.7762
         1         2         1         1          0.00104548             2.66348
         1         2         1         1          0.00101236             2.55576
         1         2         1         1         0.000982662             2.45424
         1         2         1         1           0.0009559             2.35733
         1         3         1         1          0.00891239             5.78064
         1         3         1         1          0.00499891             5.27738
         1         3         1         1          0.00357768             4.93094
         1         3         1         1          0.00284049             4.65279
         1         3         1         1          0.00238716             4.40894
         1         3         1         1          0.00207928             4.18705
         1         3         1         1          0.00185611             3.98263
         1         3         1         1          0.00168668             3.79224
         1         3         1         1          0.00155356             3.61537
         1         3         1         1          0.00144614             3.44872
         1         3         1         1           0.0013576             3.29328
         1         3         1         1          0.00128335              3.1463
         1         3         1         1          0.00122017             3.00821
         1         3         1         1          0.00116577             2.87859
         1         3         1         1          0.00111842             2.75579
         1         3         1         1          0.00107686             2.64003
         1         3         1         1          0.00104007             2.53057
         1         3         1         1           0.0010073             2.42696
         1         3         1         1         0.000977915             2.32885
         1         3         1         1         0.000951429             2.23566
         2         0         1         1           0.0097622             5.87592
         2         0         1         1          0.00573808             5.36506
         2         0         1         1          0.00415549             5.14711
         2         0         1         1          0.00331086             5.00608
         2         0         1         1          0.00278357             4.89459
         2         0         1         1          0.00242204             4.79812
         2         0         1         1           0.0021582             4.71051
         2         0         1         1          0.00195688             4.62829
         2         0         1         1          0.00179808             4.55023
         2         0         1         1           0.0016695             4.47543
         2         0         1         1          0.00156322             4.40246
         2         0         1         1          0.00147386             4.33244
         2         0         1         1          0.00139766             4.26282
         2         0         1         1          0.00133191             4.19638
         2         0         1         1          0.00127458             4.13129
         2         0         1         1          0.00122414             4.06664
         2         0         1         1          0.00117944             4.00381
         2         0         1         1          0.00113953              3.9417
         2         0         1         1          0.00110369             3.88046
         2         0         1         1          0.00107134             3.81988
         2         1         1         1          0.00918806             5.38256
         2         1         1         1          0.00498371             4.65401
         2         1         1         1          0.00352868             4.30716
         2         1         1         1          0.00278816             4.06613
         2         1         1         1          0.00233737             3.86931
         2         1         1         1          0.00203317             3.69701
         2         1         1         1          0.00181362              3.5416
         2         1         1         1          0.00164747             3.39817
         2         1         1         1          0.00151726              3.2646
         2         1         1         1           0.0014124             3.13898
         2         1         1         1          0.00132611              3.0216
         2         1         1         1          0.00125385             2.91038
         2         1         1         1          0.00119244             2.80473
         2         1         1         1          0.00113961             2.70442
         2         1         1         1          0.00109369             2.60865
         2         1         1         1           0.0010534             2.51786
         2         1         1         1          0.00101778             2.43058
         2         1         1         1         0.000986061             2.34742
         2         1         1         1         0.000957648             2.26758
         2         1         1         1         0.000932053              2.1916
         2         2         1         1          0.00955696             6.01785
         2         2         1         1          0.00543872             5.53681
         2         2         1         1          0.00390176             5.24086
         2         2         1         1          0.00309723             5.02257
         2         2         1         1          0.00260015             4.83981
         2         2         1         1          0.00226157             4.67744
         2         2         1         1          0.00201561             4.52825
         2         2         1         1          0.00182858             4.38876
         2         2         1         1          0.00168142             4.25714
         2         2         1         1          0.00156254             4.13146
         2         2         1         1          0.00146446             4.01162
         2         2         1         1          0.00138212             3.89711
         2         2         1         1          0.00131201             3.78702
         2         2         1         1          0.00125158             3.68109
         2         2         1         1          0.00119895             3.57866
         2         2         1         1           0.0011527             3.48028
         2         2         1         1          0.00111175             3.38497
         2         2         1         1          0.00107523             3.29335
         2         2         1         1          0.00104245             3.20421
         2         2         1         1           0.0010129             3.11831
         2         3         1         1          0.00979882             5.75021
         2         3         1         1          0.00557291             5.07385
         2         3         1         1          0.00399204             4.80942
         2         3         1         1          0.00316554             4.64113
         2         3         1         1          0.00265529             4.50842
         2         3         1         1           0.0023079             4.39343
         2         3         1         1          0.00205561             4.28857
         2         3         1         1          0.00186382             4.19105
         2         3         1         1          0.00171294             4.09758
         2         3         1         1          0.00159106             4.00912
         2         3         1         1          0.00149051             3.92355
         2         3         1         1          0.00140611             3.84121
         2         3         1         1          0.00133424             3.76126
         2         3         1         1           0.0012723             3.68431
         2         3         1         1          0.00121834             3.60819
         2         3         1         1          0.00117093             3.53487
         2         3         1         1          0.00112894              3.4627
         2         3         1         1           0.0010915             3.39244
         2         3         1         1           0.0010579             3.32374
         2         3         1         1          0.00102758             3.25616
         3         0         1         1           0.0100442             6.09577
         3         0         1         1          0.00582192             5.54146
         3         0         1         1          0.00418805              5.2875
         3         0         1         1          0.00332548             5.12333
         3         0         1         1          0.00279024             4.99399
         3         0         1         1          0.00242466             4.88186
         3         0         1         1          0.00215858             4.77986
         3         0         1         1          0.00195596              4.6839
         3         0         1         1          0.00179635             4.59237
         3         0         1         1          0.00166729             4.50521
         3         0         1         1           0.0015607             4.42085
         3         0         1         1          0.00147117             4.33839
         3         0         1         1          0.00139486             4.25814
         3         0         1         1          0.00132906             4.18046
         3         0         1         1          0.00127172             4.10442
         3         0         1         1          0.00122129             4.03039
         3         0         1         1           0.0011766             3.95752
         3         0         1         1          0.00113674             3.88582
         3         0         1         1          0.00110094             3.81589
         3         0         1         1          0.00106864             3.74707
         3         1         1         1           0.0104514             5.95008
         3         1         1         1          0.00613537             5.47787
         3         1         1         1          0.00443344             5.17563
         3         1         1         1          0.00352535             4.98424
         3         1         1         1          0.00295875             4.84898
         3         1         1         1          0.00257042             4.74462
         3         1         1         1           0.0022871             4.65885
         3         1         1         1          0.00207096             4.58485
         3         1         1         1          0.00190046             4.51962
         3         1         1         1          0.00176243             4.45922
         3         1         1         1          0.00164833             4.40491
         3         1         1         1           0.0015524             4.35368
         3         1         1         1          0.00147058             4.30407
         3         1         1         1          0.00139996             4.25643
         3         1         1         1          0.00133839              4.2123
         3         1         1         1          0.00128422             4.16895
