      *tel    numcsi         Z         A               AZ2/E               Leff
         0         0         1         1             0.11162          0.00935081
         0         0         1         1           0.0509569          0.00869667
         0         0         1         1           0.0330144          0.00817958
         0         0         1         1           0.0244169          0.00777205
         0         0         1         1           0.0193721          0.00744958
         0         0         1         1           0.0160549          0.00719066
         0         0         1         1           0.0137077          0.00697676
         0         0         1         1           0.0119593          0.00679237
         0         0         1         1           0.0106064          0.00662494
         0         0         1         1          0.00952854          0.00646493
         0         0         1         1          0.00864952          0.00630579
         0         0         1         1          0.00791899          0.00614395
         0         0         1         1          0.00730224          0.00597884
         0         0         1         1          0.00677462          0.00581289
         0         0         1         1          0.00631811           0.0056515
         0         0         1         1          0.00591924          0.00550308
         0         0         1         1          0.00556774          0.00537902
         0         0         1         1          0.00525565          0.00529372
         0         0         1         1          0.00497669          0.00526454
         0         0         1         1          0.00472585          0.00531185
         0         1         1         1            0.119139          0.00935471
         0         1         1         1           0.0525357          0.00883197
         0         1         1         1           0.0336975          0.00840331
         0         1         1         1           0.0248034          0.00804972
         0         1         1         1            0.019624          0.00775432
         0         1         1         1            0.016234          0.00750239
         0         1         1         1           0.0138427          0.00728132
         0         1         1         1           0.0120654          0.00708065
         0         1         1         1           0.0106926          0.00689205
         0         1         1         1          0.00960026          0.00670933
         0         1         1         1          0.00871042          0.00652842
         0         1         1         1          0.00797154          0.00634739
         0         1         1         1          0.00734822          0.00616646
         0         1         1         1          0.00681531          0.00598797
         0         1         1         1          0.00635446           0.0058164
         0         1         1         1            0.005952          0.00565835
         0         1         1         1          0.00559748          0.00552259
         0         1         1         1          0.00528281          0.00541999
         0         1         1         1          0.00500164          0.00536356
         0         1         1         1          0.00474889          0.00536847
         0         2         1         1            0.106777          0.00964977
         0         2         1         1           0.0492961          0.00915098
         0         2         1         1           0.0320453          0.00871824
         0         2         1         1           0.0237383          0.00834006
         0         2         1         1           0.0188515           0.0080062
         0         2         1         1           0.0156332          0.00770763
         0         2         1         1           0.0133535          0.00743656
         0         2         1         1           0.0116541           0.0071864
         0         2         1         1           0.0103383          0.00695183
         0         2         1         1          0.00928958          0.00672872
         0         2         1         1            0.008434          0.00651418
         0         2         1         1          0.00772272          0.00630655
         0         2         1         1          0.00712209          0.00610539
         0         2         1         1          0.00660814           0.0059115
         0         2         1         1          0.00616338           0.0057269
         0         2         1         1          0.00577471          0.00555482
         0         2         1         1          0.00543215          0.00539973
         0         2         1         1          0.00512796          0.00526735
         0         2         1         1          0.00485603          0.00516459
         0         2         1         1          0.00461149           0.0050996
         0         3         1         1            0.109144          0.00985786
         0         3         1         1           0.0507273          0.00917218
         0         3         1         1           0.0330422          0.00862445
         0         3         1         1           0.0245006          0.00818782
         0         3         1         1            0.019468          0.00783832
         0         3         1         1           0.0161505           0.0075548
         0         3         1         1           0.0137991            0.007319
         0         3         1         1           0.0120453          0.00711551
         0         3         1         1           0.0106871          0.00693177
         0         3         1         1          0.00960414          0.00675808
         0         3         1         1          0.00872046          0.00658761
         0         3         1         1          0.00798569          0.00641637
         0         3         1         1          0.00736513          0.00624325
         0         3         1         1          0.00683405          0.00606997
         0         3         1         1          0.00637442          0.00590114
         0         3         1         1          0.00597271           0.0057442
         0         3         1         1          0.00561863          0.00560945
         0         3         1         1          0.00530419          0.00551008
         0         3         1         1          0.00502307          0.00546209
         0         3         1         1          0.00477025          0.00548439
         1         0         1         1            0.115334           0.0096602
         1         0         1         1           0.0538959          0.00905702
         1         0         1         1           0.0351641           0.0085967
         1         0         1         1           0.0260947          0.00824999
         1         0         1         1           0.0207444          0.00799082
         1         0         1         1           0.0172148          0.00779629
         1         0         1         1           0.0147116          0.00764666
         1         0         1         1            0.012844          0.00752538
         1         0         1         1           0.0113972          0.00741905
         1         0         1         1           0.0102433          0.00731746
         1         0         1         1          0.00930157          0.00721356
         1         0         1         1          0.00851843          0.00710347
         1         0         1         1          0.00785692          0.00698648
         1         0         1         1          0.00729075          0.00686505
         1         0         1         1          0.00680069          0.00674483
         1         0         1         1          0.00637236          0.00663462
         1         0         1         1          0.00599479          0.00654638
         1         0         1         1          0.00565946          0.00649528
         1         0         1         1          0.00535965          0.00649962
         1         0         1         1          0.00509001          0.00658089
         1         1         1         1            0.109101          0.00926041
         1         1         1         1           0.0510878          0.00884283
         1         1         1         1           0.0333528          0.00847955
         1         1         1         1           0.0247581          0.00816068
         1         1         1         1           0.0196854          0.00787745
         1         1         1         1           0.0163379          0.00762212
         1         1         1         1           0.0139634          0.00738805
         1         1         1         1           0.0121915          0.00716967
         1         1         1         1           0.0108187          0.00696248
         1         1         1         1          0.00972378          0.00676305
         1         1         1         1           0.0088301          0.00656903
         1         1         1         1          0.00808687          0.00637914
         1         1         1         1          0.00745903          0.00619319
         1         1         1         1          0.00692166          0.00601204
         1         1         1         1          0.00645652          0.00583763
         1         1         1         1          0.00604995          0.00567299
         1         1         1         1          0.00569156          0.00552221
         1         1         1         1          0.00537325          0.00539045
         1         1         1         1          0.00508866          0.00528395
         1         1         1         1           0.0048327          0.00521004
         1         2         1         1            0.109076          0.00969236
         1         2         1         1           0.0498543          0.00910671
         1         2         1         1           0.0323113          0.00861639
         1         2         1         1           0.0239009          0.00820325
         1         2         1         1           0.0189645          0.00785116
         1         2         1         1           0.0157182          0.00754596
         1         2         1         1           0.0134208          0.00727553
         1         2         1         1           0.0117094          0.00702971
         1         2         1         1           0.0103851          0.00680037
         1         2         1         1          0.00932987          0.00658135
         1         2         1         1          0.00846933          0.00636852
         1         2         1         1          0.00775413          0.00615972
         1         2         1         1          0.00715031           0.0059548
         1         2         1         1          0.00663373          0.00575562
         1         2         1         1          0.00618677          0.00556603
         1         2         1         1          0.00579624          0.00539188
         1         2         1         1          0.00545208          0.00524102
         1         2         1         1           0.0051465          0.00512329
         1         2         1         1          0.00487336          0.00505054
         1         2         1         1          0.00462775          0.00503663
         1         3         1         1            0.103162          0.00944685
         1         3         1         1           0.0487725          0.00886196
         1         3         1         1           0.0319354          0.00836913
         1         3         1         1           0.0237399          0.00795177
         1         3         1         1           0.0188918            0.007595
         1         3         1         1            0.015688          0.00728568
         1         3         1         1           0.0134133          0.00701242
         1         3         1         1           0.0117147          0.00676555
