*tel  numcsi      CsIV    errCsIV        CsIE    errCsIE
    0      0      0.0569289         0     12.7923           0
    0      0       0.137997         0     23.8322           0
    0      0       0.218767         0     34.7682           0
    0      0       0.298755         0     45.8648           0
    0      0       0.380519         0     57.1295           0
    0      0       0.460792         0     68.5258           0
    0      0        0.54272         0     80.0297           0
    0      0       0.623429         0     91.6295           0
    0      0       0.703614         0     103.321           0
    0      0       0.785656         0     115.104           0
    0      1      0.0750385         0     15.6544           0
    0      1       0.158949         0     27.5574           0
    0      1       0.242858         0     39.3755           0
    0      1       0.327884         0     51.1584           0
    0      1       0.411754         0     62.9424           0
    0      1       0.495959         0     74.7462           0
    0      1       0.581321         0     86.5841           0
    0      1       0.665103         0     98.4677           0
    0      1        0.75036         0     110.408           0
    0      1       0.834638         0     122.414           0
    0      2      0.0608259         0     13.3446           0
    0      2       0.145795         0     24.8043           0
    0      2       0.230925         0     36.1811           0
    0      2       0.315028         0     47.4918           0
    0      2       0.399433         0     58.7839           0
    0      2        0.48536         0     70.0732           0
    0      2       0.569896         0     81.3712           0
    0      2       0.654131         0     92.6881           0
    0      2       0.740124         0     104.033           0
    0      2       0.824608         0     115.415           0
    0      3       0.121455         0     22.1597           0
    0      3       0.208771         0     33.7972           0
    0      3       0.295752         0     45.4292           0
    0      3       0.384389         0     57.1104           0
    0      3       0.471581         0     68.8541           0
    0      3       0.558859         0     80.6665           0
    0      3       0.646348         0      92.553           0
    0      3       0.735005         0     104.518           0
    0      3       0.822236         0     116.569           0
    0      3       0.909836         0      128.71           0
    1      0       0.044639         0     10.2052           0
    1      0       0.127978         0     21.3794           0
    1      0       0.208845         0     32.0285           0
    1      0       0.290888         0     42.7406           0
    1      0       0.373145         0      53.589           0
    1      0       0.454373         0     64.5494           0
    1      0       0.537508         0     75.5993           0
    1      0       0.618973         0     86.7265           0
    1      0       0.701316         0     97.9255           0
    1      0       0.783542         0     109.196           0
    1      1      0.0606827         0     12.9684           0
    1      1       0.142428         0     24.1545           0
    1      1       0.224519         0     35.3286           0
    1      1       0.305168         0      46.454           0
    1      1       0.387634         0     57.5688           0
    1      1       0.468543         0     68.6838           0
    1      1       0.549703         0     79.8073           0
    1      1       0.632266         0     90.9479           0
    1      1       0.713053         0     102.113           0
    1      1       0.795329         0      113.31           0
    1      2      0.0789252         0     15.7635           0
    1      2       0.164709         0     27.1815           0
    1      2       0.249401         0     38.5717           0
    1      2       0.335319         0     49.9546           0
    1      2        0.41991         0     61.3542           0
    1      2       0.504627         0     72.7805           0
    1      2       0.590969         0     84.2416           0
    1      2       0.675899         0     95.7449           0
    1      2       0.760486         0     107.298           0
    1      2       0.846481         0     118.908           0
    1      3       0.047036         0     12.0145           0
    1      3       0.133767         0     24.0799           0
    1      3       0.217823         0     35.8784           0
    1      3       0.302038         0     47.5836           0
    1      3       0.387748         0     59.2854           0
    1      3       0.472261         0     71.0135           0
    1      3       0.556642         0     82.7852           0
    1      3       0.642484         0     94.6132           0
    1      3       0.727127         0     106.508           0
    1      3       0.811415         0     118.479           0
    2      0      0.0843587         0     15.0395           0
    2      0       0.166779         0     26.1533           0
    2      0       0.247693         0      37.391           0
    2      0       0.330088         0     48.7269           0
    2      0       0.411045         0     60.1189           0
    2      0       0.493737         0     71.5423           0
    2      0       0.575252         0     82.9924           0
    2      0       0.656382         0     94.4737           0
    2      0       0.739091         0     105.994           0
    2      0       0.820472         0     117.565           0
    2      1      0.0458943         0     10.3316           0
    2      1       0.133073         0     23.1899           0
    2      1       0.218006         0     35.6111           0
    2      1         0.3032         0     48.1112           0
    2      1       0.389988         0     60.7791           0
    2      1       0.475359         0     73.6113           0
    2      1       0.560758         0     86.6011           0
    2      1       0.647347         0     99.7466           0
    2      1       0.733067         0      113.05           0
    2      1       0.818325         0     126.517           0
    2      2      0.0846009         0     15.9187           0
    2      2       0.168682         0     27.2546           0
    2      2       0.251282         0     38.4522           0
    2      2       0.335747         0     49.5786           0
    2      2       0.418935         0     60.6894           0
    2      2       0.502146         0     71.8156           0
    2      2       0.587026         0     82.9785           0
    2      2        0.67029         0     94.1944           0
    2      2       0.753373         0     105.476           0
    2      2       0.838096         0     116.836           0
    2      3      0.0514835         0      11.114           0
    2      3       0.136828         0     22.9211           0
    2      3       0.221801         0     34.5119           0
    2      3       0.306028         0     46.2269           0
    2      3       0.391831         0     58.0566           0
    2      3       0.476451         0     69.9657           0
    2      3       0.560836         0     81.9391           0
    2      3       0.646796         0     93.9752           0
    2      3       0.731632         0     106.078           0
    2      3       0.816075         0     118.256           0
    3      0      0.0788151         0     14.5101           0
    3      0       0.160422         0     25.5458           0
    3      0       0.241828         0     36.4581           0
    3      0       0.324432         0      47.415           0
    3      0       0.405588         0     58.4362           0
    3      0       0.488625         0     69.5117           0
    3      0       0.570196         0     80.6377           0
    3      0       0.651703         0     91.8163           0
    3      0       0.734548         0     103.052           0
    3      0       0.816031         0     114.353           0
    3      1      0.0513803         0     9.96493           0
    3      1       0.137346         0     21.7528           0
    3      1       0.222904         0     33.2174           0
    3      1       0.307342         0     44.4761           0
    3      1       0.393274         0     55.6945           0
    3      1       0.478886         0     66.9569           0
    3      1       0.563729         0     78.3122           0
    3      1       0.649956         0     89.7895           0
    3      1       0.735528         0     101.407           0
    3      1        0.82057         0     113.177           0
    3      2      0.0565185         0     15.3087           0
    3      2       0.140334         0     31.5213           0
    3      2       0.224448         0      47.301           0
    3      2       0.307456         0     63.0008           0
    3      2       0.392212         0     78.7812           0
    3      2       0.475923         0     94.7297           0
    3      2       0.559271         0       110.9           0
    3      2       0.644103         0     127.329           0
    3      2       0.727964         0     144.047           0
    3      2       0.811283         0     161.077           0
    3      3       0.075762         0     13.7292           0
    3      3       0.158115         0     25.1097           0
    3      3       0.240299         0     36.3101           0
    3      3       0.323466         0     47.4201           0
    3      3       0.405183         0     58.4971           0
    3      3       0.488831         0     69.5691           0
    3      3       0.571064         0     80.6596           0
    3      3        0.65309         0     91.7892           0
    3      3       0.736647         0     102.975           0
    3      3       0.818779         0     114.232           0
    4      0      0.0278645         0     9.41768           0
    4      0      0.0941322         0     19.1273           0
    4      0       0.159026         0      28.615           0
    4      0        0.22389         0      37.947           0
    4      0       0.289161         0     47.2007           0
    4      0       0.353399         0     56.4051           0
    4      0        0.41861         0     65.5783           0
    4      0        0.48379         0     74.7327           0
    4      0       0.548798         0     83.8787           0
    4      0       0.613056         0     93.0247           0
    4      1      0.0583934         0     12.4157           0
    4      1       0.122111         0       21.75           0
    4      1        0.18508         0     30.5349           0
    4      1       0.246911         0     39.2056           0
    4      1       0.309917         0     47.9208           0
    4      1       0.372966         0     56.7049           0
    4      1       0.435966         0      65.559           0
    4      1        0.49873         0     74.4788           0
    4      1       0.560785         0     83.4608           0
    4      1       0.623762         0     92.5024           0
    4      2      0.0391631         0     8.86239           0
    4      2       0.116119         0     19.3742           0
    4      2       0.190368         0     29.0828           0
    4      2       0.266073         0     38.5767           0
    4      2        0.34169         0     48.0608           0
    4      2       0.416147         0     57.5808           0
    4      2          0.492         0       67.15           0
    4      2       0.566328         0     76.7726           0
    4      2       0.642084         0     86.4517           0
    4      2       0.716528         0     96.1894           0
    4      3      0.0440126         0     9.69333           0
    4      3       0.117096         0     20.0112           0
    4      3       0.189357         0     29.7241           0
    4      3       0.259802         0     39.2641           0
    4      3        0.33205         0     48.7815           0
    4      3       0.402767         0     58.3064           0
    4      3       0.474914         0     67.8527           0
    4      3       0.546766         0     77.4287           0
    4      3       0.617625         0     87.0423           0
    4      3       0.689515         0     96.6998           0
    5      0        0.05146         0     10.8731           0
    5      0       0.121806         0      20.475           0
    5      0       0.190788         0     29.8731           0
    5      0       0.259579         0     39.1784           0
    5      0       0.329236         0     48.4634           0
    5      0       0.397639         0     57.7374           0
    5      0       0.467269         0     67.0086           0
    5      0       0.536689         0     76.2851           0
    5      0       0.604985         0     85.5753           0
    5      0        0.67449         0     94.8868           0
    5      1      0.0504134         0     10.0048           0
    5      1       0.118452         0     18.5234           0
    5      1       0.185298         0     26.6699           0
    5      1       0.251463         0     34.5548           0
    5      1       0.318667         0     42.2779           0
    5      1       0.386002         0     49.9148           0
    5      1       0.452161         0     57.5079           0
    5      1         0.5196         0     65.0855           0
    5      1       0.586836         0     72.6677           0
    5      1         0.6535         0     80.2693           0
    5      2      0.0638163         0     11.0752           0
    5      2       0.136576         0     19.5083           0
    5      2       0.206562         0     27.7589           0
    5      2       0.278099         0     35.8451           0
    5      2       0.348347         0     43.8056           0
    5      2       0.419913         0     51.6713           0
    5      2       0.491495         0     59.4651           0
    5      2       0.561553         0     67.2077           0
    5      2        0.63293         0     74.9163           0
    5      2       0.703522         0      82.606           0
    5      3      0.0422605         0     6.55058           0
    5      3       0.107017         0     12.7111           0
    5      3       0.170629         0      18.229           0
    5      3         0.2346         0     23.5427           0
    5      3       0.297357         0     28.7736           0
    5      3       0.361572         0      33.927           0
    5      3        0.42541         0     39.0465           0
    5      3       0.489463         0     44.1401           0
    5      3       0.552492         0     49.2139           0
    5      3       0.616182         0     54.2721           0
    6      0      0.0672808         0     14.1687           0
    6      0        0.13681         0     24.4101           0
    6      0       0.204195         0     34.2678           0
    6      0       0.272748         0     43.9851           0
