      *tel    numcsi         Z         A               AZ2/E               Leff
         0         0         2         6             2.13265          0.00596942
         0         0         2         6             1.39518          0.00678616
         0         0         2         6             1.03669          0.00681215
         0         0         2         6            0.824769          0.00693892
         0         0         2         6            0.684784          0.00705395
         0         0         2         6            0.585423          0.00695924
         0         0         2         6            0.511242          0.00675583
         0         0         2         6            0.453746          0.00695064
         0         0         2         6            0.407876          0.00699207
         0         0         2         6            0.370428          0.00684499
         0         0         2         6            0.339278          0.00689345
         0         0         2         6            0.312961          0.00708877
         0         0         2         6            0.290432          0.00699782
         0         0         2         6             0.27093          0.00685332
         0         0         2         6            0.253881           0.0070738
         0         0         2         6            0.238852          0.00689567
         0         0         2         6            0.225502          0.00695288
         0         0         2         6            0.213565          0.00716538
         0         0         2         6            0.202829          0.00706301
         0         0         2         6             0.19312          0.00689269
         0         1         2         6             2.63745          0.00676956
         0         1         2         6             1.54476          0.00642196
         0         1         2         6             1.09224          0.00630048
         0         1         2         6            0.844776          0.00644046
         0         1         2         6            0.688732          0.00653955
         0         1         2         6            0.581348          0.00644919
         0         1         2         6            0.502933          0.00672385
         0         1         2         6            0.443157          0.00670016
         0         1         2         6            0.396082          0.00665236
         0         1         2         6            0.358047           0.0069173
         0         1         2         6            0.326677          0.00677929
         0         1         2         6            0.300361          0.00691802
         0         1         2         6            0.277969          0.00706488
         0         1         2         6            0.258684          0.00692669
         0         1         2         6            0.241901          0.00694768
         0         1         2         6            0.227164          0.00716461
         0         1         2         6            0.214119          0.00708972
         0         1         2         6             0.20249          0.00698087
         0         1         2         6             0.19206          0.00718363
         0         1         2         6            0.182652          0.00703454
         0         2         2         6             2.46374          0.00652706
         0         2         2         6             1.51327          0.00760762
         0         2         2         6               1.092          0.00655111
         0         2         2         6              0.8542          0.00672996
         0         2         2         6             0.70145          0.00688348
         0         2         2         6            0.595043          0.00676925
         0         2         2         6            0.516666          0.00677071
         0         2         2         6            0.456534          0.00697822
         0         2         2         6            0.408939          0.00683948
         0         2         2         6            0.370331          0.00713431
         0         2         2         6            0.338385          0.00722195
         0         2         2         6            0.311512          0.00703249
         0         2         2         6            0.288593          0.00724163
         0         2         2         6            0.268816          0.00723152
         0         2         2         6            0.251575          0.00715567
         0         2         2         6            0.236413          0.00744755
         0         2         2         6            0.222975          0.00739397
         0         2         2         6            0.210982           0.0072161
         0         2         2         6            0.200213           0.0075088
         0         2         2         6             0.19049          0.00733387
         0         3         2         6             2.30676          0.00617425
         0         3         2         6             1.40061          0.00693196
         0         3         2         6             1.00559          0.00698004
         0         3         2         6            0.784368          0.00671063
         0         3         2         6             0.64293          0.00697926
         0         3         2         6            0.544708          0.00674736
         0         3         2         6             0.47252          0.00699145
