      *tel    numcsi               AZ2/E               Leff
         0         0             3.39411          0.00476109
         0         0             2.64137           0.0049224
         0         0              2.1619          0.00524502
         0         0             1.82976          0.00566406
         0         0             1.58609          0.00595942
         0         0             1.39968          0.00611691
         0         0             1.25249          0.00623511
         0         0             1.13331          0.00635685
         0         0             1.03484          0.00646489
         0         0            0.952108          0.00653917
         0         0            0.881628          0.00659324
         0         0            0.820864          0.00665834
         0         0            0.767936           0.0067369
         0         0             0.72142          0.00683325
         0         0            0.680217          0.00694301
         0         0            0.643466           0.0070419
         0         0            0.610483          0.00713624
         0         0            0.580717          0.00728507
         0         0            0.553718          0.00747828
         0         0            0.529118          0.00758644
         0         1             2.99375          0.00533701
         0         1             2.38248          0.00541464
         0         1              1.9785           0.0055699
         0         1             1.69166          0.00576254
         0         1             1.47746          0.00591964
         0         1             1.31141          0.00604309
         0         1             1.17891          0.00617138
         0         1             1.07073          0.00631527
         0         1            0.980732          0.00645756
         0         1            0.904691          0.00658245
         0         1            0.839594          0.00668681
         0         1            0.783236          0.00676374
         0         1            0.733969          0.00682984
         0         1            0.690532          0.00694935
         0         1             0.65195          0.00711653
         0         1            0.617451          0.00726531
         0         1            0.586419          0.00739599
         0         1            0.558357          0.00757705
         0         1            0.532859          0.00780031
         0         1            0.509587          0.00792512
         0         2             3.26642          0.00551733
         0         2             2.56112          0.00559141
         0         2             2.10632          0.00573958
         0         2             1.78868          0.00592778
         0         2              1.5543          0.00609871
         0         2             1.37422          0.00625007
         0         2             1.23154          0.00636886
         0         2              1.1157          0.00645204
         0         2             1.01977          0.00654223
         0         2             0.93904          0.00667306
         0         2            0.870151          0.00681163
         0         2            0.810679          0.00689422
         0         2            0.758816          0.00694606
         0         2            0.713191          0.00705956
         0         2             0.67274          0.00722913
         0         2            0.636632          0.00738708
         0         2            0.604203           0.0075327
         0         2            0.574917          0.00772114
         0         2            0.548339           0.0079423
         0         2             0.52411          0.00806495
         0         3              2.3655          0.00578629
         0         3             1.97135          0.00587011
         0         3             1.68979          0.00603776
         0         3             1.47861          0.00622903
         0         3             1.31434          0.00636062
         0         3             1.18293          0.00644333
         0         3             1.07541          0.00654957
         0         3            0.985801          0.00669118
         0         3            0.909979          0.00681745
         0         3            0.844988          0.00690025
         0         3            0.788661          0.00697557
         0         3            0.739375          0.00709239
         0         3            0.695886          0.00722656
         0         3            0.657229          0.00731688
         0         3            0.622641          0.00739043
         0         3            0.591511          0.00756139
         0         3            0.563346          0.00781815
         0         3            0.537741          0.00804622
         0         3            0.514363          0.00822374
         0         3            0.492932          0.00831536
         1         0             4.18522            0.004541
         1         0             3.10024           0.0047193
         1         0               2.462          0.00507589
         1         0             2.04168          0.00557148
         1         0             1.74394          0.00595249
         1         0               1.522          0.00617362
         1         0             1.35016          0.00632063
         1         0             1.21319          0.00647134
         1         0             1.10146          0.00661613
         1         0             1.00856          0.00673243
         1         0            0.930122          0.00682067
         1         0            0.863002          0.00688662
         1         0            0.804916          0.00693955
         1         0            0.754156          0.00703393
         1         0            0.709419          0.00717181
         1         0            0.669692          0.00729336
         1         0            0.634179          0.00739512
         1         0            0.602242           0.0075575
         1         0            0.573368          0.00777855
         1         0            0.547136          0.00790498
         1         1             3.28826          0.00572618
         1         1             2.59278          0.00577506
         1         1             2.14014          0.00587284
         1         1             1.82205          0.00599635
         1         1             1.58628           0.0061178
         1         1             1.40453          0.00623649
         1         1             1.26015          0.00634907
         1         1             1.14269          0.00645487
         1         1             1.04526          0.00654862
         1         1            0.963137          0.00662778
         1         1            0.892979          0.00670177
         1         1            0.832348          0.00678184
         1         1            0.779427          0.00686989
         1         1            0.732833          0.00697023
         1         1            0.691496          0.00707905
         1         1            0.654573          0.00718225
         1         1            0.621393          0.00728966
         1         1            0.591415          0.00745484
         1         1            0.564196          0.00766152
         1         1            0.539372          0.00777556
         1         2             2.91522          0.00576095
         1         2             2.34302          0.00581817
         1         2             1.95859          0.00593262
         1         2             1.68253          0.00607062
         1         2             1.47468          0.00618664
         1         2             1.31253          0.00628612
         1         2             1.18251          0.00640589
         1         2             1.07593          0.00655179
         1         2            0.986969          0.00668067
         1         2            0.911598          0.00676798
         1         2            0.846922          0.00683852
         1         2            0.790815           0.0069274
         1         2             0.74168          0.00703468
         1         2            0.698294          0.00715981
         1         2            0.659703          0.00729526
         1         2            0.625154          0.00741127
         1         2            0.594043          0.00752002
         1         2            0.565883          0.00770124
         1         2            0.540271          0.00793926
         1         2            0.516878          0.00807174
         1         3             3.65989          0.00505138
         1         3             2.77918          0.00515549
         1         3             2.24013           0.0053637
         1         3             1.87621          0.00563774
         1         3             1.61401          0.00586623
         1         3             1.41611          0.00604305
         1         3             1.26144          0.00619859
         1         3             1.13723          0.00634709
         1         3             1.03529          0.00648064
         1         3            0.950116          0.00658704
         1         3            0.877895          0.00667784
         1         3            0.815878          0.00679107
         1         3            0.762044          0.00692037
         1         3            0.714875          0.00701615
         1         3            0.673205          0.00708274
         1         3            0.636126          0.00720426
         1         3            0.602917          0.00739224
         1         3            0.573004          0.00760537
         1         3            0.545919          0.00782115
         1         3            0.521279          0.00793924
         2         0             3.23337          0.00494828
         2         0             2.53564          0.00508111
         2         0             2.08559          0.00534678
         2         0             1.77122          0.00568113
         2         0             1.53921          0.00591582
         2         0             1.36094          0.00604589
         2         0             1.21967          0.00613525
         2         0             1.10498          0.00620641
