 *tel    numcsi           CsIV        errCsIV           CsIE       errCsIE
    0         0      0.0344648              0        5.92969              0
    0         0      0.0938781              0        13.3297              0
    0         0        0.15048              0        21.6122              0
    0         0       0.208265              0        30.4702              0
    0         0       0.271487              0        40.3751              0
    0         0       0.334893              0        50.4604              0
    0         0       0.398917              0        60.6769              0
    0         0       0.456115              0        70.0616              0
    0         0       0.520748              0        80.4826              0
    0         1      0.0382516              0        5.42325              0
    0         1      0.0975307              0        13.6755              0
    0         1       0.149574              0        21.6648              0
    0         1       0.207591              0        30.6742              0
    0         1       0.269235              0        40.4406              0
    0         1       0.332729              0        50.2961              0
    0         1       0.399563              0        60.9929              0
    0         1       0.462623              0         70.999              0
    0         1       0.520194              0        80.2978              0
    0         2      0.0398257              0        5.56154              0
    0         2      0.0995139              0        13.5937              0
    0         2        0.15174              0        21.3206              0
    0         2       0.215049              0        30.7399              0
    0         2       0.282329              0        40.8794              0
    0         2       0.345605              0        50.3676              0
    0         2       0.412825              0        60.6543              0
    0         2       0.476847              0        70.2699              0
    0         2       0.544042              0        80.6959              0
    0         3      0.0371795              0        5.54943              0
    0         3      0.0995352              0        13.7311              0
    0         3       0.155728              0        21.7024              0
    0         3       0.215083              0        30.7581              0
    0         3       0.279784              0        40.6421              0
    0         3          0.345              0         50.669              0
    0         3        0.41037              0        60.8125              0
    0         3       0.470304              0         70.268              0
    0         3       0.535043              0        80.6047              0
    1         0      0.0374951              0        5.83409              0
    1         0       0.103343              0        13.9818              0
    1         0       0.156048              0        21.4002              0
    1         0       0.213548              0        30.1509              0
    1         0       0.283927              0        40.7936              0
    1         0        0.34831              0        50.6944              0
    1         0       0.412683              0        60.6865              0
    1         0       0.476939              0        70.7512              0
    1         0       0.542161              0        80.8795              0
    1         1      0.0428306              0        5.81677              0
    1         1      0.0968122              0        13.3224              0
    1         1       0.148191              0        21.1695              0
    1         1       0.206856              0        30.1368              0
    1         1       0.276396              0        40.8412              0
    1         1       0.340496              0        50.7001              0
    1         1       0.404895              0        60.5994              0
    1         1       0.468543              0         70.543              0
    1         1       0.532363              0        80.5358              0
    1         2      0.0443417              0        5.94709              0
    1         2       0.105202              0        13.9568              0
    1         2       0.157419              0        21.7061              0
    1         2       0.216161              0        30.4445              0
    1         2       0.283634              0        40.6486              0
    1         2       0.352205              0        50.9585              0
    1         2       0.414973              0         60.614              0
    1         2       0.478067              0        70.3464              0
    1         2       0.546591              0        80.9142              0
    1         3      0.0347221              0        5.47433              0
    1         3       0.094718              0        13.7035              0
    1         3       0.148396              0        21.6083              0
    1         3       0.205618              0         30.538              0
    1         3       0.273357              0        40.9982              0
    1         3       0.336368              0         50.838              0
    1         3       0.399741              0        60.7856              0
    1         3       0.462382              0        70.8368              0
    1         3       0.525348              0        80.9905              0
    2         0      0.0369322              0        5.55812              0
    2         0       0.098488              0        13.5102              0
    2         0       0.154926              0        21.8377              0
    2         0       0.211107              0        30.6009              0
    2         0       0.275767              0        40.8591              0
    2         0       0.337099              0        50.4625              0
    2         0       0.401677              0        60.8625              0
    2         0       0.463213              0        70.5674              0
    2         0       0.523546              0        80.3172              0
    2         1      0.0319755              0        5.55795              0
    2         1      0.0928887              0         13.556              0
    2         1       0.146673              0        21.6754              0
    2         1       0.199579              0        30.3634              0
    2         1       0.263354              0        40.8516              0
    2         1         0.3217              0         50.764              0
    2         1       0.381417              0        60.8505              0
    2         1       0.434478              0        70.2308              0
    2         1       0.493965              0        80.5992              0
    2         2      0.0432417              0        5.67613              0
    2         2       0.101184              0        13.6688              0
    2         2       0.154205              0        21.3861              0
    2         2       0.216039              0        30.8172              0
    2         2       0.282639              0        40.9995              0
    2         2       0.345236              0        50.5569              0
    2         2       0.411636              0        60.9474              0
    2         2        0.47375              0         70.683              0
    2         2       0.536115              0        80.5005              0
    2         3      0.0391164              0        5.92281              0
    2         3      0.0988074              0        13.4986              0
    2         3       0.151157              0        21.4086              0
    2         3       0.209532              0        30.5912              0
    2         3       0.272466              0        40.6508              0
    2         3       0.335387              0        50.8426              0
    2         3       0.394241              0        60.3325              0
    2         3       0.456704              0        70.6888              0
    2         3       0.515119              0        80.3132              0
    3         0      0.0397573              0        5.66897              0
    3         0       0.102353              0        13.6091              0
    3         0       0.156948              0        21.6756              0
    3         0       0.217939              0        30.8702              0
    3         0       0.282895              0        40.8417              0
    3         0       0.348936              0        50.9212              0
    3         0       0.409121              0        60.3504              0
    3         0       0.475717              0          70.57              0
    3         0       0.540532              0        80.8526              0
    3         1      0.0425638              0        5.82319              0
    3         1       0.102912              0        13.9077              0
    3         1       0.156464              0        21.5475              0
    3         1       0.222904              0        30.9075              0
    3         1       0.291526              0        40.8455              0
    3         1       0.361604              0        50.9774              0
    3         1        0.42713              0        60.7458              0
    3         1       0.493579              0         70.665              0
    3         1       0.558776              0        80.7204              0
    3         2      0.0311205              0        5.62231              0
    3         2      0.0746075              0        13.9984              0
    3         2       0.113565              0        21.8245              0
    3         2       0.155615              0        30.9247              0
    3         2       0.201402              0        40.5786              0
    3         2       0.249611              0        50.8978              0
    3         2       0.294339              0        60.8446              0
    3         2       0.340129              0        70.9297              0
    3         2        0.38383              0        80.6104              0
    3         3       0.036479              0        5.45085              0
    3         3      0.0991748              0        13.3744              0
    3         3       0.154656              0        21.4022              0
    3         3         0.2162              0        30.4964              0
    3         3       0.281487              0        40.3147              0
    3         3       0.352924              0        50.9391              0
    3         3        0.41827              0         60.939              0
    3         3        0.48057              0        70.2968              0
    3         3       0.545968              0        80.4539              0
