 *tel    csi      Z      A                          Fit Formula                                           Par0        Par1       Par2
    0      0      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00643835     2.19627     2.19614
    0      0      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00643835     2.19627     2.19614
    0      0      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00643835     2.19627     2.19614
    0      0      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))    -0.0133902  0.00777087    0.211241
    0      0      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))    -0.0133902  0.00777087    0.211241
    0      0      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))    -0.0133902  0.00777087    0.211241
    0      0      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))    -0.0133902  0.00777087    0.211241
    0      0      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))    -0.0133902  0.00777087    0.211241
    0      0      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))    -0.0133902  0.00777087    0.211241
    0      0      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))    -0.0133902  0.00777087    0.211241
    0      0      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))    -0.0133902  0.00777087    0.211241
    0      1      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00595399      55.841     48.7598
    0      1      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00595399      55.841     48.7598
