 *tel    csi      Z      A           Jerzy's Formula                 NumParPar0             Par1        Par2       Par3
    0      0      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.00259578  0.00738914      1.6701    1.7899
    0      0      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.00259578  0.00738914      1.6701    1.7899
    0      0      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.00259578  0.00738914      1.6701    1.7899
    0      1      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  8.57822e-05  0.00706106    0.712996  0.771203
    0      1      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  8.57822e-05  0.00706106    0.712996  0.771203
    0      1      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  8.57822e-05  0.00706106    0.712996  0.771203
    0      2      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.000213131  0.00738676    0.878146  0.946407
    0      2      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.000213131  0.00738676    0.878146  0.946407
    0      2      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.000213131  0.00738676    0.878146  0.946407
    0      3      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.000891882  0.00728193    0.875678  0.944225
    0      3      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.000891882  0.00728193    0.875678  0.944225
    0      3      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.000891882  0.00728193    0.875678  0.944225
    1      0      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00203925  0.00741191     1.07833   1.16244
    1      0      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00203925  0.00741191     1.07833   1.16244
    1      0      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00203925  0.00741191     1.07833   1.16244
    1      1      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.00113486  0.00718881    0.761599  0.821668
    1      1      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.00113486  0.00718881    0.761599  0.821668
    1      1      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.00113486  0.00718881    0.761599  0.821668
    1      2      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00650335  0.00756825     1.97466   2.11448
