 *tel    csi      Z      A           Jerzy's Formula                   Par0             Par1        Par2       Par3
    0      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00962034  0.00583439     30.1943     22.5128
    0      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00962034  0.00583439     30.1943     22.5128
    0      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00962034  0.00583439     30.1943     22.5128
    0      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00785743   0.0062377     6.29474     4.28164
    0      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00785743   0.0062377     6.29474     4.28164
    0      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00785743   0.0062377     6.29474     4.28164
    0      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00915547  0.00646068     7.45536     5.19138
    0      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00915547  0.00646068     7.45536     5.19138
    0      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00915547  0.00646068     7.45536     5.19138
    0      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0120303  0.00628222     11.6331     8.05574
    0      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0120303  0.00628222     11.6331     8.05574
    0      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0120303  0.00628222     11.6331     8.05574
    1      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00808395   0.0060806     27.0053     20.2749
    1      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00808395   0.0060806     27.0053     20.2749
    1      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00808395   0.0060806     27.0053     20.2749
    1      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0121654  0.00636078     4.14521      2.2277
    1      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0121654  0.00636078     4.14521      2.2277
    1      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0121654  0.00636078     4.14521      2.2277
    1      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00869533  0.00623548     11.8625     8.07483
    1      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00869533  0.00623548     11.8625     8.07483
    1      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00869533  0.00623548     11.8625     8.07483
    1      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0108286  0.00604299     15.2606     11.1023
    1      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0108286  0.00604299     15.2606     11.1023
    1      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0108286  0.00604299     15.2606     11.1023
    2      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00856852  0.00595182     14.8322      10.334
    2      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00856852  0.00595182     14.8322      10.334
    2      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00856852  0.00595182     14.8322      10.334
    2      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00737496  0.00520385      37.839     26.1827
    2      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00737496  0.00520385      37.839     26.1827
    2      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00737496  0.00520385      37.839     26.1827
    2      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0118588  0.00638007     5.22879     2.92132
    2      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0118588  0.00638007     5.22879     2.92132
    2      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0118588  0.00638007     5.22879     2.92132
    2      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00644948  0.00575831     22.8053     16.4287
    2      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00644948  0.00575831     22.8053     16.4287
    2      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00644948  0.00575831     22.8053     16.4287
    3      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00595454  0.00603674      19.192     13.9594
    3      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00595454  0.00603674      19.192     13.9594
    3      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00595454  0.00603674      19.192     13.9594
    3      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00175323  0.00611974      36.092     28.5942
    3      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00175323  0.00611974      36.092     28.5942
    3      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00175323  0.00611974      36.092     28.5942
