*tel csi		Z			A			CsICh			errCsICh			CsIV(V)			errCsIV(V)			CsIE(MeV)			errCsIE(MeV)
5			0			1			1			271.71			0.057			0.0059731			0.000003839			0.916			0.000304
5			0			1			1			716.9			  0.17			0.02247		  		0.000007181			2.94			0.000959
5			0			1			1			1098.7			0.059			0.036618			4.4193E-06			4.94			0.0016
5			0			1			1			1555.9			0.068			0.053558			5.1319E-06			6.93			0.00226
5			0			1			1			1979.7			0.079			0.069263			5.9302E-06			8.92			0.00288
5			0			1			2			248.55			0.131			0.005115			5.8144E-06			0.79			0.000616
5			0			1			2			663.84			0.199			0.020503			8.1222E-06			2.86			0.00192
5			0			1			2			1039.2			0.106			0.034411			5.4444E-06			4.86			0.0032
5			0			1			2			1496.9			0.123			0.051372			6.3225E-06			6.84			0.00453
5			0			1			2			1928.1			0.153			0.067348			7.6055E-06			8.82			0.00585
5			0			2			4			223.56			0.17			0.0041892			7.0637E-06			1.47			0.002
5			0			2			4			478.24			0.056			0.013626			3.8855E-06			3.25			0.00469
5			0			2			4			765.05			0.114			0.024254			5.4786E-06			5.25			0.00761
5			0			2			4			1078.3			0.043			0.035862			4.1355E-06			7.28			0.0102
5			0			2			4			1407.3			0.04			0.048052			4.5018E-06			9.28			0.0127
5			0			2			4			1755.8			0.05			0.060967			5.1311E-06			11.3			0.0153
5			0			2			4			2117.5			0.052			0.074367			5.7292E-06			13.2			0.0177
5			1			1			1			269.68			0.097			0.0056849			4.6697E-06			0.914			0.000378
5			1			1			1			707.12			0.057			0.020225			4.0803E-06			2.94			0.0011
5			1			1			1			1176.8			0.086			0.035835			5.0059E-06			4.93			0.00183
5			1			1			1			1643.3			0.121			0.05134		  		6.2431E-06			6.92			0.00257
5			1			1			1			2087.9			0.142			0.066121			7.2577E-06			8.9		  	0.00332
5			1			1			2			242.77			0.36			0.0047904			0.000012432			0.785			0.000779
5			1			1			2			642.08			0.067			0.018063			0.000004202			2.85			0.00217
5			1			1			2			1111.1			0.118			0.033653			5.6221E-06			4.84			0.00362
5			1			1			2			1583.5			0.218			0.049353			8.6273E-06			6.81			0.00506
5			1			1			2			2039.1			0.282			0.064497			0.000010832			8.78			0.00654
5			1			2			4			213.17			0.232			0.0038064			8.4141E-06			1.45			0.00231
5			1			2			4			481.59			0.055			0.012728			3.9142E-06			3.21			0.00544
5			1			2			4			781.28			0.038			0.022689			3.8881E-06			5.2			0.00885
5			1			2			4			1113.6			0.051			0.033735			4.3729E-06			7.21			0.0116
5			1			2			4			1467.6			0.059			0.045503			4.9167E-06			9.2		  	0.0145
5			1			2			4			1838.2			0.076			0.057821			5.6814E-06			11.2			0.0172
5			1			2			4			2218.8			0.075			0.070469			6.2618E-06			13.1			0.02
5			2			1			1			260.37			0.056			0.0060382			3.7913E-06			0.898			0.00271
5			2			1			1			689.49			0.161			0.022781			7.0976E-06			2.89			0.00699
5			2			1			1			1113.2			0.339			0.039311			0.000013735			4.85			0.0114
5			2			1			1			1479		  	0.049			0.053583			4.5829E-06			6.81			0.0159
5			2			1			1			1907.2			0.049			0.070291			5.1633E-06			8.76			0.0204
5			2			1			2			234.19			0.146			0.0050169			6.4821E-06			0.751			0.00577
5			2			1			2			625.96			0.202			0.020302			8.5288E-06			2.76			0.0139
5			2			1			2			1036.5			0.362			0.03632		  		0.00001458			4.68			0.0224
5			2			1			2			1397			  0.13			0.050384			6.4934E-06			6.6			0.0313
5			2			1			2			1825.9			0.147			0.06712		  		7.3965E-06			8.51			0.0399
5			2			2			4			200.56			0.167			0.0037047			7.2105E-06			1.35			0.0144
5			2			2			4			430.59			0.07			0.01268			  	4.1712E-06			2.98			0.0353
5			2			2			4			686.75			0.117			0.022674			5.6341E-06			4.83			0.0554
5			2			2			4			967.72			0.18			0.033636			7.8685E-06			6.72			0.0722
5			2			2			4			1256.8			0.267			0.044916			0.000011115			8.59			0.0886
5			2			2			4			1566.8			0.15			0.057011			0.000007255			10.4			0.105
5			2			2			4			1913			  0.19			0.070518			8.8343E-06			12.3			0.122
5			3			1			1			263.58			0.06			0.0056808			3.8553E-06			0.9		  	0.00256
5			3			1			1			686.37			0.032			0.020466			3.6099E-06			2.9			0.00674
5			3			1			1			1133.5			0.049			0.036102			4.2109E-06			4.86			0.0111
5			3			1			1			1580.2			0.054			0.051722			4.8001E-06			6.82			0.0154
5			3			1			1			2020.7			0.059			0.067126			0.000005475			8.78			0.0197
5			3			1			2			234.36			0.196			0.0046588			7.5765E-06			0.756			0.00551
5			3			1			2			613.07			0.036			0.017902			3.6095E-06			2.77			0.0133
5			3			1			2			1056.7			0.051			0.033415			4.1641E-06			4.71			0.0215
5			3			1			2			1502.3			0.106			0.048999			5.6815E-06			6.63			0.0299
5			3			1			2			1944.9			0.143			0.064476			7.0382E-06			8.54			0.0383
5			3			2			4			199.05			0.126			0.0034242			5.4594E-06			1.37			0.0139
5			3			2			4			445.29			0.03			0.012035			3.4562E-06			3.01			0.0343
5			3			2			4			719.52			0.025			0.021625			3.5651E-06			4.88			0.0534
5			3			2			4			1024.5			0.037			0.03229		  		3.9473E-06			6.79			0.0694
5			3			2			4			1331.8			0.082			0.043035			0.000004989			8.67			0.0856
5			3			2			4			1670.4			0.2		  	0.054878			8.3389E-06			10.5			0.101
5			3			2			4			2052.9			0.143			0.068252			7.1586E-06			12.4			0.118
