*telnum      csinum    CsIV (V)    err_CsIVEnergy(MeV)  err_Energy     Z     A
    5           0     0.27171       6e-05     0.916           0    1      1
    5           0      0.7169     0.00017     2.943       0.001    1      1
    5           0     1.09872       6e-05     4.939       0.002    1      1
    5           0      1.5559       7e-05      6.93       0.002    1      1
    5           0     1.97972       8e-05     8.918       0.003    1      1
    5           1     0.26968      0.0001     0.914           0    1      1
    5           1     0.70712       6e-05     2.937       0.001    1      1
    5           1     1.17679       9e-05     4.929       0.002    1      1
    5           1     1.64326     0.00012     6.915       0.003    1      1
    5           1     2.08794     0.00014     8.898       0.003    1      1
    5           2     0.26037       6e-05     0.898       0.003    1      1
    5           2     0.68949     0.00016      2.89       0.007    1      1
    5           2     1.11316     0.00034     4.851       0.011    1      1
    5           2     1.47897       5e-05     6.806       0.016    1      1
    5           2     1.90721       5e-05     8.758        0.02    1      1
    5           3     0.26358       6e-05       0.9       0.003    1      1
    5           3     0.68637       3e-05     2.896       0.007    1      1
    5           3      1.1335       5e-05     4.861       0.011    1      1
    5           3     1.58018       5e-05     6.821       0.015    1      1
    5           3     2.02068       6e-05     8.777        0.02    1      1
